auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,,6967,
VOLKSWAGEN,Catz,Typ 82 Kübelwagen ,Artcurial,68 200 €,REST+,V,,6967,
VOLKSWAGEN,Harrogate,Typ 82 Kübelwagen,Bonhams,27 182 €,REC,V,,6967,
VOLKSWAGEN,Munich,Typ 86 Kübelwagen 4 x 4 (reconstruction),Hermann Historica,50 000 €,REST/TR,V,,6967,
VOLKSWAGEN,Munich,Typ 82 Kübelwagen,Hermann Historica,30 000 €,REST-,V,,6967,
VOLKSWAGEN,Le Gua,"Typ 82 ""Kübelwagen""",Hermann Historica,24 000 €,REST-/TR,V,,6967,
VOLKSWAGEN,Vimoutiers,"Typ 82 Kübelwagen, moteur plus récent",Demade Enchères,26 000 €,RAR/TR,V,,6967,
VOLKSWAGEN,Toffen,"Réplique Kübelwagen Albar, base VW 1300",Oldtimer Galerie Toffen,2 600 €,TR,V,,6967,
,,,,,,,,6937,
VOLKSWAGEN,Fontainebleau,Coccinelle 1302 coach,Jean-Pierre Osenat,15 000 €,OR+,V,,6937,
VOLKSWAGEN,Weybridge,Coccinelle 1302 S coach RHD,Bonhams,9 214 €,OR+,V,,6937,
VOLKSWAGEN,Uzerche,Coccinelle 1302 L coach,Me Arnaud-Lacroze / M. Saint Gal,3 400 €,OR,V,,6937,
VOLKSWAGEN,Nonsard,Coccinelle 1302 L coach toit ouvrant,SCP Cappelaere & Prunaux,4 000 €,REST,V,,6937,
,,,,,,,,11564,
VOLKSWAGEN,Saint Louis,Coccinelle 1600 Deluxe coach toit ouvrant souple,RM Sotheby's,8 990 €,OR,V,,11564,
VOLKSWAGEN,Londres,Coccinelle 1600 Mexico série 50 ans (neuve),RM Sotheby's,18 700 €,EX,V,,11564,
VOLKSWAGEN,Londres,"Coccinelle ""Mexico"" RHD, look 65, moteur 2.2",Bonhams,7 480 €,TR,V,,11564,
,,,,,,,,9530,
VOLKSWAGEN,Cheltenham,"Coccinelle 1300 S coach RHD, moteur 2.2 préparé",H & H Classic Auctions,12 020 €,REST/TR,V,,9530,
VOLKSWAGEN,Leominster,Coccinelle 1300 S coach RHD préparé,Brightwells,2 400 €,REST/TR,V,,9530,
,,,,,,,,6936,
VOLKSWAGEN,Phoenix,Coccinelle 1500 coach,RM Sotheby's,29 470 €,REST,V,,6936,
VOLKSWAGEN,Auburn,1500 Export,RM Sotheby's,5 450 €,OR+,V,,6936,
VOLKSWAGEN,Brooklands,Coccinelle 1500 coach RHD,BCA Classic & Historic,8 780 €,OR+,V,,6936,
,,,,,,,,6935,
VOLKSWAGEN,Amelia Island,Coccinelle 1300 coach toit ouvrant,RM Sotheby,23 950 €,REST,V,,6935,
VOLKSWAGEN,Ascott,Coccinelle 1300 coach RHD,Historics at Brooklands,4 880 €,OR+,V,,6935,
VOLKSWAGEN,Ascott,Coccinelle 1300 coach RHD (moteur 1600),Historics at Brooklands,6 830 €,REST,V,,6935,
VOLKSWAGEN,Roubaix,1300 coach,May & Associés,5 030 €,REC,V,,6935,
VOLKSWAGEN,Wattripont,1300 toit ouvrant,Collin du Bocage,5 040 €,OR,V,,6935,
VOLKSWAGEN,Duxford,Coccinelle 1300 RHD,H & H Classic Auctions,22 410 €,REST+,V,,6935,
VOLKSWAGEN,Beaulieu,"Evocation Bugatti 35, base 1300",Bonhams,6 560 €,TR,V,,6935,
VOLKSWAGEN,Zurich,Coccinelle 1300 L automatique coach,Oldtimer Galerie Toffen,7 578 €,OR+,V,,6935,
VOLKSWAGEN,Brooklands,Coccinelle 1300 coach RHD,Historics at Brooklands,10 794 €,OR+,V,,6935,
VOLKSWAGEN,Birmingham,Coccinelle 1300 coach,Silverstone Auctions,6 983 €,OR,V,,6935,
VOLKSWAGEN,Cap d'Agde,Coccinelle 1300 coach,Les belles du cap - J. Bessière/A. Artus,5 361 €,OR+,V,,6935,
