quote_id,auction_brand,auction_model,auction_organizor,action_sales_code,auction_restauration_code,action_price,action_location
6968,,,,,,,
6968,VOLKSWAGEN,Typ 166 Schwimmwagen,Artcurial,V,REST,119 200 €,Paris
6968,VOLKSWAGEN,Typ 166 Schwimmwagen,Pierre Bergé & Associés,V,REST+,132 000 €,Bruxelles
6968,VOLKSWAGEN,Typ 166 Schwimmwagen,RM Auctions,V,RAR,112 560 €,Nysted
6968,VOLKSWAGEN,Typ 166 Schwimmwagen,Hermann Historica,V,REST,84 000 €,Le Gua
6968,VOLKSWAGEN,"Typ 166 ""Schwimmwagen""",Hermann Historica,V,REST,120 000 €,Le Gua
6968,VOLKSWAGEN,"Typ 166 Schwimmwagen, moteur 1300",Bonhams SAM,V,REST+/TR,130 000 €,Monaco (Bonhams)
6968,VOLKSWAGEN,"Typ 166 Schwimmwagen, moteur plus récent",Demade Enchères,V,RAR/TR,68 000 €,Vimoutiers
6967,,,,,,,
6967,VOLKSWAGEN,Typ 82 Kübelwagen ,Artcurial,V,REST+,68 200 €,Catz
6967,VOLKSWAGEN,Typ 82 Kübelwagen,Bonhams,V,REC,27 182 €,Harrogate
6967,VOLKSWAGEN,Typ 86 Kübelwagen 4 x 4 (reconstruction),Hermann Historica,V,REST/TR,50 000 €,Munich
6967,VOLKSWAGEN,Typ 82 Kübelwagen,Hermann Historica,V,REST-,30 000 €,Munich
6967,VOLKSWAGEN,"Typ 82 ""Kübelwagen""",Hermann Historica,V,REST-/TR,24 000 €,Le Gua
6967,VOLKSWAGEN,"Typ 82 Kübelwagen, moteur plus récent",Demade Enchères,V,RAR/TR,26 000 €,Vimoutiers
6967,VOLKSWAGEN,"Réplique Kübelwagen Albar, base VW 1300",Oldtimer Galerie Toffen,V,TR,2 600 €,Toffen
11737,,,,,,,
11737,VOLKSWAGEN,Coccinelle (ovale) coach Standard,Worldwide Auctioneers,V,REST,65 510 €,Pacific Grove
6930,,,,,,,
6930,VOLKSWAGEN,Typ 11 Export,Métayer Auction,V,OR,31 720 €,Nevers
6930,VOLKSWAGEN,Coccinelle (split) coach Export,RM Sotheby,V,REST,36 220 €,Fort Lauderdale
6930,VOLKSWAGEN,Typ 11 Export,Gooding & Co,V,REST,44 990 €,Scottsdale
6930,VOLKSWAGEN,Coccinelle (split) coach Export,RM Sotheby's,V,OR,59 490 €,Paris
6930,VOLKSWAGEN,Coccinelle (split) coach export,Jean-Pierre Osenat,V,REST+,33 600 €,Fontainebleau
