auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,4175,
MERCEDES,13/07/2019,Brooklands,280 SL cabriolet hard-top,Historics at Brooklands,62 410 €,REST,V,,,4175,
MERCEDES,29/05/2019,Auburn,280 SL cabriolet hard-top,RM Sotheby's,83 630 €,REST,V,,,4175,
MERCEDES,18/05/2019,Brooklands,280 SL cabriolet hard-top RHD,Historics at Brooklands,109 610 €,REST,V,,,4175,
MERCEDES,29/03/2019,Fort Lauderdale,280 SL cabriolet hard-top,RM Sotheby,63 640 €,REST,V,,,4175,
MERCEDES,29/03/2019,Fort Lauderdale,280 SL cabriolet hard-top automatique,RM Sotheby,44 060 €,REST,V,,,4175,
MERCEDES,08/03/2019,Amelia Island,280 SL cabriolet hard-top,RM Sotheby,149 700 €,REST,V,,,4175,
MERCEDES,17/01/2019,Phoenix,280 SL cabriolet hard-top (nombreuses améliorations),RM Sotheby's,171 890 €,REST/TR,V,,,4175,
MERCEDES,17/01/2019,Scottsdale,280 SL cabriolet hard-top,Bonhams,60 900 €,REST,V,,,4175,
MERCEDES,17/01/2019,Scottsdale,280 SL cabriolet hard-top,Bonhams,65 810 €,REST,V,,,4175,
MERCEDES,17/01/2019,Scottsdale,280 SL cabriolet hard-top,Bonhams,88 400 €,REST,V,,,4175,
MERCEDES,08/12/2018,Los Angeles,280 SL cabriolet hard-top,RM Sotheby's,54 690 €,REST,V,,,4175,
MERCEDES,24/11/2018,Brooklands,280 SL cabriolet hard-top RHD,Historics at Brooklands,71 350 €,REST,V,,,4175,
MERCEDES,28/09/2018,Southam,280 SL cabriolet hard-top RHD,Silverstone Auctions,116 060 €,OR+,V,,,4175,
MERCEDES,08/09/2018,Goodwood,280 SL cabriolet hard-top RHD autom.,Bonhams,105 470 €,REST,V,,,4175,
MERCEDES,02/09/2018,Auburn,280 SL cabriolet hard-top,RM Sotheby's,83 360 €,OR+,V,,,4175,
MERCEDES,24/08/2018,Monterey,280 SL cabriolet hard-top,RM Sotheby's,86 660 €,OR+,V,,,4175,
,,,,,,,,,,2,
MERCEDES,07/07/2018,Le Mans,280 SL cabriolet hard-top autom.,Artcurial,57 220 €,OR+,V,,,2,
MERCEDES,11/05/2018,Monaco,"280 SL cabriolet hard-top, boîte 5",Bonhams,230 000 €,REST,V,,,2,
MERCEDES,09/03/2018,Amelia Island,280 SL cabriolet hard-top,Gooding & Co,53 630 €,REST,V,,,2,
MERCEDES,10/03/2018,Amelia Island,280 SL cabriolet hard-top,RM Sotheby,93 410 €,REST,V,,,2,
MERCEDES,08/02/2018,Paris,280 SL cabriolet hard-top 4 vitesses,Bonhams,77 080 €,REST,V,,,2,
MERCEDES,19/01/2018,Scottsdale,280 SL cabriolet hard-top,Gooding & Co,60 740 €,REST,V,,,2,
MERCEDES,08/02/2018,Paris,280 SL cabriolet hard-top autom. ex-USA,Bonhams,94 300 €,OR+,V,,,2,
MERCEDES,19/01/2018,Scottsdale,280 SL cabriolet hard-top,Gooding & Co,71 980 €,REST,V,,,2,
MERCEDES,02/12/2017,Pau,280 SL cabriolet hard-top,Carrère & Laborie,52 800 €,RAR,V,,,2,
MERCEDES,25/11/2017,Brooklands,280 SL cabriolet hard-top automatique RHD,Historics at Brooklands,67 270 €,OR+,V,,,2,
