auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id,quote_model,auction_location_encoded,quote_model_encoded,auction_organizor_encoded,auction_restauration_code_encoded,auction_sales_code_encoded
MERCEDES,20190713,BROOKLANDS,280 SL cabriolet hard-top,Brooklands Auctions,62410.0,REST,V,4175,280 SL cabriolet hard-top,5,0,4,6,0
MERCEDES,20190529,AUBURN,280 SL cabriolet hard-top,RM Sotheby's,83630.0,REST,V,4175,280 SL cabriolet hard-top,1,0,14,6,0
MERCEDES,20190518,BROOKLANDS,280 SL cabriolet hard-top RHD,Brooklands Auctions,109610.0,REST,V,4175,280 SL cabriolet hard-top,5,0,4,6,0
MERCEDES,20190329,FORT LAUDERDALE,280 SL cabriolet hard-top,RM Sotheby's,63640.0,REST,V,4175,280 SL cabriolet hard-top,11,0,14,6,0
MERCEDES,20190329,FORT LAUDERDALE,280 SL cabriolet hard-top automatique,RM Sotheby's,44060.0,REST,V,4175,280 SL cabriolet hard-top,11,0,14,6,0
MERCEDES,20190308,AMELIA ISLAND,280 SL cabriolet hard-top,RM Sotheby's,149700.0,REST,V,4175,280 SL cabriolet hard-top,0,0,14,6,0
MERCEDES,20190117,PHOENIX,280 SL cabriolet hard-top (nombreuses améliorations),RM Sotheby's,171890.0,REST/TR,V,4175,280 SL cabriolet hard-top,30,0,14,8,0
MERCEDES,20190117,SCOTTSDALE,280 SL cabriolet hard-top,Bonhams,60900.0,REST,V,4175,280 SL cabriolet hard-top,35,0,3,6,0
MERCEDES,20190117,SCOTTSDALE,280 SL cabriolet hard-top,Bonhams,65810.0,REST,V,4175,280 SL cabriolet hard-top,35,0,3,6,0
MERCEDES,20190117,SCOTTSDALE,280 SL cabriolet hard-top,Bonhams,88400.0,REST,V,4175,280 SL cabriolet hard-top,35,0,3,6,0
MERCEDES,20181208,LOS ANGELES,280 SL cabriolet hard-top,RM Sotheby's,54690.0,REST,V,4175,280 SL cabriolet hard-top,18,0,14,6,0
MERCEDES,20181124,BROOKLANDS,280 SL cabriolet hard-top RHD,Brooklands Auctions,71350.0,REST,V,4175,280 SL cabriolet hard-top,5,0,4,6,0
MERCEDES,20180928,SOUTHAM,280 SL cabriolet hard-top RHD,Silverstone Auctions,116060.0,OR+,V,4175,280 SL cabriolet hard-top,37,0,17,2,0
MERCEDES,20180908,GOODWOOD,280 SL cabriolet hard-top RHD autom.,Bonhams,105470.0,REST,V,4175,280 SL cabriolet hard-top,12,0,3,6,0
MERCEDES,20180902,AUBURN,280 SL cabriolet hard-top,RM Sotheby's,83360.0,OR+,V,4175,280 SL cabriolet hard-top,1,0,14,2,0
MERCEDES,20180824,MONTEREY,280 SL cabriolet hard-top,RM Sotheby's,86660.0,OR+,V,4175,280 SL cabriolet hard-top,23,0,14,2,0
MERCEDES,20180707,LE MANS,280 SL cabriolet hard-top autom.,Artcurial,57220.0,OR+,V,2,280 SL cabriolet hard-top,16,0,0,2,0
MERCEDES,20180511,MONACO,"280 SL cabriolet hard-top, boîte 5",Bonhams,230000.0,REST,V,2,280 SL cabriolet hard-top,22,0,3,6,0
MERCEDES,20180309,AMELIA ISLAND,280 SL cabriolet hard-top,Gooding & Co,53630.0,REST,V,2,280 SL cabriolet hard-top,0,0,10,6,0
MERCEDES,20180310,AMELIA ISLAND,280 SL cabriolet hard-top,RM Sotheby's,93410.0,REST,V,2,280 SL cabriolet hard-top,0,0,14,6,0
MERCEDES,20180208,PARIS,280 SL cabriolet hard-top 4 vitesses,Bonhams,77080.0,REST,V,2,280 SL cabriolet hard-top,26,0,3,6,0
MERCEDES,20180119,SCOTTSDALE,280 SL cabriolet hard-top,Gooding & Co,60740.0,REST,V,2,280 SL cabriolet hard-top,35,0,10,6,0
MERCEDES,20180208,PARIS,280 SL cabriolet hard-top autom. ex-USA,Bonhams,94300.0,OR+,V,2,280 SL cabriolet hard-top,26,0,3,2,0
MERCEDES,20180119,SCOTTSDALE,280 SL cabriolet hard-top,Gooding & Co,71980.0,REST,V,2,280 SL cabriolet hard-top,35,0,10,6,0
MERCEDES,20171202,PAU,280 SL cabriolet hard-top,Carrère & Laborie,52800.0,RAR,V,2,280 SL cabriolet hard-top,27,0,5,5,0
MERCEDES,20171125,BROOKLANDS,280 SL cabriolet hard-top automatique RHD,Brooklands Auctions,67270.0,OR+,V,2,280 SL cabriolet hard-top,5,0,4,2,0
MERCEDES,20171006,KNOKKE-LE-ZOUTE,280 SL cabriolet hard-top ZF 5 vit. hard-top,Bonhams,172500.0,REST,V,2,280 SL cabriolet hard-top,15,0,3,6,0
MERCEDES,20170910,CHANTILLY,"280 SL cabriolet hard-top, boîte ZF 5 vit.",Bonhams,126500.0,OR+,V,2,280 SL cabriolet hard-top,8,0,3,2,0
MERCEDES,20170818,PEBBLE BEACH,280 SL cabriolet + hardtop,Gooding & Co,74830.0,OR+,V,2,280 SL cabriolet hard-top,28,0,10,2,0
MERCEDES,20170818,PEBBLE BEACH,280 SL cabriolet ,Gooding & Co,173040.0,REST,V,2,280 SL cabriolet hard-top,28,0,10,6,0
MERCEDES,20170604,GREENWICH,280 SL cabriolet hard-top,Bonhams,57800.0,OR+,V,2,280 SL cabriolet hard-top,13,0,3,2,0
MERCEDES,20170309,AMELIA ISLAND,280 SL cabriolet hard-top,Bonhams,48750.0,OR+,V,2,280 SL cabriolet hard-top,0,0,3,2,0
MERCEDES,20170209,PARIS,280 SL cabriolet hard-top,Bonhams,97130.0,REST,V,3,280 SL cabriolet hard-top,26,0,3,6,0
MERCEDES,20170209,PARIS,280 SL cabriolet hard-top mécan. ex-USA,Bonhams,73440.0,REST,V,3,280 SL cabriolet hard-top,26,0,3,6,0
MERCEDES,20170118,SCOTTSDALE,280 SL cabriolet hard-top,Worldwide Auctioneers,103430.0,REST,V,3,280 SL cabriolet hard-top,35,0,19,6,0
MERCEDES,20170119,PHOENIX,280 SL cabriolet hard-top autom.,RM Sotheby's,78980.0,REST,V,3,280 SL cabriolet hard-top,30,0,14,6,0
MERCEDES,20161125,MILAN,280 SL roadster California + hard-top ,RM Sotheby's,67200.0,OR,V,3,280 SL cabriolet hard-top,21,0,14,1,0
MERCEDES,20161126,BROOKLANDS,280 SL cabriolet hard-top ex-USA,Brooklands Auctions,69368.0,REST,V,3,280 SL cabriolet hard-top,5,0,4,6,0
MERCEDES,20161106,LYON,"280 SL cabriolet hard-top, 3e siège",J.P. Osenat,79200.0,OR+,V,3,280 SL cabriolet hard-top,20,0,12,2,0
MERCEDES,20161007,KNOKKE-LE-ZOUTE,"280 SL cabriolet hard-top, boîte 5",Bonhams,230000.0,OR+,V,3,280 SL cabriolet hard-top,15,0,3,2,0
MERCEDES,20161003,PHILADELPHIE,280 SL cabriolet hard-top,Bonhams,39160.0,OR,V,3,280 SL cabriolet hard-top,29,0,3,1,0
MERCEDES,20160821,PEBBLE BEACH,280 SL cabriolet hard-top,Gooding & Co,151000.0,OR+,V,3,280 SL cabriolet hard-top,28,0,10,2,0
MERCEDES,20160821,PEBBLE BEACH,280 SL cabriolet hard-top,Gooding & Co,184500.0,REST+,V,3,280 SL cabriolet hard-top,28,0,10,7,0
MERCEDES,20160819,CARMEL,"280 SL cabriolet LHD autom., ex-Jane Russell",Bonhams,58300.0,OR+,V,3,280 SL cabriolet hard-top,7,0,3,2,0
MERCEDES,20160819,CARMEL,280 SL cabriolet LHD autom.,Bonhams,92500.0,REST,V,3,280 SL cabriolet hard-top,7,0,3,6,0
MERCEDES,20160709,LE MANS,280 SL cabriolet hard-top autom. ex-USA,Artcurial,65560.0,REST,V,3,280 SL cabriolet hard-top,16,0,0,6,0
MERCEDES,20160702,LYON,280 SL cabriolet hard-top autom. ex-USA,Claude Aguttes,69600.0,OR+,V,3,280 SL cabriolet hard-top,20,0,6,2,0
MERCEDES,20160624,GOODWOOD,280 SL cabriolet RHD autom.,Bonhams,118500.0,REST,V,3,280 SL cabriolet hard-top,12,0,3,6,0
MERCEDES,20160612,AUVERS-SUR-OISE,280 SL cabriolet hard-top,William Le Calvez,67280.0,REST,V,4,280 SL cabriolet hard-top,2,0,18,6,0
MERCEDES,20160528,LUCERNE,280 SL cabriolet hard-top autom.,Galerie Fischer Auktionen AG,99350.0,OR+,V,4,280 SL cabriolet hard-top,19,0,9,2,0
MERCEDES,20160514,MONACO,280 SL cabriolet hard-top,RM Sotheby's,156800.0,REST,V,4,280 SL cabriolet hard-top,22,0,14,6,0
MERCEDES,20160423,TOFFEN,"280 SL cabriolet + hard-top autom., 3e siège",Oldtimer Galerie Toffen ,89180.0,REST,V,4,280 SL cabriolet hard-top,40,0,13,6,0
MERCEDES,20160320,GOODWOOD,280 SL cabriolet hard-top autom. ex-USA,Bonhams,122730.0,REST,V,4,280 SL cabriolet hard-top,12,0,3,6,0
MERCEDES,20160320,FONTAINEBLEAU,280 SL cabriolet hard-top,J.P. Osenat,60000.0,OR+,V,4,280 SL cabriolet hard-top,10,0,12,2,0
MERCEDES,20160319,STUTTGART,280 SL cabriolet hard-top,Bonhams,98900.0,REST,V,4,280 SL cabriolet hard-top,39,0,3,6,0
MERCEDES,20160312,AMELIA ISLAND,280 SL cabriolet hard-top,RM Sotheby's,183150.0,REST+,V,4,280 SL cabriolet hard-top,0,0,14,7,0
MERCEDES,20160204,PARIS,"280 SL cabriolet hard-top, int. tissu",Bonhams,89700.0,OR+,V,4,280 SL cabriolet hard-top,26,0,3,2,0
MERCEDES,20151128,TOFFEN,280 SL Pagode cabriolet ,Oldtimer Galerie Toffen ,59531.0,OR+,V,4,280 SL cabriolet hard-top,40,0,13,2,0
MERCEDES,20151128,BROOKLANDS,280 SL Pagode cabriolet export USA,Brooklands Auctions,53420.0,REST,V,4,280 SL cabriolet hard-top,5,0,4,6,0
MERCEDES,20150912,GOODWOOD,280 SL (R 107) cabriolet autom.,Bonhams,163020.0,REST,V,4,280 SL cabriolet hard-top,12,0,3,6,0
MERCEDES,20150905,BEAULIEU,280 SL (R 107) cabriolet hard-top autom.,Bonhams,70860.0,REST,V,4,280 SL cabriolet hard-top,3,0,3,6,0
MERCEDES,20150814,CARMEL,280 SL (R 107) cabriolet hard-top,Bonhams,88620.0,OR+,V,4,280 SL cabriolet hard-top,7,0,3,2,0
MERCEDES,20150626,GOODWOOD,280 SL cabriolet hard-top RHD autom.,Bonhams,93800.0,REST,V,4,280 SL cabriolet hard-top,12,0,3,6,0
MERCEDES,20150523,SILVERSTONE,280 SL (R 107) cabriolet RHD,Silverstone Auctions,12343.0,REST,V,4,280 SL cabriolet hard-top,36,0,17,6,0
MERCEDES,20150328,STUTTGART,280 SL cabriolet hard-top autom. ex-USA,Bonhams,104075.0,OR+,V,5,280 SL cabriolet hard-top,39,0,3,2,0
