auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
,,,,,,,,
,,,,,,,A 106 / A 108 Mille Milles coach,1955
,,,,,,,A 108-850 coupé 2 places,1959
,,,,,,,A 108-850 coupé 2 places (phares carénés),1961
,,,,,,,A 108-850 cabriolet 2 places,1959
,,,,,,,A 108-850 cabriolet (phares carénés),1961
,,,,,,,A 110-1100 cabriolet 2 places,1963
,,,,,,,A 108-850 coupé 2 + 2,1961
,,,,,,,A 110 L 1100 coupé GT 4,1963
,,,,,,,A 110 L 1300 coupé GT 4,1966
,,,,,,,A 108-850 berlinette Tour de France,1961
,,,,,,,A 108-904 berlinette,1961
,,,,,,,A 110-1100 VA berlinette V 70,1964
,,,,,,,A 110-1300 VC berlinette V 85,1970
,,,,,,,A 110-1300 VA berlinette 1300 G,1967
,,,,,,,A 110-1300 VB berlinette 1300 S,1966
,,,,,,,A 110-1500 berlinette,1967
,,,,,,,,
ALPINE,Fayence,A 106 Mille Milles (sans moteur),Jean-Pierre Osenat,18 750 €,EP/INC,V,,
ALPINE,Paris,"A 210 berlinette Le Mans, moteurs 1500 + 1000",Artcurial Motorcars,476 800 €,EX,V,,
ALPINE,Monaco,M 64 berlinette #1711 ex-Morrogh/Delageneste,RM Auctions,313 000 €,REST,V,,
,,,,,,,,
,,,,,,,A 110-1600 VA/VB/VC berlinette 1600 S,1970
,,,,,,,A 110-1600 VD berlinette 1600 SC / Si,1974
,,,,,,,A 110-1600 VH berlinette 1600 SX,1976
,,,,,,,A 310-1600 VE (carburateur),1971
,,,,,,,A 310-1600 VF (injection),1973
,,,,,,,A 310-1600 VG (TX),1976
,,,,,,,A 310 V6 (2700 VA) 4 vitesses,1977
,,,,,,,A 310 V6 (2700 VA) 5 vitesses,1979
,,,,,,,A 310 V6 (nouveau train AR),1981
,,,,,,,A 310 V6 Pack GT (usine),1983
,,,,,,,A 310 GT Boulogne 200 ch,1983
,,,,,,,V6 GT (160 ch),1985
,,,,,,,V6 Turbo (200 ch),1986
