auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,6935,
VOLKSWAGEN,,Amelia Island,Coccinelle 1300 coach toit ouvrant,RM Sotheby,23 950 €,REST,V,,,6935,
VOLKSWAGEN,,Ascott,Coccinelle 1300 coach RHD,Historics at Brooklands,4 880 €,OR+,V,,,6935,
VOLKSWAGEN,,Ascott,Coccinelle 1300 coach RHD (moteur 1600),Historics at Brooklands,6 830 €,REST,V,,,6935,
VOLKSWAGEN,,Roubaix,1300 coach,May & Associés,5 030 €,REC,V,,,6935,
VOLKSWAGEN,,Wattripont,1300 toit ouvrant,Collin du Bocage,5 040 €,OR,V,,,6935,
VOLKSWAGEN,,Duxford,Coccinelle 1300 RHD,H & H Classic Auctions,22 410 €,REST+,V,,,6935,
VOLKSWAGEN,,Beaulieu,"Evocation Bugatti 35, base 1300",Bonhams,6 560 €,TR,V,,,6935,
VOLKSWAGEN,,Zurich,Coccinelle 1300 L automatique coach,Oldtimer Galerie Toffen,7 578 €,OR+,V,,,6935,
VOLKSWAGEN,,Brooklands,Coccinelle 1300 coach RHD,Historics at Brooklands,10 794 €,OR+,V,,,6935,
VOLKSWAGEN,,Birmingham,Coccinelle 1300 coach,Silverstone Auctions,6 983 €,OR,V,,,6935,
VOLKSWAGEN,,Cap d'Agde,Coccinelle 1300 coach,Les belles du cap - J. Bessière/A. Artus,5 361 €,OR+,V,,,6935,
VOLKSWAGEN,,Kings Lynn,Coccinelle 1300 coach RHD,Anglia Car Auctions,4 950 €,REST+,V,,,6935,
VOLKSWAGEN,,Harrogate,"Coccinelle 1300 coach RHD, conversion cabriolet",Bonhams,1 210 €,TR/OR,V,,,6935,
VOLKSWAGEN,,Toffen,Coccinelle 1300 coach,Oldtimer Galerie Toffen,2 650 €,OR,V,,,6935,
VOLKSWAGEN,,Reims-Gueux,Coccinelle 1300 coach,Bonhams,1 500 €,OR,V,,,6935,
VOLKSWAGEN,,Toffen,1300 kit Bugatti Replica,Oldtimer Galerie Toffen,6 500 €,TR,V,,,6935,
,,,,,,,,,,2,
VOLKSWAGEN,,Fontainebleau,Coccinelle 1300 Speedster,Jean-Pierre Osenat,10 000 €,TR,V,,,2,
VOLKSWAGEN,,Harrogate,"Coccinelle 1300 coach RHD, toit ouvrant",Bonhams,2 850 €,REST/TR,V,,,2,
VOLKSWAGEN,,Duxford,Coccinelle 1300 coach RHD,H & H Classic Auctions,3 750 €,REST,V,,,2,
VOLKSWAGEN,,Goodwood,"Coccinelle 1300 coach RHD, moteur 2.2 préparé",Bonhams,15 380 €,REST+/TR,V,,,2,
VOLKSWAGEN,,Rennes,Coccinelle 1300 coach,Bretagne Enchères Auto,3 600 €,OR,V,,,2,
VOLKSWAGEN,,Buxton,Coccinelle 1300 coach RHD,H & H Classic Auctions,6 150 €,OR+,V,,,2,
VOLKSWAGEN,,Toffen,Coccinelle 1300 coach LHD toit ouvrant,Oldtimer Galerie Toffen,1 950 €,OR+,V,,,2,
VOLKSWAGEN,,Cheltenham,Coccinelle 1300 coach RHD,H & H Classic Auctions,8 550 €,REST+,V,,,2,
