auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
,,,,,,,,
,,,,,,,Typ 82 Kübelwagen,1939
,,,,,,,Typ 166 Schwimmwagen,1941
,,,,,,,Coccinelle (split) coach Standard,1945
,,,,,,,Coccinelle (split) coach Export,1949
,,,,,,,Coccinelle (ovale) coach Standard,1953
,,,,,,,Coccinelle (ovale) coach Export,1953
,,,,,,,Coccinelle 1200 coach Standard,1957
,,,,,,,Coccinelle 1200 coach Export,1957
,,,,,,,Coccinelle 1200 coach,1967
,,,,,,,Coccinelle 1200 Jeans coach,1973
,,,,,,,Coccinelle 1200 L coach,1973
,,,,,,,Coccinelle 1300 coach,1966
,,,,,,,Coccinelle 1500 coach,1967
,,,,,,,Coccinelle 1300 S coach (1600),1971
,,,,,,,Coccinelle 1600 coach (Mexico),1979
,,,,,,,Coccinelle 1302 coach,1971
,,,,,,,,
,,Typ 11 Export,Métayer Auction,,,,,
,,Coccinelle (split) coach Export,RM Sotheby,,,,,
,,Typ 11 Export,Gooding & Co,,,,,
,,Coccinelle (split) coach Export,RM Sotheby's,,,,,
,,Coccinelle (split) coach export,Jean-Pierre Osenat,,,,,
,,Coccinelle (split) coach,Gooding & Co.,,,,,
,,"Coccinelle ""Split"" coach export",Oldtimer Galerie Toffen,,,,,
,,,,,,,,
,,Coccinelle (split) coach Standard,Artcurial,,,,,
,,Coccinelle (split) Export,Gooding & Co.,,,,,
,,Coccinelle Typ 11 coach,Hermann Historica,,,,,
,,,,,,,,
,,Typ 166 Schwimmwagen,Artcurial,,,,,
,,Typ 166 Schwimmwagen,Pierre Bergé & Associés,,,,,
,,Typ 166 Schwimmwagen,RM Auctions,,,,,
,,Typ 166 Schwimmwagen,Hermann Historica,,,,,
,,"Typ 166 ""Schwimmwagen""",Hermann Historica,,,,,
,,"Typ 166 Schwimmwagen, moteur 1300",Bonhams SAM,,,,,
,,"Typ 166 Schwimmwagen, moteur plus récent",Demade Enchères,,,,,
,,,,,,,,
,,Typ 82 Kübelwagen ,Artcurial,,,,,
,,Typ 82 Kübelwagen,Bonhams,,,,,
,,Typ 86 Kübelwagen 4 x 4 (reconstruction),Hermann Historica,,,,,
,,Typ 82 Kübelwagen,Hermann Historica,,,,,
,,"Typ 82 ""Kübelwagen""",Hermann Historica,,,,,
,,"Typ 82 Kübelwagen, moteur plus récent",Demade Enchères,,,,,
,,"Réplique Kübelwagen Albar, base VW 1300",Oldtimer Galerie Toffen,,,,,
,,,,,,,,
,,,,,,,Coccinelle 1302 S / LS coach (1600),1971
,,,,,,,Coccinelle 1303 coach,1973
,,,,,,,Coccinelle 1303 S / LS coach (1600),1973
,,,,,,,Coccinelle 1303 (S) Big coach,1974
,,,,,,,Coccinelle cabriolet 2 places Hebmüller,1949
,,,,,,,Coccinelle cabriolet Karmann,1949
,,,,,,,Coccinelle cabriolet Karmann,1953
,,,,,,,Coccinelle 1200 / 1300 cabriolet Karmann,1958
,,,,,,,Coccinelle 1500 cabriolet Karmann,1967
,,,,,,,Coccinelle 1302 L / LS cabriolet Karmann,1971
,,,,,,,Coccinelle 1303 L / LS cabriolet Karmann,1973
,,,,,,,"Karmann-Ghia 1200 coupé (type 14, phares bas)",1955
,,,,,,,Karmann-Ghia 1200/1300 coupé (type 14),1960
,,,,,,,Karmann-Ghia 1500/1600 coupé (type 14),1967
,,,,,,,Karmann-Ghia 1600 coupé (type 14),1972
,,,,,,,"Karmann-Ghia 1200 cabriolet (type 14, phares bas)",1958
,,,,,,,,
,,"1200 Jeans, ex Vintage Mecanic",Orne Enchères / M. Pagneux,,,,,
,,"Coccinelle 1600 Silver, 150 km origine",Artcurial Motorcars,,,,,
,,Coccinelle 1200 Jeans coach,Brioult Enchères / M. Pagneux,,,,,
,,Coccinelle 1200 Jeans RHD,Bonhams,,,,,
,,,,,,,,
,,1200 coach,Leclère MDV,,,,,
,,1200 toit ouvrant,Oldtimer Galerie Toffen,,,,,
,,Coccinelle 1200 coach,Cyril Duval,,,,,
