auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,,,5673,
PORSCHE,19/01/2017,Scottsdale,356 cabriolet moteur 1600 Super,Bonhams,210 450 €,REST/TR,V,,5673,
,,,,,,,,,5672,
PORSCHE,07/02/2019,Paris,356-1100 coupé Reutter (5310),Bonhams,805 000 €,REST+,V,,5672,
PORSCHE,25/11/2016,Milan,356-1100 coupé,RM Sotheby's,133 280 €,REC,V,,5672,
PORSCHE,26/06/2015,Goodwood,"RS-61 Spyder course ex-Stirling Moss, Bob Holbert",Bonhams,2 689 480 €,REST,V,,5672,
PORSCHE,07/03/2014,Amelia Island,907 Longtail sport proto,Gooding & Co,2 613 000 €,REST/EX,V,,5672,
PORSCHE,17/01/2014,Phoenix (Arizona),718 RS 61 Spyder,RM Auctions,2 035 000 €,REST+,V,,5672,
,,,,,,,,,11456,
PORSCHE,06/12/2017,New York,918 Weissar Spyder hybride,RM Sotheby,1 467 000 €,OR+,V,,11456,
PORSCHE,18/08/2017,Monterey,908-03 barquette ex-Hans Herrmann/Richard Attwood,RM Sotheby's,3 039 820 €,REST,V,,11456,
PORSCHE,18/08/2017,Monterey,918 Spyder,RM Sotheby's,1 566 250 €,OR+,V,,11456,
,,,,,,,,,5684,
PORSCHE,21/10/2018,Paris,356 A-1600 S cabriolet Reutter + hard-top,Leclère MDV,174 000 €,REST,V,,5684,
PORSCHE,19/01/2017,Phoenix,356 A-1600 S cabriolet,RM Sotheby's,183 980 €,REST,V,,5684,
PORSCHE,21/11/2013,New York,356 A Carrera 1600 GS coupé toit ouvrant Reutter,RM Auctions/Sotheby,447 700 €,REST,V,,5684,
PORSCHE,31/10/2012,Londres,356 A 1600 Super cabriolet RHD,RM Auctions,111 548 €,REST,V,,5684,
PORSCHE,03/02/2012,Paris,356 A-1600 S cabriolet,Artcurial Motorcars,113 179 €,REST+,V,,5684,
,,,,,,,,,11521,
PORSCHE,18/01/2019,Scottsdale,356 A-1600 cabriolet,Gooding Co.,197 030 €,REST,V,,11521,
PORSCHE,08/02/2019,Paris,356 A-1600 cabriolet,Artcurial,178 800 €,REST,V,,11521,
PORSCHE,09/03/2018,Amelia Island,356 A-1600 cabriolet hard-top,Gooding & Co,107 250 €,REST,V,,11521,
PORSCHE,18/08/2017,Pebble Beach,356 A-1600 cabriolet,Gooding & Co,182 390 €,REST,V,,11521,
PORSCHE,09/03/2017,Amelia Island,356 A-1600 cabriolet Reutter,Bonhams,84 590 €,REST,V,,11521,
PORSCHE,18/01/2017,Scottsdale,356 A-1600 cabriolet,Worldwide Auctioneers,144 810 €,REST,V,,11521,
PORSCHE,22/10/2010,Sparkford,356 A-1600 cabriolet,H & H Classic Auctions,25 300 €,RAR,V,,11521,
PORSCHE,09/02/2008,Paris (Bonhams),356 A-1600 cabriolet (61465),Bonhams France,59 000 €,REST+,V,,11521,
,,,,,,,,,5683,
PORSCHE,15/06/2019,Fontainebleau,356 A-1600 coupé ex-USA,Jean-Pierre Osenat,174 000 €,REST+,V,,5683,
PORSCHE,18/01/2019,Scottsdale,356 A-1600 coupé,Gooding Co.,115 760 €,REST,V,,5683,
PORSCHE,28/09/2018,Southam,"356 A coupé LHD, moteur 1720",Silverstone Auctions,92 090 €,REST,V,,5683,
PORSCHE,24/08/2018,Monterey,356 A-1600 coupé Reutter,RM Sotheby's,134 800 €,REST,V,,5683,
PORSCHE,08/03/2018,Amelia Island,356 A-1600 coupé,Bonhams,67 620 €,REST,V,,5683,
PORSCHE,10/03/2018,Amelia Island,356 A coupé Reutter moteur 1600 S,RM Sotheby,95 690 €,REST,V,,5683,
PORSCHE,30/06/2017,Goodwood,356 A-1600 coupé ex-USA,Bonhams,88 940 €,REST,V,,5683,
PORSCHE,30/06/2017,Goodwood,"356 A coupé préparé, moteur 1700",Bonhams,57 530 €,REST/TR,V,,5683,
PORSCHE,13/05/2017,Silverstone,356 A-1600 coupé Reutter,Silverstone Auctions,99 740 €,REST,V,,5683,
PORSCHE,08/02/2017,Paris,356 A-1600 S coupé toit ouvrant,RM Sotheby's,125 840 €,REST,V,,5683,
PORSCHE,09/02/2017,Paris,356 A-1600 T2 coupé toit ouvrant,Bonhams,88 840 €,REST,V,,5683,
PORSCHE,09/07/2016,Le Mans,356 A 1600 coupé préparé 110 ch,Artcurial Motorcars,83 440 €,REST/TR,V,,5683,
PORSCHE,15/01/2015,Scottsdale,356 A 1600 coupé Reutter,Bonhams,88 320 €,REST,V,,5683,
PORSCHE,06/02/2014,Paris,356 A 1600 S coupé préparé,Bonhams,105 800 €,REST/TR,V,,5683,
PORSCHE,08/02/2013,Paris,"356 A 1600 coupé T 2, banquette AV, moteur C",Artcurial Motorcars,53 611 €,REST/TR,V,,5683,
PORSCHE,11/11/2012,Paris,"356 A 1600 coupé T 2, banquette AV, moteur C",Artcurial Motorcars,44 080 €,REST/TR,V,,5683,
,,,,,,,,,5681,
