auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=6967,6967,80 000 €,Typ 82 Kübelwagen,1939
cote.encheres.php?idCote=6968,6968,140 000 €,Typ 166 Schwimmwagen,1941
cote.encheres.php?idCote=11736,11736,40 000 €,Coccinelle (split) coach Standard,1945
cote.encheres.php?idCote=6930,6930,35 000 €,Coccinelle (split) coach Export,1949
cote.encheres.php?idCote=11737,11737,30 000 €,Coccinelle (ovale) coach Standard,1953
cote.encheres.php?idCote=6931,6931,22 000 €,Coccinelle (ovale) coach Export,1953
cote.encheres.php?idCote=11681,11681,27 000 €,Coccinelle 1200 coach Standard,1957
cote.encheres.php?idCote=6932,6932,18 000 €,Coccinelle 1200 coach Export,1957
cote.encheres.php?idCote=6933,6933,12 500 €,Coccinelle 1200 coach,1967
cote.encheres.php?idCote=11339,11339,14 500 €,Coccinelle 1200 Jeans coach,1973
cote.encheres.php?idCote=6934,6934,10 000 €,Coccinelle 1200 L coach,1973
cote.encheres.php?idCote=6935,6935,9 000 €,Coccinelle 1300 coach,1966
cote.encheres.php?idCote=6936,6936,9 500 €,Coccinelle 1500 coach,1967
cote.encheres.php?idCote=9530,9530,11 500 €,Coccinelle 1300 S coach (1600),1971
cote.encheres.php?idCote=11564,11564,8 000 €,Coccinelle 1600 coach (Mexico),1979
cote.encheres.php?idCote=6937,6937,12 000 €,Coccinelle 1302 coach,1971
,,"(None,)","(None,)","(None,)"
,,13 000 €,Coccinelle 1302 S / LS coach (1600),1971
cote.encheres.php?idCote=6938,6938,9 000 €,Coccinelle 1303 coach,1973
cote.encheres.php?idCote=8272,8272,9 500 €,Coccinelle 1303 S / LS coach (1600),1973
,,12 000 €,Coccinelle 1303 (S) Big coach,1974
,,85 000 €,Coccinelle cabriolet 2 places Hebmüller,1949
cote.encheres.php?idCote=6939,6939,60 000 €,Coccinelle cabriolet Karmann,1949
cote.encheres.php?idCote=6940,6940,45 000 €,Coccinelle cabriolet Karmann,1953
cote.encheres.php?idCote=6941,6941,27 000 €,Coccinelle 1200 / 1300 cabriolet Karmann,1958
cote.encheres.php?idCote=6942,6942,21 000 €,Coccinelle 1500 cabriolet Karmann,1967
cote.encheres.php?idCote=6943,6943,19 500 €,Coccinelle 1302 L / LS cabriolet Karmann,1971
cote.encheres.php?idCote=6944,6944,19 000 €,Coccinelle 1303 L / LS cabriolet Karmann,1973
cote.encheres.php?idCote=8637,8637,24 000 €,"Karmann-Ghia 1200 coupé (type 14, phares bas)",1955
cote.encheres.php?idCote=6946,6946,19 000 €,Karmann-Ghia 1200/1300 coupé (type 14),1960
cote.encheres.php?idCote=6947,6947,18 000 €,Karmann-Ghia 1500/1600 coupé (type 14),1967
cote.encheres.php?idCote=6948,6948,16 000 €,Karmann-Ghia 1600 coupé (type 14),1972
