auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,60,
ALFA ROMEO,18/01/2018,Phoenix,G 1 biplace course,RM Sotheby's,363 570 €,REST,V,,,60,
,,,,,,,,,,73,
ALFA ROMEO,26/06/2006,Londres,6 C 1750 Turismo cabriolet James Young (0412349),Christie's,51 000 €,RAR,V,,,73,
,,,,,,,,,,90,
ALFA ROMEO,25/11/2016,Milan,6 C 2500 Freccia d'Oro coach,RM Sotheby's,156 800 €,RAR,V,,,90,
ALFA ROMEO,06/02/2014,Paris,6 C 2500 Freccia d'Oro coach tout alu,Bonhams,86 250 €,REC,V,,,90,
ALFA ROMEO,19/02/2007,Paris,6 C 2500 Sport Freccia d'Oro coach (916218),"Artcurial Briest, Le Fur, Poulai",53 000 €,OR,V,,,90,
,,,,,,,,,,106,
ALFA ROMEO,06/02/2019,Paris,1900 Super Sprint coupé Touring 2e série,RM Sotheby's,230 000 €,REST,V,,,106,
ALFA ROMEO,20/01/2017,Scottsdale,1900 Super Sprint coupé Touring,Gooding & Co.,336 270 €,REST,V,,,106,
ALFA ROMEO,07/10/2016,Knokke le Zoute,1900 C Super Sprint coupé Touring,Bonhams,235 750 €,REST,V,,,106,
ALFA ROMEO,12/03/2016,Amelia Island,"1900 C Super Sprint coupé Touring, boîte 5",RM Sotheby's,272 250 €,REST,V,,,106,
ALFA ROMEO,29/01/2016,Scottsdale,1900 C SS coupé Boano,Gooding & Co.,914 270 €,OR,V,,,106,
ALFA ROMEO,17/01/2014,Scottsdale (Arizona),1900 C Super Sport coupé Ghia,Gooding & Co,480 260 €,REST+,V,,,106,
ALFA ROMEO,16/01/2014,Scottsdale (Arizona),1900 C Super Sprint coupé Touring,Bonhams,162 920 €,,V,,,106,
ALFA ROMEO,12/05/2012,Monaco,1900 SS Corto Gara Stradale coupé Touring,RM Auctions,240 800 €,EX,V,,,106,
ALFA ROMEO,26/10/2011,London,1900 Super Sprint coupé Touring,RM Auction,91 200 €,REST,V,,,106,
ALFA ROMEO,05/02/2011,Paris,1900 Sprint coupé Touring,Bonhams,118 000 €,REST+,V,,,106,
ALFA ROMEO,30/04/2010,Monaco,1900 Super Sprint coupé Touring,Bonhams,74 000 €,REST,V,,,106,
ALFA ROMEO,26/09/2009,Reims-Gueux,1900 Super Sprint coupé Touring,Bonhams,55 000 €,REST+,V,,,106,
ALFA ROMEO,28/06/2008,Saint Cloud,1900 Super Sprint coupé Touring (10160) (EUR),"Artcurial Briest, Poulain, F. Ta",80 000 €,REST,V,,,106,
ALFA ROMEO,09/09/2006,Beaulieu,1900 Super Sprint coupé Touring LHD (01163),Bonhams,22 500 €,OR-,V,,,106,
ALFA ROMEO,07/07/2006,Goodwood,1900 Super Sprint coupé Touring LHD (02042),Bonhams,48 000 €,REST,V,,,106,
,,,,,,,,,,118,
ALFA ROMEO,07/02/2018,Paris,Giulietta Ti berline ex-Jean Sage,RM Sotheby's,41 400 €,REST,V,,,118,
ALFA ROMEO,08/02/2014,Paris,"Giulietta Ti berline, vit. plancher",Artcurial Motorcars,15 496 €,REST,V,,,118,
,,,,,,,,,,132,
ALFA ROMEO,30/06/2019,Chantilly,Giulietta Sprint Speciale Bertone,Bonhams,87 400 €,REST,V,,,132,
ALFA ROMEO,08/09/2018,Goodwood,Giulietta Sprint Speciale,Bonhams,70 840 €,REST,V,,,132,
ALFA ROMEO,05/09/2018,Londres,"Giulietta Sprint Speciale prép., pass FIA",RM Sotheby's,58 700 €,REST/TR,V,,,132,
ALFA ROMEO,24/08/2018,Monterey,Giulietta Sprint Speciale,RM Sotheby's,122 770 €,REST,V,,,132,
ALFA ROMEO,12/05/2018,Monaco,Giulietta Sprint Speciale,RM Sotheby's,387 500 €,REST,V,,,132,
ALFA ROMEO,18/08/2017,Monterey,Giulietta Sprint Speciale Bertone,RM Sotheby's,116 920 €,REST,V,,,132,
ALFA ROMEO,18/08/2017,Pebble Beach,Giulietta Sprint Speciale Bertone,Gooding & Co,84 180 €,REST,V,,,132,
ALFA ROMEO,10/03/2017,Amelia Island,Giulietta Sprint Speciale,Gooding & Co.,113 140 €,REST,V,,,132,
ALFA ROMEO,09/03/2017,Amelia Island,Giulietta Sprint Speciale,Bonhams,79 860 €,REST,V,,,132,
