auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,386,
ASTON MARTIN,09/09/2017,Goodwood,1 1/2 Litre roadster,Bonhams,222 530 €,REST,V,,,386,
ASTON MARTIN,02/09/2017,Beaulieu,1 1/2 Litre Cloverleaf roadster ,Bonhams,77 050 €,REST,V,,,386,
ASTON MARTIN,18/08/2017,Monterey,"DBR 1 barquette, vainqueur de 1 000 km Nürburgring",RM Sotheby's,19 174 270 €,REST,V,,,386,
ASTON MARTIN,26/06/2015,Goodwood,1.5 Litre roadster (le plus ancien connu),Bonhams,262 950 €,REST,V,,,386,
ASTON MARTIN,06/02/2015,Paris,DB Mark III Saloon LHD,Artcurial Motorcars,292 424 €,REST,V,,,386,
,,,,,,,,,,395,
ASTON MARTIN,05/07/2019,Goodwood,DB 2/4 Saloon,Bonhams,179 690 €,OR+,V,,,395,
ASTON MARTIN,30/06/2019,Chantilly,DB 2/4 Saloon,Bonhams,207 000 €,REST,V,,,395,
ASTON MARTIN,19/05/2019,Wormsley,DB 2/4 3 L Saloon RHD,Bonhams,137 760 €,REST,V,,,395,
ASTON MARTIN,18/01/2019,Scottsdale,DB 2/4 Saloon Bertone,Gooding Co.,497 850 €,EX,V,,,395,
ASTON MARTIN,24/08/2018,Pebble Beach,DB 2/4 coupé Allemano,Gooding & Co,576 860 €,REST,V,,,395,
ASTON MARTIN,21/07/2018,Silverstone,DB 2/4 Saloon RHD,Silverstone Auctions,119 670 €,REST,V,,,395,
ASTON MARTIN,02/06/2018,Reading,"DB 2/4 Saloon, prep. VHC",Bonhams,166 930 €,REST,V,,,395,
ASTON MARTIN,08/02/2018,Paris,DB 2/4 Saloon LHD,Bonhams,170 200 €,REST+,V,,,395,
ASTON MARTIN,30/06/2017,Goodwood,DB 2/4 2.9 Litre Saloon RHD,Bonhams,154 520 €,OR,V,,,395,
ASTON MARTIN,13/05/2017,Newport Pagnell,DB 2/4 Saloon RHD,Bonhams,179 800 €,REST,V,,,395,
ASTON MARTIN,19/01/2017,Scottsdale,DB 2/4 Saloon prép. racing,Bonhams,195 050 €,REST/TR,V,,,395,
ASTON MARTIN,21/05/2016,Newport Pagnell,DB 2/4 Saloon,Bonhams,207 620 €,REST,V,,,395,
ASTON MARTIN,21/05/2016,Newport Pagnell,DB 2/4 Saloon,Bonhams,78 350 €,OR-,V,,,395,
ASTON MARTIN,20/04/2016,Duxford,DB 2/4 Saloon,H & H Classic Auctions,287 552 €,REST,V,,,395,
ASTON MARTIN,09/10/2015,Knokke-le-Zoute,DB 2/4 Mk 1 Saloon 3 litres,Bonhams,241 500 €,REST,V,,,395,
ASTON MARTIN,21/03/2015,Goodwood,DB 2/4 Mk I coupé (2.6 l) LHD,Bonhams,111 440 €,OR-,V,,,395,
,,,,,,,,,,8576,
ASTON MARTIN,07/04/2019,goodwood,DB 5 spec. Vantage Saloon,Bonhams,740 750 €,REST,V,,,8576,
ASTON MARTIN,02/12/2017,Londres,DB 5 Vantage Saloon LHD,Bonhams,943 680 €,OR+,V,,,8576,
ASTON MARTIN,10/03/2017,Amelia Island,DB 5 Vantage Saloon LHD,Gooding & Co.,983 840 €,REST,V,,,8576,
ASTON MARTIN,21/05/2016,Newport Pagnell,DB 5 Vantage Saloon,Bonhams,1 059 610 €,OR+,V,,,8576,
ASTON MARTIN,27/10/2010,London,DB 5 Vantage Saloon RHD,RM Auctions,257 600 €,REST,V,,,8576,
ASTON MARTIN,11/09/2010,Reims-Gueux,DB 5 Vantage Saloon LHD méc. (DB5/2217/L),Bonhams,370 000 €,OR+,V,,,8576,
ASTON MARTIN,01/05/2010,Monaco,DB 5 Vantage Saloon,RM Auctions,390 000 €,REST+,V,,,8576,
ASTON MARTIN,13/05/2006,Newport Pagnell,DB 5 Vantage Saloon RHD mécan. (DB5/1973/R),Bonhams,127 500 €,RAR,V,,,8576,
,,,,,,,,,,10947,
ASTON MARTIN,19/05/2019,Wormsley,V8 Saloon Series 4 Oscar India RHD,Bonhams,150 880 €,REST,V,,,10947,
ASTON MARTIN,08/02/2018,Paris,"V8 Saloon Series 4 autom., conversion LHD",Bonhams,59 800 €,OR,V,,,10947,
ASTON MARTIN,26/11/2016,Brooklands,V8 Saloon RHD (moteur démonté),Historics at Brooklands,62 192 €,OR-,V,,,10947,
ASTON MARTIN,21/05/2011,Newport PagNell,V8 Saloon Series 5 Saloon RHD autom.,Bonhams,36 480 €,OR+,V,,,10947,
ASTON MARTIN,21/05/2011,Newport PagNell,V8 Saloon Series 4 RHD autom.,Bonhams,30 780 €,OR+,V,,,10947,
ASTON MARTIN,17/11/2010,Harrogate,V8 Saloon Series 4 RHD autom.,Bonhams,11 210 €,OR,V,,,10947,
ASTON MARTIN,27/10/2010,London,"V8 Saloon Series 4 ""Oscar India""",RM Auctions,50 400 €,REST,V,,,10947,
ASTON MARTIN,30/04/2010,Monaco,"V8 Saloon Series 4 ""Oscar India""",Bonhams,28 000 €,REST,V,,,10947,
ASTON MARTIN,09/05/2009,Newport PagNell,V8 Saloon Series 4 RHD autom.,Bonhams,26 400 €,OR+,V,,,10947,
ASTON MARTIN,09/05/2009,Newport PagNell,"V8 Saloon RHD autom., moteur Vantage 580",Bonhams,37 400 €,REST/TR,V,,,10947,
ASTON MARTIN,09/05/2009,Newport PagNell,V8 Saloon Series 4 RHD autom.,Bonhams,34 100 €,OR+,V,,,10947,
ASTON MARTIN,17/05/2008,Newport Pagnell,"V8 Saloon Series 4 ""Oscar India"" prototype RHD",Bonhams,54 000 €,OR+/EX,V,,,10947,
ASTON MARTIN,23/10/2007,Sandown Park,V8 Saloon Series 4 RHD,Barons Auctions,25 500 €,REST,V,,,10947,
ASTON MARTIN,21/05/2007,Monaco (Bonhams),V8 Saloon Series 4 LHD autom.,Bonhams,34 000 €,OR+,V,,,10947,
ASTON MARTIN,12/05/2007,Newport Pagnell,V8 Saloon Series 3 RHD autom.,Bonhams,24 000 €,REST,V,,,10947,
ASTON MARTIN,12/05/2007,Newport Pagnell,V8 Saloon Series 3 RHD autom.,Bonhams,21 000 €,OR+,V,,,10947,
,,,,,,,,,,12006,
ASTON MARTIN,29/03/2019,Fort Lauderdale,DB-AR 1 V12 roadster Zagato,RM Sotheby,200 700 €,OR+,V,,,12006,
