auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,499,
AUDI,06/02/2015,Paris,Front UW 225 cabriolet,Artcurial Motorcars (collection Baillon),57 216 €,SEP,V,,,499,
AUDI,11/05/2012,Monaco,Front UW 220 cabriolet Gläser,Bonhams,85 100 €,REST,V,,,499,
,,,,,,,,,,9023,
AUDI,20/01/2019,Tarbes,80 GLS 1.6 4 portes (sans CG),SVV Henri Adam / M. Bonoron,120 €,EP,V,,,9023,
AUDI,24/07/2011,Uzerche,80 CD 5 S berline (non tournante),Me Arnaud-Lacroze,50 €,OR-,V,,,9023,
,,,,,,,,,,7156,
AUDI,30/06/2018,Wattripont,100 berline,Collin du Bocage,1 140 €,OR,V,,,7156,
AUDI,29/06/2013,Caen,100 2.3 E berline 5 vit.,SVV Ruellan / M. Pagneux,186 €,OR,V,,,7156,
,,,,,,,,,,12310,
AUDI,14/06/2019,Le Mans,TT Coupé V6 3.2 Quattro,Marie Line Balsan / Dominique Pagneux,15 340 €,OR+,V,,,12310,
AUDI,07/07/2018,Brooklands,TT Coupé V6 3.2 Quattro RHD,Historics at Brooklands,3 930 €,OR+,V,,,12310,
,,,,,,,,,,12152,
AUDI,24/11/2018,Brooklands,R8 Spyder Quattro V10 RHD,Historics at Brooklands,46 320 €,OR+,V,,,12152,
AUDI,13/10/2018,Solterre,R 8 coupé,Montargis Enchères / Old Star Garage,52 620 €,OR+,V,,,12152,
AUDI,07/06/2017,Fléville devant Nancy,TT Roadster V6 3.2 Quattro Tiptronic,Alcopa Auction Nancy,12 100 €,OR,V,,,12152,
AUDI,25/03/2017,Avignon,R 8 Quattro V10 R-Tronic coupé,HdV Avignon (Me Armengau),68 070 €,OR+,V,,,12152,
,,,,,,,,,,12312,
AUDI,24/11/2017,Esvres-sur-Indre,TT Roadster Quattro (180/190 ch),Alcopa,5 660 €,OR,V,,,12312,
,,,,,,,,,,12311,
AUDI,02/06/2019,Greenwich,TT Roadster (180 ch) + hard-top,Bonhams,12 030 €,OR+,V,,,12311,
AUDI,11/09/2017,La Mézière,TT Roadster 1.8 l,Alcopa Auction,5 650 €,OR+,V,,,12311,
AUDI,07/06/2017,Fléville devant Nancy,TT Roadster 1.8 T,Alcopa Auction Nancy,4 430 €,OR+,V,,,12311,
,,,,,,,,,,12308,
AUDI,28/11/2018,Buxton,TT Coupé Quattro RHD,H and H,1 160 €,OR+,V,,,12308,
,,,,,,,,,,12151,
AUDI,29/06/2017,Saint-Priest,TT 1.8 Coupé,Alcopa Auction Lyon,3 610 €,OR,V,,,12151,
,,,,,,,,,,12148,
AUDI,08/05/2017,La Mézière,S 6 V8 4.2 Quattro berline autom. toit ouvrant,Alcopa Auction Rennes,4 400 €,OR+,V,,,12148,
,,,,,,,,,,11949,
AUDI,21/05/2017,Spa,V8 Quattro Procar Belga,Bonhams,29 900 €,OR+,V,,,11949,
AUDI,15/12/2013,Fontainebleau,"A 1 TDi 5 portes, décor Darco (vente caritative)",Jean-Pierre Osenat,13 000 €,EX,V,,,11949,
,,,,,,,,,,506,
AUDI,14/09/2013,Goodwood,"Quattro Sport coupé ""client"" (LHD)",Bonhams,137 802 €,OR+,V,,,506,
AUDI,19/09/2009,Kaufdorf,100 Coupé S,Oldtimer Galerie Toffen,1 520 €,OR-,V,,,506,
AUDI,20/06/2009,Le Plessis-Bouchard,100 Coupé S,"SCP Riquier, Salvi, Gras",4 500 €,OR+,V,,,506,
,,,,,,,,,,7155,
AUDI,02/10/2007,Blackbushe,"100 LS berline RHD mécan., 17 500 miles d'origine",BCA Classic & Historic,3 600 €,OR+,V,,,7155,
,,,,,,,,,,12141,
AUDI,28/11/2018,Buxton,Cabriolet 2.6 Final Edition RHD,H and H,2 670 €,OR+,V,,,12141,
AUDI,29/06/2017,Saint-Priest,Cabriolet 2.0,Alcopa Auction Lyon,2 060 €,OR,V,,,12141,
AUDI,08/05/2017,La Mézière,Cabriolet 2.0,Alcopa Auction Rennes,2 660 €,OR,V,,,12141,
AUDI,19/03/2016,Auvers sur Oise,Cabriolet 2.0 20 V,William Le Calvez,3 480 €,OR+,V,,,12141,
,,,,,,,,,,12143,
AUDI,29/06/2017,Saint-Priest,Coupé 2.3 E autom. toit ouvrant,Alcopa Auction Lyon,1 690 €,OR,V,,,12143,
,,,,,,,,,,7157,
AUDI,08/03/2019,Amelia Island,Quattro Sport coupé (série 200),Gooding & Co,386 740 €,OR+,V,,,7157,
AUDI,18/08/2017,Carmel,Quattro Sport coupé (série 200),Bonhams,412 270 €,OR+,V,,,7157,
AUDI,27/05/2017,Cernobbio,Quattro Sport coupé (série 200),RM Sotheby's,0 €,OR+,V,,,7157,
AUDI,07/09/2016,Londres,Quattro Sport (série 200),RM Sotheby's,480 000 €,OR+,V,,,7157,
AUDI,26/06/2015,Goodwood,Quattro sport châssis court coupé,Bonhams,334 090 €,OR+,V,,,7157,
AUDI,10/05/2008,Monaco (Bonhams),"Quattro Sport coupé ""série 200""",Bonhams SAM,90 000 €,OR+,V,,,7157,
,,,,,,,,,,398,
AUDI,08/05/2017,La Mézière,Quattro 2.3 20 V coupé,Alcopa Auction Rennes,8 020 €,OR+,V,,,398,
AUDI,03/09/2016,Oxford,Quattro 20 V Coupé,Silverstone Auctions,76 456 €,OR+,V,,,398,
AUDI,21/03/2015,Goodwood,"Quattro A1 gr. B usine, ex-Hannu Mikkola",Bonhams,336 320 €,REST,V,,,398,
AUDI,21/03/2015,Goodwood,Quattro sport châssis court coupé,Bonhams,389 500 €,OR+,V,,,398,
AUDI,11/09/2010,Beaulieu,Quattro 20 V coupé,Bonhams,14 570 €,OR,V,,,398,
AUDI,11/07/2008,Goodwood,Quattro coupé RHD,Bonhams,5 850 €,OR+,V,,,398,
AUDI,15/03/2008,Stoneleigh,Quattro coupé RHD toit ouvrant,Bonhams,13 230 €,OR+,V,,,398,
,,,,,,,,,,507,
AUDI,05/07/2019,Goodwood,Quattro coupé (200 ch turbo),Bonhams,32 090 €,OR+,V,,,507,
AUDI,18/05/2019,Brooklands,Quattro coupé (200 ch turbo) RHD,Historics at Brooklands,25 490 €,REST,V,,,507,
AUDI,07/04/2019,goodwood,Quattro V8 coupé 4.2 350 ch,Bonhams,32 120 €,OR+,V,,,507,
AUDI,06/02/2019,Paris,Quattro coupé (200 ch turbo),RM Sotheby's,77 630 €,OR+,V,,,507,
AUDI,10/11/2018,Lyon,Quattro coupé ,Aguttes,43 900 €,OR+,V,,,507,
AUDI,07/07/2018,Brooklands,Quattro coupé,Historics at Brooklands,22 400 €,OR,V,,,507,
AUDI,19/01/2018,Scottsdale,Quattro coupé,Gooding & Co,66 590 €,REST,V,,,507,
AUDI,29/03/2017,Duxford,"Quattro coupé RHD, 8200 miles or.",H & H Classic Auctions,61 030 €,OR+,V,,,507,
AUDI,26/11/2016,Toffen,Quattro coupé toit ouvrant,Oldtimer Galerie Toffen,21 905 €,OR,V,,,507,
AUDI,11/06/2016,Zürich,Quattro coupé Edition Spéciale,Oldtimer Galerie Toffen,42 320 €,OR+,V,,,507,
AUDI,20/04/2016,Duxford,"Quattro coupé, ex-Nigel Mansell",H & H Classic Auctions,38 188 €,REST+,V,,,507,
AUDI,08/02/2013,Paris,Quattro coupé préparé,Artcurial Motorcars,45 272 €,REST/TR,V,,,507,
AUDI,24/07/2010,SilverStone,Quattro coupé 200 ch RHD,Bonhams,6 600 €,OR+,V,,,507,
AUDI,16/11/2009,Paris,Quattro coupé préparé 250 ch Gallaghan,"Artcurial Briest, Poulain, F. Ta",30 000 €,REST/TR,V,,,507,
AUDI,29/04/2008,Sandown Park,"Quattro coupé RHD, moteur 20 V",Barons,8 780 €,REST/TR,V,,,507,
AUDI,07/07/2006,Goodwood,Quattro coupé turbo RHD,Bonhams,8 250 €,OR+,V,,,507,
,,,,,,,,,,9026,
AUDI,28/09/2018,Southam,Coupé GT Quattro RHD (pré-production),Silverstone Auctions,55 510 €,REST,V,,,9026,
,,,,,,,,,,9025,
AUDI,31/01/2011,Sainte-Geneviève,Coupé 2.3 E,Australe,1 600 €,OR,V,,,9025,
AUDI,15/09/2007,Toffen,Coupé 2.3 autom.,Oldtimer Galerie Toffen,520 €,OR,V,,,9025,
AUDI,16/09/2006,Toffen,Coupé 2.3 autom.,Oldtimer Galerie Toffen,460 €,OR,V,,,9025,
,,,,,,,,,,12145,
AUDI,07/09/2016,Londres,A 4 2.0 Quattro Super Tourisme,RM Sotheby's,133 300 €,TR,V,,,12145,
,,,,,,,,,,9030,
AUDI,21/05/2017,Spa,RS 2 Avant,Bonhams,28 750 €,,V,,,9030,
AUDI,22/11/2015,Aytré,TT Roadster 1.8 turbo,SCP MCS / M. Saint-Gal,5 782 €,OR,V,,,9030,
AUDI,08/03/2014,Brooklands,RS 6 Avant Plus break,Historics at Brooklands,16 065 €,OR+,V,,,9030,
AUDI,18/10/2006,Kempton Park,RS 2 Avant RHD,H & H Classic Auctions,19 500 €,OR+,V,,,9030,
,,,,,,,,,,11593,
AUDI,17/08/2012,Monterey,R 8 Proto Le Mans,RM Auctions,837 540 €,EX,V,,,11593,
,,,,,,,,,,11592,
AUDI,25/07/2010,Uzerche,80 2.0 Cabriolet,Me Arnaud-Lacroze / M. Saint-Gal,3 400 €,OR,V,,,11592,
,,,,,,,,,,8339,
AUDI,07/07/2012,Le Mans,80 GTE Supertourisme,Artcurial,15 488 €,REST/TR,V,,,8339,
,,,,,,,,,,8338,
AUDI,25/04/2015,Toffen,80 berline,Oldtimer Galerie Toffen,2 867 €,OR+,V,,,8338,
,,,,,,,,,,9029,
AUDI,12/11/2016,Sainte-Solange,50 GL coach (non tournant),SVV Daguerre,1 500 €,OR,V,,,9029,
