auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,598,
AUSTIN-HEALEY,05/07/2019,Goodwood,100 (BN1) roadster 4 cyl. 3 vitesses RHD,Bonhams,73 160 €,REST,V,,,598,
AUSTIN-HEALEY,07/04/2019,goodwood,100 (BN1) roadster 4 cyl. 3 vitesses,Bonhams,49 510 €,REST,V,,,598,
AUSTIN-HEALEY,07/03/2019,Amelia Island,100 (BN1) roadster 4 cyl. 3 vitesses,Bonhams,38 750 €,REST,V,,,598,
AUSTIN-HEALEY,18/01/2019,Scottsdale,100 (BN1) roadster 4 cyl. 3 vitesses,Gooding Co.,81 280 €,REST,V,,,598,
AUSTIN-HEALEY,11/11/2018,Lyon,100 (BN1L) roadster overdrive,Osenat,62 400 €,REST,V,,,598,
AUSTIN-HEALEY,27/10/2018,Padoue,100 (BN1L) roadster ex-USA,Bonhams,54 050 €,REST,V,,,598,
AUSTIN-HEALEY,09/03/2018,Amelia Island,100 (BN1L) roadster,Gooding & Co,93 840 €,REST,V,,,598,
AUSTIN-HEALEY,08/03/2018,Amelia Island,100 (BN1L) roadster,Bonhams,72 130 €,REST,V,,,598,
AUSTIN-HEALEY,10/03/2018,Amelia Island,100 (BN1L) roadster,RM Sotheby,59 240 €,REST,V,,,598,
AUSTIN-HEALEY,18/01/2018,Phoenix,100 (BN1) roadster,RM Sotheby's,109 800 €,REST,V,,,598,
AUSTIN-HEALEY,28/10/2017,padoue,100 (BN1) roadster 4 cyl. 3 vitesses,Bonhams,55 200 €,REST,V,,,598,
AUSTIN-HEALEY,02/10/2017,Philadelphie,100 (BN1) roadster 4 cyl. 3 vitesses,Bonhams,33 700 €,OR-,V,,,598,
AUSTIN-HEALEY,28/06/2017,Biarritz,"100 (BN1L) roadster, moteur Chrysler V8-318",Côte Basque Enchères / SCP Lelièvre,49 820 €,TR,V,,,598,
AUSTIN-HEALEY,31/05/2017,Ascot,100 (BN1) roadster,Historics at Brooklands,44 750 €,REST,V,,,598,
AUSTIN-HEALEY,31/05/2017,Ascot,100 (BN1) roadster,Historics at Brooklands,46 860 €,REST,V,,,598,
AUSTIN-HEALEY,19/01/2017,Phoenix,100 (BN1L) roadster,RM Sotheby's,76 660 €,REST,V,,,598,
,,,,,,,,,,608,
AUSTIN-HEALEY,02/09/2018,Auburn,Sprite Mark II roadster ,RM Sotheby's,3 320 €,OR+,V,,,608,
AUSTIN-HEALEY,24/02/2018,Bordeaux,Sprite Mark II roadster,Briscadieu/Saint Gal,10 320 €,REST,V,,,608,
AUSTIN-HEALEY,29/04/2017,Toffen,Sprite Mark II roadster,Oldtimer Galerie Toffen,9 690 €,OR,V,,,608,
AUSTIN-HEALEY,19/06/2011,Fontainebleau,"Sprite Mk II roadster 1100 LHD, hard-top",Jean-Pierre Osenat,12 500 €,REST,V,,,608,
,,,,,,,,,,611,
AUSTIN-HEALEY,23/02/2019,Birmingham,Sprite Sebring replica coupé,Silverstone Auctions,27 190 €,REST,V,,,611,
AUSTIN-HEALEY,12/07/2013,Goodwood,Sprite Sebring coupé ex usine,Bonhams,42 330 €,REST,V,,,611,
AUSTIN-HEALEY,10/03/2007,Castle Donington,Sprite cabriolet RHD,Thimbleby & Shorland,1 940 €,OR,V,,,611,
AUSTIN-HEALEY,22/11/2006,Buxton,Sprite cabriolet RHD,H & H Classic Auctions,2 400 €,OR,V,,,611,
,,,,,,,,,,610,
AUSTIN-HEALEY,19/05/2018,Brooklands,Sprite Mark IV cabriolet,Historics at Brooklands,7 170 €,REST,V,,,610,
AUSTIN-HEALEY,13/12/2017,Rodez,Sprite Mark IV cabriolet (1300),Hervé Legroux,8 690 €,OR,V,,,610,
AUSTIN-HEALEY,07/04/2017,Esvres sur Indre,"Sprite Mark IV cabriolet ex-USA, moteur 1500",Alcopa Auction Tours,10 400 €,REST-,V,,,610,
AUSTIN-HEALEY,09/03/2017,Amelia Island,Sprite Mark IV cabriolet,Bonhams,18 670 €,REST,V,,,610,
AUSTIN-HEALEY,06/09/2014,Beaulieu,Sprite Mark IV coupé compétition usine,Bonhams,40 220 €,SEP,V,,,610,
AUSTIN-HEALEY,13/04/2008,Marseille,"Sprite Mark IV cabriolet LHD, roues fil",Motion / Damien Leclère,10 000 €,REST,V,,,610,
AUSTIN-HEALEY,27/11/2007,Blackbushe,"Sprite Mark IV cabriolet RHD, roues disque",BCA Classic & Historic,3 300 €,REST,V,,,610,
AUSTIN-HEALEY,25/11/2006,Toffen,"Sprite Mark IV cabriolet RHD, roues disque",Oldtimer Galerie Toffen,7 150 €,OR+,V,,,610,
AUSTIN-HEALEY,01/10/2006,La Réole,Sprite Mark IV cabriolet LHD,Artcurial,9 000 €,REST,V,,,610,
,,,,,,,,,,609,
AUSTIN-HEALEY,24/02/2018,Bordeaux,Sprite Mark III cabriolet,Briscadieu/Saint Gal,9 000 €,REST,V,,,609,
AUSTIN-HEALEY,06/02/2017,La Mézière,Sprite Mark III cabriolet hard-top ex-USA,Alcopa Auction Rennes,12 900 €,REST,V,,,609,
AUSTIN-HEALEY,29/09/2012,Crosmières,"Sprite Mark III cabriolet LHD, roues disque",Cyril Duval Enchères,10 200 €,RAR,V,,,609,
AUSTIN-HEALEY,06/12/2010,Weybridge,"Sprite Mark III cabriolet RHD hard-top, m. 1380",Bonhams,9 840 €,REST/TR,V,,,609,
AUSTIN-HEALEY,17/11/2010,Harrogate,"Sprite Mark III cabriolet RHD, roues disque",Bonhams,5 660 €,REST+,V,,,609,
AUSTIN-HEALEY,12/09/2009,Beaulieu,Sprite Mark III cabriolet RHD,Bonhams,2 090 €,OR,V,,,609,
AUSTIN-HEALEY,14/03/2009,Saint-Leu-la-Forêt,Sprite Mark III cabriolet (1100),"SCP Riquier, Salvi, Gras",7 600 €,REST,V,,,609,
,,,,,,,,,,607,
AUSTIN-HEALEY,10/04/2019,Buxton,Sprite Mark II roadster (950) RHD,H and H,12 010 €,REST,V,,,607,
AUSTIN-HEALEY,15/09/2012,Toffen,Sprite Frogeye Mk I,Oldtimer Galerie Toffen,16 100 €,OR,V,,,607,
AUSTIN-HEALEY,13/05/2012,Montastruc,Sprite Frogeye roadster hard-top LHD préparé,FEE Machoïr,24 000 €,REST/TR,V,,,607,
AUSTIN-HEALEY,16/04/2007,Paris,"Sprite Mark II roadster LHD, roues disque","Artcurial Briest, Le Fur, Poulai",5 500 €,REST-,V,,,607,
,,,,,,,,,,606,
AUSTIN-HEALEY,30/06/2019,Caen,Sprite Frogeye Speedwell roadster LHD,Marie Line Balsan / Dominique Pagneux,25 260 €,REST,V,,,606,
AUSTIN-HEALEY,10/04/2019,Buxton,Sprite Frogeye roadster RHD,H and H,16 980 €,REST,V,,,606,
AUSTIN-HEALEY,28/11/2018,Buxton,Sprite Frogeye roadster RHD,H and H,15 510 €,REST,V,,,606,
AUSTIN-HEALEY,20/10/2018,Toffen,Sprite Frogeye roadster,Oldtimer Galerie,15 670 €,REST,V,,,606,
AUSTIN-HEALEY,04/11/2018,Paris,"Sprite ”Frogeye” roadster, moteur 1275, boîte 5",Artcurial Motorcars,14 300 €,REST/TR,V,,,606,
AUSTIN-HEALEY,08/09/2018,Goodwood,Sprite Frogeye roadster,Bonhams,22 540 €,REST,V,,,606,
AUSTIN-HEALEY,08/09/2018,Goodwood,Sprite Mk I Sebring,Bonhams,45 080 €,REST,V,,,606,
AUSTIN-HEALEY,05/09/2018,Londres,"Sprite Frogeye prép. usine, ex-Monte-Carlo 1959",RM Sotheby's,121 220 €,REST,V,,,606,
AUSTIN-HEALEY,19/05/2018,Brooklands,Sprite Frogeye roadster,Historics at Brooklands,31 270 €,REST,V,,,606,
AUSTIN-HEALEY,06/04/2018,Fort Lauderdale,Sprite Frogeye roadster,RM Sotheby's,27 750 €,REST,V,,,606,
AUSTIN-HEALEY,21/03/2018,Duxford,Sprite Frogeye roadster,H and H Classics,12 890 €,REST,V,,,606,
AUSTIN-HEALEY,09/09/2017,Goodwood,Sprite Frogeye roadster,Bonhams,17 010 €,REST,V,,,606,
