auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,734,
BMW,07/12/2012,Barcelone,3/15 PS roadster recarrossé,Stanislas Machoïr,30 000 €,TR/REST+,V,,,734,
,,,,,,,,,,746,
BMW,08/09/2014,Londres,319 roadster,RM Auctions,174 706 €,REST,V,,,746,
BMW,12/09/2009,Beaulieu,Frazer Nash 319/2 roadster RHD (54158),Bonhams,55 000 €,REST,V,,,746,
BMW,29/03/2008,Essen,319 Sport roadster LHD (55008),Coys Europe,107 000 €,REST+,V,,,746,
,,,,,,,,,,761,
BMW,07/02/2019,Paris,327/28 cabriolet,Bonhams,212 750 €,REST+,V,,,761,
BMW,16/01/2019,Scottsdale,327/28 cabriolet (80 ch),Worldwide Auctioneers,232 210 €,REST,V,,,761,
BMW,04/06/2017,Greenwich,327/28 cabriolet,Bonhams,195 920 €,REST,V,,,761,
BMW,13/06/2015,Zurich,327/28 cabriolet 80 ch,Oldtimer Galerie Toffen,463 757 €,REST,V,,,761,
BMW,10/06/2013,Paris,"327 cabriolet, moteur 328",Artcurial Motorcars,227 427 €,REST+/TR,V,,,761,
BMW,13/12/2009,Fontainebleau,327/80 cabriolet,Jean-Pierre Osenat,100 000 €,REST,V,,,761,
BMW,12/06/2006,Paris,"327/28 cabriolet, moteur Bristol 100 D2","Artcurial Briest, Le Fur, Poulai",120 000 €,REST/TR,V,,,761,
,,,,,,,,,,770,
BMW,17/01/2019,Phoenix,507 roadster,RM Sotheby's,1 907 480 €,REST,V,,,770,
BMW,01/12/2018,Londres,507 roadster,Bonhams,2 655 080 €,OR+,V,,,770,
BMW,13/07/2018,Goodwood,507 roadster hard-top ex-John Surtees,Bonhams,4 304 740 €,EX,V,,,770,
BMW,07/02/2018,Paris,507 roadster série 2,RM Sotheby's,1 776 880 €,OR+,V,,,770,
BMW,18/08/2017,Pebble Beach,507 roadster,Gooding & Co,2 338 330 €,REST,V,,,770,
BMW,27/05/2017,Cernobbio,507 roadster série 1,RM Sotheby's,0 €,OR+,V,,,770,
BMW,03/02/2016,Paris,"507 roadster hard-top, boîte ZF 5 rapports",RM Sotheby's,2 016 000 €,REST+,V,,,770,
BMW,16/01/2015,Scottsdale,507 roadster ,Gooding & Co.,1 579 050 €,REST+,V,,,770,
BMW,16/08/2014,Pebble Beach,507 roadster série 2 + hard-top,Gooding & Co,1 443 750 €,REST,V,,,770,
BMW,08/03/2014,Amelia Island,507 roadster,RM Auctions,1 742 400 €,REST+,V,,,770,
BMW,07/03/2014,Amelia Island,507 roadster,Gooding & Co,1 306 800 €,REST+,V,,,770,
BMW,21/11/2013,New York,507 roadster,RM Auctions/Sotheby,1 221 000 €,REST,V,,,770,
BMW,20/01/2012,Phoenix,507 roadster,RM Auctions,767 250 €,EX,V,,,770,
BMW,18/08/2011,Carmel (Quail Lodge),507 roadster,Bonhams,651 600 €,REST+,V,,,770,
BMW,19/08/2011,Monterey,507 roadster,RM Auctions,772 200 €,REST+,V,,,770,
BMW,21/05/2011,Cernobbio,507 roadster,RM Auctions,650 000 €,REST,V,,,770,
,,,,,,,,,,785,
BMW,31/10/2016,La Mézière,2000 berline,Alcopa Auction,15 282 €,OR+,V,,,785,
BMW,28/11/2015,Toffen,2000 berline,Oldtimer Galerie Toffen,8 211 €,OR+,V,,,785,
,,,,,,,,,,795,
BMW,08/03/2019,Amelia Island,2002 turbo coach (170 ch),Gooding & Co,99 800 €,REST,V,,,795,
BMW,08/02/2019,Paris,2002 turbo coach Gr 2,Artcurial,95 360 €,REST,V,,,795,
BMW,24/08/2018,Pebble Beach,2002 turbo,Gooding & Co,122 940 €,OR+,V,,,795,
BMW,11/05/2018,Monaco,2002 turbo,Bonhams,101 200 €,REST,V,,,795,
BMW,18/01/2018,Phoenix,2002 turbo,RM Sotheby's,118 960 €,REST,V,,,795,
BMW,18/08/2017,Pebble Beach,2002 turbo coach (170 ch),Gooding & Co,121 590 €,REST,V,,,795,
BMW,29/03/2017,Duxford,2002 turbo,H & H Classic Auctions,85 970 €,REST,V,,,795,
BMW,09/03/2017,Amelia Island,2002 turbo,Bonhams,105 220 €,OR+,V,,,795,
JAGUAR,23/10/2016,Paris,Type E 3.8 cabriolet LHD (plancher plat),Leclère MDV,180 000 €,REST,V,,,795,
BMW,04/02/2016,Paris,2002 turbo,Bonhams,51 750 €,OR+,V,,,795,
BMW,27/02/2015,Berlin,2002 turbo ,Auctionata,80 470 €,OR+,V,,,795,
