auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,2352,
FIAT,08/02/2018,Paris,24/32 HP tonneau,Bonhams,713 000 €,REST,V,,,2352,
,,,,,,,,,,2355,
FIAT,30/06/2018,Wattripont,501 torpédo,Collin du Bocage,2 520 €,REC/INC,V,,,2355,
FIAT,12/09/2015,Goodwood,642 Bartoletti porte-voitures Ecurie Ecosse,Bonhams,898 850 €,REST+/EX,V,,,2355,
FIAT,14/08/2015,Carmel,"Model 56 (USA) Phaeton 6 cyl. 8,6 l",Bonhams,128 010 €,REST,V,,,2355,
FIAT,20/06/2007,Buxton,501 torpédo RHD,H & H Classic Auctions,14 700 €,RAR,V,,,2355,
FIAT,26/06/2006,Londres,501 coupé Will Short,Christie's,9 750 €,RAR,V,,,2355,
,,,,,,,,,,2365,
FIAT,02/09/2017,Beaulieu,510 conduite intérieure 6 cylindres,Bonhams,21 230 €,REST,V,,,2365,
,,,,,,,,,,2376,
FIAT,27/04/2019,Tupelo,525 N torpédo 7 places,Bonhams,35 940 €,REST,V,,,2376,
FIAT,14/05/2016,Monaco,525 N Spider,RM Sotheby's,70 560 €,OR+,V,,,2376,
,,,,,,,,,,7572,
FIAT,17/03/2019,Paris,508 CS Berlinetta Mille Miglia,Claude Aguttes,200 900 €,EX,V,,,7572,
FIAT,12/05/2018,Monaco,508 CS Berlinetta Aerodinamica (ex-Mille Miglia) ,RM Sotheby's,381 880 €,REST,V,,,7572,
FIAT,25/11/2016,Milan,508 S Balilla Sport Berlinetta MM,RM Sotheby's,179 200 €,OR-,V,,,7572,
,,,,,,,,,,2397,
FIAT,30/03/2019,Toffen,500 (Topolino) coupé découvrable,Oldtimer Galerie,2 010 €,OR-,V,,,2397,
FIAT,28/11/2015,Toffen,500 Topolino coupé découvrable,Oldtimer Galerie Toffen,13 343 €,REST,V,,,2397,
FIAT,27/11/2010,Toffen,"500 A ""Topolino"" coupé découvrable",Oldtimer Galerie Toffen,8 860 €,OR+,V,,,2397,
FIAT,13/03/2010,Stoneleigh Park,"500 ""Topolino"" coupé RHD",H & H Classic Auctions,4 180 €,REST,V,,,2397,
FIAT,28/11/2009,Toffen,500 C coupé découvrable,Oldtimer Galerie Toffen,9 430 €,OR+,V,,,2397,
FIAT,23/07/2008,Buxton,"500 ""Topolino"" découvrable RHD",H & H,13 650 €,REST+,V,,,2397,
FIAT,01/12/2007,Toffen,"500 A ""Topolino"" coupé découvrable",Oldtimer Galerie Toffen,7 800 €,OR+,V,,,2397,
,,,,,,,,,,11032,
FIAT,12/06/2016,Auvers sur Oise,126 modifiée découvrable,William Le Calvez,3 480 €,TR,V,,,11032,
FIAT,25/07/2010,Uzerche,126 coach toit ouvrant (sans CG),Me Arnaud-Lacroze / M. Saint-Gal,100 €,OR-,V,,,11032,
,,,,,,,,,,9151,
FIAT,25/06/2006,Nogent le Rotrou,"1400 B berline, imm. italienne",SVV Ecklé / M. Pagneux,4 100 €,REST,V,,,9151,
,,,,,,,,,,7592,
FIAT,01/05/2018,Strasbourg,2300 S coupé,Osenat,27 600 €,OR,V,,,7592,
FIAT,24/03/2018,Avignon,2300 S Coupé,Armengau,20 060 €,OR,V,,,7592,
FIAT,19/01/2017,Phoenix,2300 S coupé,RM Sotheby's,46 830 €,REST,V,,,7592,
FIAT,08/05/2014,Monaco,2300 S coupé Ghia,Pierre Bergé & Associés,15 000 €,OR-,V,,,7592,
FIAT,16/01/2014,Scottsdale (Arizona),2300 S coupé Ghia,Bonhams,12 160 €,OR+,V,,,7592,
FIAT,20/10/2013,Paris,2300 S coupé,Artcurial Motorcars,20 456 €,OR+,V,,,7592,
FIAT,25/11/2006,Toffen,2300 S coupé,Oldtimer Galerie Toffen,4 550 €,OR-,V,,,7592,
,,,,,,,,,,9157,
FIAT,07/02/2019,Paris,"1100 TV coupé Pinin Farina, roues fil",Bonhams,103 500 €,REST,V,,,9157,
FIAT,11/03/2017,Amelia Island,"1100 TV Spider America Bertone, prép. Stanguellini",RM Sotheby's,257 810 €,EX,V,,,9157,
,,,,,,,,,,2424,
FIAT,25/05/2013,Spa Francorchamps,1600 S cabriolet,Bonhams,17 250 €,REST,V,,,2424,
FIAT,26/04/2008,Toffen,1600 S cabriolet,Oldtimer Galerie Toffen,26 000 €,REST,V,,,2424,
FIAT,27/10/2007,Fléville devant Nancy,1600 S cabriolet,Est Auction,6 500 €,REST,V,,,2424,
FIAT,02/04/2006,Fontainebleau,1600 S cabriolet,Jean-Pierre Osenat,12 000 €,REST,V,,,2424,
,,,,,,,,,,11063,
FIAT,02/02/2012,Paris,"900 T fourgonnette, ex-Garage Francorchamps",Bonhams,17 825 €,SEP,V,,,11063,
,,,,,,,,,,7602,
FIAT,30/10/2016,Montastruc,"124 Spider réplique Abarth, moteur 2000",Stanislas Machoïr,36 000 €,TR,V,,,7602,
FIAT,14/05/2016,Monaco,124 Spider 2000 USA,RM Sotheby's,8 400 €,OR+,V,,,7602,
FIAT,29/03/2008,Essen,124 Spider 2000 injection ex-USA,Coys Europe,6 000 €,OR+,V,,,7602,
FIAT,27/11/2007,Blackbushe,124 Spider 2000 ex-USA,BCA Classic & Historic,2 400 €,OR,V,,,7602,
FIAT,03/04/2007,Bridgwater,124 Spider 2000 ex-USA,BCA Classic & Historic,2 250 €,OR-,V,,,7602,
FIAT,05/12/2006,Sandown Park,124 Spider 2000 LHD ex-USA,Barons Auctions,1 650 €,OR,V,,,7602,
FIAT,10/12/2006,Rennes,124 Spider 2000 (USA),Bretagne Enchères Auto,2 600 €,OR,V,,,7602,
,,,,,,,,,,2438,
FIAT,17/06/2019,Paris,"130 coupé 3200 autom., mod. 5 vit.",Artcurial,11 920 €,REST,V,,,2438,
FIAT,11/04/2019,Essen,130 coupé 3200,RM Sotheby's,8 340 €,OR+,V,,,2438,
FIAT,22/09/2018,Brooklands,130 coupé 3200 RHD,Historics at Brooklands,8 560 €,OR+,V,,,2438,
FIAT,09/02/2017,Paris,130 coupé 3200 autom.,Bonhams,11 850 €,OR+,V,,,2438,
FIAT,14/05/2016,Monaco,130 coupé 3200 autom.,RM Sotheby's,15 680 €,OR+,V,,,2438,
FIAT,11/03/2016,Amelia Island,130 coupé 3200,Gooding & Co.,26 730 €,OR+,V,,,2438,
FIAT,10/05/2014,Monaco,130 coupé 3200,RM Auctions,16 800 €,OR+,V,,,2438,
FIAT,29/04/2013,Londres,130 Coupé 3200 RHD autom.,Bonhams,10 071 €,OR+,V,,,2438,
FIAT,17/12/2012,Bruxelles,130 Coupé 3200 LHD mécan.,Pierre Bergé & Associés,13 200 €,OR+,V,,,2438,
FIAT,15/09/2012,Toffen,130 coupé 3200,Oldtimer Galerie Toffen,6 900 €,OR+,V,,,2438,
,,,,,,,,,,9148,
FIAT,28/04/2012,Toffen,Dino 2400 Spider,Oldtimer Galerie Toffen,79 254 €,REST,V,,,9148,
,,,,,,,,,,11936,
FIAT,15/05/2019,Leominster,Barchetta 1.8 16 V LHD,Brightwells,2 770 €,OR+,V,,,11936,
FIAT,07/04/2019,Le Mans,Barchetta 1.8 16 V,Marie Line Balsan / Dominique Pagneux,3 070 €,OR+,V,,,11936,
FIAT,24/11/2018,Mâle,Barchetta 1.8 16 V,Julien Thomas / D. Pagneux,2 640 €,OR,V,,,11936,
FIAT,11/05/2018,Monaco,500 Jollycar,Bonhams,40 250 €,OR+,V,,,11936,
FIAT,01/05/2018,Strasbourg,Barchetta 1.8 16 V,Osenat,6 000 €,OR,V,,,11936,
FIAT,11/09/2017,La Mézière,Barchetta 1.8 16 V,Alcopa Auction,3 760 €,OR,V,,,11936,
FIAT,26/11/2016,Brooklands,"Barchetta conversion RHD, Alfa 2.0 TS",Historics at Brooklands,3 030 €,OR/TR,V,,,11936,
FIAT,06/12/2015,Montastruc,Barchetta 1.8 cabriolet,Stanislas Machoïr,3 000 €,OR-,V,,,11936,
FIAT,03/05/2015,Montastruc,Barchetta 1.8 16 V,Stanislas Machoïr,2 640 €,OR,V,,,11936,
FIAT,20/07/2013,Thorée les Pins,332 C tracteur à chenilles,Cyril Duval Enchères,1 260 €,OR,V,,,11936,
FIAT,18/08/2012,Monterey,"306/2 Racing Transporter, diesel Leyland",RM Auctions,801 900 €,TR/EX,V,,,11936,
,,,,,,,,,,9147,
FIAT,07/02/2019,Paris,500 Jollycar 1.2,Bonhams,32 200 €,OR+,V,,,9147,
FIAT,21/02/2016,Marsac sur l'Isle,580 tracteur agricole,Bertrand Miallon,2 000 €,OR+,V,,,9147,
FIAT,14/10/2012,Fontainebleau,X 1/9 (1300) Série Spéciale,Jean-Pierre Osenat,3 455 €,OR,V,,,9147,
FIAT,22/07/2012,Uzerche,X 1/9 VS (Bertone),Me Arnaud-Lacroze,6 325 €,OR+,V,,,9147,
,,,,,,,,,,2444,
FIAT,15/05/2019,Leominster,X 1/9 VS 1500 découvrable,Brightwells,7 820 €,OR+,V,,,2444,
FIAT,17/11/2018,Turin,X 1/9 1500 découvrable,Aste Bolaffi,14 380 €,OR+,V,,,2444,
FIAT,28/10/2017,padoue,X 1/9 1500 découvrable Bertone,Bonhams,25 460 €,OR+,V,,,2444,
FIAT,03/09/2016,Beaulieu,X 1/9 1500 RHD,Bonhams,5 500 €,OR+,V,,,2444,
FIAT,07/09/2013,Beaulieu,X 1/9 1500 RHD,Bonhams,1 093 €,OR,V,,,2444,
FIAT,27/11/2010,Toffen,X 1/9 1500 Bertone,Oldtimer Galerie Toffen,2 700 €,OR,V,,,2444,
FIAT,19/04/2010,Londres,X 1/9 1500 VS découvrable RHd,Bonhams,3 090 €,OR,V,,,2444,
FIAT,06/03/2010,Kidlington,"X 1/9 1500 RHD, 3 600 miles d'origine",Bonhams,6 710 €,EX,V,,,2444,
FIAT,18/11/2009,Harrogate,X 1/9 1500 découvrable RHD,Bonhams,5 060 €,OR+,V,,,2444,
FIAT,04/06/2009,Paris,X 1/9 1500 découvrable,SVV Auction Art,4 000 €,OR,V,,,2444,
FIAT,20/07/2008,Uzerche,X 1/9 1500 découvrable,Me Arnaud-Lacroze / M. Saint Gal,2 200 €,REST-,V,,,2444,
FIAT,16/09/2006,Toffen,X 1/9 1500 découvrable,Oldtimer Galerie Toffen,2 930 €,OR+,V,,,2444,
,,,,,,,,,,2443,
FIAT,30/03/2019,Toffen,X 1/9 1300 découvrable,Oldtimer Galerie,13 030 €,OR+,V,,,2443,
FIAT,08/02/2018,Paris,X 1/9 1300 préparée Groupe 4,Bonhams,12 650 €,REST,V,,,2443,
FIAT,16/10/2011,Fontainebleau,"X 1/9 1300 découvrable ""Lido""",J.-P. Osenat,5 000 €,OR+,V,,,2443,
FIAT,24/07/2011,Uzerche,X 1/9 découvrable,Me Arnaud-Lacroze,4 000 €,REST-,V,,,2443,
FIAT,20/03/2011,Montastruc,X 1/9 1300 découvrable,FEE Machoïr / M. Pouteau,2 000 €,REST,V,,,2443,
FIAT,02/07/2006,Guilly,X 1/9 1300 découvrable,Montargis Enchères,1 600 €,RET,V,,,2443,
,,,,,,,,,,2442,
FIAT,17/03/2019,Paris,Dino 2400 Spider,Claude Aguttes,159 600 €,REST,V,,,2442,
FIAT,11/05/2018,Monaco,Dino 2400 Spider,Bonhams,108 100 €,REST,V,,,2442,
FIAT,14/10/2017,Toffen,Dino 2400 Spider,Oldtimer Galerie Toffen,128 710 €,REST,V,,,2442,
FIAT,09/02/2017,Paris,Dino 2400 Spider,Bonhams,99 500 €,REST-,V,,,2442,
FIAT,20/01/2017,Scottsdale,Dino 2400 Spider,Gooding & Co.,150 030 €,REST,V,,,2442,
FIAT,22/06/2015,Paris,Dino 2400 Spider,Artcurial Motorcars,151 384 €,REST+,V,,,2442,
FIAT,22/06/2015,Paris,"Dino 2400 Spider, 27 000 km origine",Artcurial Motorcars,188 336 €,OR+/EX,V,,,2442,
