auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,3364,
JAGUAR,06/09/2014,Beaulieu,"SS 1 coach 6-cyl. 3,5 l",Bonhams,67 460 €,REST,V,,,3364,
JAGUAR,20/04/2009,Londres,SS I coach (248082),Bonhams,58 300 €,REST,V,,,3364,
JAGUAR,31/10/2007,Londres,SS I roadster recarrossé,RM Auctions / Sotheby's,142 500 €,TR/REST,V,,,3364,
,,,,,,,,,,3376,
JAGUAR,25/07/2007,Kempton Park,SS Jaguar 3 1/2 Litre berline RHD (30996),H & H Classic Auctions,23 250 €,RAR,V,,,3376,
,,,,,,,,,,3392,
JAGUAR,03/12/2018,Londres,2.4 Litre (Mark 1) berline RHD,Bonhams,25 480 €,OR+,V,,,3392,
JAGUAR,25/11/2016,Milan,2.4 Litre berline LHD,RM Sotheby's,21 280 €,OR,V,,,3392,
JAGUAR,11/04/2011,London,"2.4 Litre ""Mark 1"" berline RHD",Bonhams,14 820 €,REST,V,,,3392,
JAGUAR,04/02/2011,Paris,"2.4 Litre ""Mark 1"" berline LHD, roues disque",Artcurial Motorcars,14 000 €,REST,V,,,3392,
JAGUAR,27/11/2010,Toffen,"2.4 Litre ""Mark 1"" berline LHD",Oldtimer Galerie Toffen,4 620 €,OR,V,,,3392,
JAGUAR,11/12/2007,Sandown Park,"2.4 Litre ""Mark 1"" berline RHD ex-Australie",Barons Auctions,16 500 €,REST+,V,,,3392,
JAGUAR,19/11/2007,Harrogate,"2.4 Litre ""Mark 1"" RHD overdrive, moteur 3.8",Bonhams,7 200 €,REST-/TR,V,,,3392,
JAGUAR,18/04/2007,Buxton,"2.4 Litre ""Mark 1"" berline RHD",H & H Classic Auctions,13 500 €,OR+,V,,,3392,
JAGUAR,25/11/2006,Toffen,"2.4 Litre ""Mark 1"" berline RHD",Oldtimer Galerie Toffen,16 250 €,REST,V,,,3392,
JAGUAR,13/09/2006,Buxton,"2.4 Litre ""Mark 1"" berline RHD overdrive",H & H Classic Auctions,12 300 €,REST,V,,,3392,
JAGUAR,25/06/2006,Nogent le Rotrou,"2.4 Litre ""Mark 1"" berline RHD",SVV Ecklé / M. Pagneux,10 100 €,OR,V,,,3392,
,,,,,,,,,,7694,
JAGUAR,23/04/2016,Brazey en Plaine,XJ 6 4.2 Series 2 berline,HdV Victor Hugo,197 €,EP,V,,,7694,
,,,,,,,,,,11108,
JAGUAR,10/11/2018,Lyon,Sovereign 5.3 HE berline Series 3,Aguttes,16 760 €,OR+,V,,,11108,
JAGUAR,07/06/2017,Fléville devant Nancy,Sovereign 5.3 HE (Series 3),Alcopa Auction Nancy,7 710 €,OR+,V,,,11108,
JAGUAR,01/06/2012,Esvres sur Indre,Sovereign V12 berline LHD,Five Auction Tours,4 346 €,OR,V,,,11108,
JAGUAR,17/10/2010,Fontainebleau,Sovereign V12 berline Series 3 LHD,Jean-Pierre Osenat,2 800 €,OR+,V,,,11108,
JAGUAR,30/11/2009,Sainte-Geneviève,Sovereign V 12 HE berline Series 3 LHD,Australe,1 500 €,OR-,V,,,11108,
JAGUAR,16/11/2009,Paris,Sovereign V12 berline Series 3 LHD,"Artcurial Briest, Poulain, F. Ta",8 500 €,OR+,V,,,11108,
JAGUAR,25/07/2009,SilverStone,Sovereign 5.3 HE berline Series 3 RHD,Bonhams,3 520 €,OR+,V,,,11108,
JAGUAR,25/07/2009,SilverStone,Sovereign 5.3 HE berline RHD (dernière constr.),Bonhams,17 600 €,EX,V,,,11108,
JAGUAR,20/10/2007,Ascot,Sovereign 5.3 HE berline Series 3 RHD,Coys Auctions,3 450 €,OR+,V,,,11108,
JAGUAR,14/07/2007,Woodstock,Sovereign 5.3 HE berline Series 3 RHD,Coys,4 650 €,REST+,V,,,11108,
JAGUAR,14/07/2007,Woodstock,Sovereign 5.3 HE berline Series 3 RHD,Coys,4 350 €,OR+,V,,,11108,
JAGUAR,11/07/2007,Leominster,Sovereign 5.3 HE berline Series 3 RHD,Brightwells,5 850 €,OR+,V,,,11108,
JAGUAR,09/04/2007,Saint James,Sovereign 5.3 HE berline Series 3 LHD toit ouvrant,Toutain-Vente / M. Vaudouër,4 000 €,OR,V,,,11108,
JAGUAR,28/11/2006,Blackbushe,Sovereign 5.3 HE berline Series 3 RHD,BCA Classic & Historic,1 800 €,OR,V,,,11108,
JAGUAR,29/04/2006,Toffen,Sovereign 5.3 HE berline Series 3 LHD,Oldtimer Galerie Toffen,3 580 €,OR,V,,,11108,
JAGUAR,25/04/2006,Sandown Park,Sovereign 5.3 HE berline Series 3 RHD,Barons,2 590 €,OR+,V,,,11108,
,,,,,,,,,,7702,
JAGUAR,21/10/2018,Paris,XJ-S HE V12 coupé LHD,Leclère MDV,12 600 €,OR+,V,,,7702,
JAGUAR,21/07/2018,Silverstone,XJ-S HE V12 coupé RHD,Silverstone Auctions,47 240 €,OR+,V,,,7702,
JAGUAR,08/04/2018,Paris,XJ-S HE V12 coupé,Artcurial Motorcars,16 690 €,OR+,V,,,7702,
JAGUAR,02/09/2017,Beaulieu,XJ-S HE V12 coupé automatique,Bonhams,5 010 €,OR+,V,,,7702,
JAGUAR,21/05/2017,Spa,XJ-S HE V12 coupé,Bonhams,8 630 €,REST,V,,,7702,
JAGUAR,06/11/2016,Lyon-Chassieu,XJ-S HE V12 Convertible H & E ex-USA,Jean-Pierre Osenat,16 800 €,TR/OR+,V,,,7702,
JAGUAR,30/10/2016,Montastruc,XJ-S HE V12 coupé,Stanislas Machoïr,9 000 €,OR,V,,,7702,
JAGUAR,03/09/2016,Chantilly,"XJ-S V12 Lynx Eventer, conversion LHD",Bonhams,70 150 €,REST/TR,V,,,7702,
JAGUAR,24/06/2016,Goodwood,XJ-S HE V12 Lynx Eventer Gucci Design,Bonhams,102 100 €,EX,V,,,7702,
JAGUAR,24/06/2016,Goodwood,XJ-S Lister Le Mans Mark III 7.0 bi-turbo 6 V,Bonhams,42 350 €,EX,V,,,7702,
JAGUAR,10/12/2015,Londres,XJ-S HE V12 Lynx Eventer RHD,Bonhams,54 100 €,OR+,V,,,7702,
JAGUAR,20/06/2015,Lyon,XJ-S HE V12 coupé LHD,Claude Aguttes,9 000 €,OR+,V,,,7702,
JAGUAR,21/03/2015,Lyon,XJ-S HE V12 coupé Le Mans Celebration LHD,Claude Aguttes,18 000 €,OR+,V,,,7702,
JAGUAR,15/03/2015,Fontainebleau,XJ-S HE V12 conversion cabriolet Lynx LHD,Jean-Pierre Osenat,16 200 €,TR/OR,V,,,7702,
JAGUAR,07/09/2013,Beaulieu,XJ-S V12 HE coupé RHD,Bonhams,9 567 €,OR+,V,,,7702,
JAGUAR,09/03/2013,Brooklands,XJ-S HE V12 coupé RHD,Historics at Brooklands,5 140 €,OR+,V,,,7702,
,,,,,,,,,,3418,
JAGUAR,11/04/2019,Essen,XK 120 OTS roadster (caisse acier),RM Sotheby's,103 500 €,REST+,V,,,3418,
JAGUAR,08/03/2019,Amelia Island,XK 120 OTS roadster (caisse acier),RM Sotheby,57 390 €,OR,V,,,3418,
JAGUAR,06/02/2019,Paris,XK 120 SE OTS roadster (caisse acier),RM Sotheby's,101 200 €,REST,V,,,3418,
JAGUAR,07/02/2019,Paris,XK 120 OTS roadster,Bonhams,106 380 €,REST,V,,,3418,
JAGUAR,17/01/2019,Scottsdale,XK 120 OTS roadster (caisse acier),Bonhams,83 490 €,REST,V,,,3418,
JAGUAR,24/11/2018,Brooklands,XK 120 OTS roadster RHD,Historics at Brooklands,100 150 €,REST,V,,,3418,
JAGUAR,04/11/2018,Paris,XK 120 roadster SE ex-USA,Artcurial Motorcars,92 980 €,REST,V,,,3418,
JAGUAR,08/10/2018,Philadelphie,XK 120 OTS roadster,Bonhams,66 750 €,OR+,V,,,3418,
JAGUAR,08/09/2018,Goodwood,XK 120 OTS roadster RHD,Bonhams,122 360 €,OR+,V,,,3418,
JAGUAR,08/09/2018,Goodwood,"XK 120 OTS roadster prép. course, conv. RHD",Bonhams,54 100 €,REST/TR,V,,,3418,
JAGUAR,24/08/2018,Quail Lodge,XK 120 OTS roadster LHD,Bonhams,72 210 €,REST,V,,,3418,
JAGUAR,06/04/2018,Fort Lauderdale,XK 120 OTS roadster,RM Sotheby's,67 340 €,REST,V,,,3418,
JAGUAR,21/03/2018,Duxford,XK 120 OTS roadster,H and H Classics,96 680 €,REST,V,,,3418,
JAGUAR,18/03/2018,Goodwood,XK 120 SE OTS roadster LHD,Bonhams,107 840 €,REST,V,,,3418,
JAGUAR,09/03/2018,Amelia Island,XK 120 OTS roadster,Gooding & Co,75 970 €,OR+,V,,,3418,
JAGUAR,08/03/2018,Amelia Island,XK 120 OTS roadster,Bonhams,64 920 €,REST,V,,,3418,
,,,,,,,,,,12362,
JAGUAR,06/12/2017,New York,Type C barquette compétion (n°007) ex-Phill Hill,RM Sotheby,4 476 400 €,REST,V,,,12362,
JAGUAR,29/03/2017,Duxford,"Type C évocation Suffolk Sportscars, base 420",H & H Classic Auctions,71 650 €,OR+/TR,V,,,12362,
,,,,,,,,,,3436,
JAGUAR,05/07/2019,Goodwood,Type E V12 cabriolet (modèle USA) + hard-top,Bonhams,74 870 €,OR+,V,,,3436,
JAGUAR,17/06/2019,Paris,"Type E V12 cabriolet USA mécan., look Europe",Artcurial,77 480 €,REST,V,,,3436,
JAGUAR,29/03/2019,Fort Lauderdale,Type E V12 cabriolet (modèle USA),RM Sotheby,95 940 €,REST,V,,,3436,
JAGUAR,20/03/2019,Duxford,Type E V12 cabriolet (modèle USA) automatique,H and H,41 570 €,OR,V,,,3436,
