auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,4356,
MG,17/01/2014,Scottsdale (Arizona),Arnolt cabriolet,Gooding & Co,81 400 €,REST+,V,,,4356,
,,,,,,,,,,4366,
MG,07/04/2019,goodwood,Magnette K 1 berline 6 cylindres,Bonhams,28 100 €,OR-,V,,,4366,
,,,,,,,,,,7813,
MG,22/06/2007,Goodwood,"YB 1 1/4 Litre limousine RHD “UHK 111""",Bonhams,9 000 €,RAR,V,,,7813,
MG,10/05/2006,Leominster,YB 1 1/4 Litre limousine RHD,Brightwells,19 050 €,REST+,V,,,7813,
,,,,,,,,,,9001,
MG,10/09/2016,Goodwood,Metro 6 R 4 Groupe B Rothmans,Bonhams,135 000 €,REST,V,,,9001,
MG,25/02/2006,Stoneleigh Park,"Metro 6 R 4 Groupe B, palmarès",Bonhams,51 000 €,EX,V,,,9001,
,,,,,,,,,,7821,
MG,10/02/2017,Paris,Midget PB roadster,Artcurial Motorcars,52 450 €,REST,V,,,7821,
MG,08/02/2009,Paris,Midget PB roadster,Artcurial,20 000 €,REST+,V,,,7821,
MG,12/01/2008,Birmingham,Midget PB roadster (PB 0328),Coys Auctions,24 300 €,REST,V,,,7821,
,,,,,,,,,,4406,
MG,15/05/2019,Leominster,Midget 1500 cabriolet,Brightwells,3 780 €,OR,V,,,4406,
MG,08/12/2018,Los Angeles,Midget 1500 cabriolet LHD,RM Sotheby's,10 460 €,REST,V,,,4406,
MG,24/11/2017,Esvres-sur-Indre,Midget 1500 cabriolet,Alcopa,24 450 €,REST,V,,,4406,
MG,30/06/2017,Goodwood,Midget 1500 Limited Edition RHD (neuve),Bonhams,32 690 €,EX,V,,,4406,
MG,31/05/2017,Ascot,Midget 1500 cabriolet,Historics at Brooklands,2 990 €,REST,V,,,4406,
MG,13/11/2016,Saint-Omer,Midget 1500 cabriolet RHD,HdV Saint-Omer (Me Fourquet),7 800 €,OR,V,,,4406,
MG,28/11/2015,Toffen,Midget 1500 cabriolet LHD,Oldtimer Galerie Toffen,6 672 €,REST,V,,,4406,
MG,28/11/2015,Brooklands,Midget 1500 cabriolet RHD,Historics at Brooklands,6 362 €,REST,V,,,4406,
MG,05/03/2011,OxfOrd,Midget 1500 cabriolet RHD,Bonhams,2 090 €,REST,V,,,4406,
MG,22/10/2010,Sparkford,Midget 1500 cabriolet RHD,H & H Classic Auctions,5 270 €,REST+,V,,,4406,
MG,17/11/2010,Harrogate,"Midget 1500 cabriolet RHD, 105 miles origine",Bonhams,6 490 €,EX,V,,,4406,
MG,06/03/2010,Kidlington,Midget 1500 cabriolet RHD,Bonhams,220 €,OR-,V,,,4406,
MG,06/03/2010,Kidlington,Midget 1500 cabriolet RHD,Bonhams,3 080 €,OR+,V,,,4406,
MG,23/07/2008,Buxton,Midget 1500 cabriolet RHD,H & H,1 820 €,OR,V,,,4406,
MG,19/11/2007,Harrogate,Midget 1500 cabriolet RHD,Bonhams,2 700 €,OR,V,,,4406,
MG,11/07/2007,Leominster,Midget 1500 cabriolet RHD,Brightwells,2 330 €,OR,V,,,4406,
,,,,,,,,,,11664,
MG,22/05/2011,Noyal-sur-Vilaine,MGB GT coupé RHD,Eric Sanson / M. Saint-Gal,2 800 €,OR-,V,,,11664,
MG,05/03/2011,OxfOrd,MGB GT V8 coupé RHD,Bonhams,12 210 €,REST+,V,,,11664,
MG,23/07/2008,Buxton,"MGB GT V8 coupé RHD, toit Webasto",H & H,2 600 €,OR,V,,,11664,
