auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,,,8234,
TRIUMPH,05/03/2011,OxfOrd,Super 8 berline sans montants,Bonhams,5 580 €,OR+,V,,8234,
,,,,,,,,,8236,
TRIUMPH,18/04/2007,Buxton,Vitesse 14/60 limousine (4 cyl. 1.8 l),H & H Classic Auctions,10 200 €,REST,V,,8236,
,,,,,,,,,6731,
TRIUMPH,02/09/2017,Beaulieu,Gloria 6-cylindres Speed tourer,Bonhams,49 960 €,REST,V,,6731,
,,,,,,,,,6729,
TRIUMPH,08/06/2006,Brooklands,Gloria Southern Cross roadster,BCA Classic & Historic,24 750 €,REST,V,,6729,
,,,,,,,,,6728,
TRIUMPH,20/03/2019,Duxford,Gloria Monte Carlo tourer (moteur Ford A 3.3 l),H and H,24 680 €,TR,V,,6728,
,,,,,,,,,8237,
TRIUMPH,10/04/2019,Buxton,Dolomite 14/60 berline 4-cylindres RHD,H and H,12 410 €,OR-,V,,8237,
TRIUMPH,03/07/2009,Goodwood,Dolomite 14 berline 4 cylindres,Bonhams,17 050 €,REST,V,,8237,
TRIUMPH,27/02/2007,Londres,Dolomite 14 berline RHD,Coys Auctions,6 050 €,OR+,V,,8237,
,,,,,,,,,6740,
TRIUMPH,29/05/2019,Auburn,TR 3 A roadster,RM Sotheby's,11 070 €,REST,V,,6740,
TRIUMPH,02/06/2019,Greenwich,TR 3 A roadster,Bonhams,23 070 €,REST,V,,6740,
TRIUMPH,29/03/2019,Fort Lauderdale,TR 3 A roadster,RM Sotheby,24 480 €,REST,V,,6740,
TRIUMPH,29/03/2019,Fort Lauderdale,TR 3 A roadster,RM Sotheby,41 120 €,REST,V,,6740,
TRIUMPH,20/03/2019,Duxford,TR 3 A roadster RHD,H and H,25 660 €,REST,V,,6740,
TRIUMPH,24/03/2019,Avignon,TR 3 A roadster,Leclère Motorcars,39 600 €,REST,V,,6740,
TRIUMPH,04/11/2018,Paris,"TR 3 A roadster LHD, roues fil",Artcurial Motorcars,34 570 €,REST,V,,6740,
TRIUMPH,22/09/2018,Brooklands,"TR 3 A roadster LHD, roues disque",Historics at Brooklands,21 790 €,REST,V,,6740,
TRIUMPH,21/07/2018,Silverstone,"TR 3 A roadster RHD, roues fil",Silverstone Auctions,31 490 €,REST,V,,6740,
TRIUMPH,07/07/2018,Le Mans,"TR 3 A roadster LHD, roues fil",Artcurial,35 760 €,REST,V,,6740,
