auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,,,6968,
VOLKSWAGEN,08/02/2019,Paris,Typ 166 Schwimmwagen,Artcurial,119 200 €,REST,V,,6968,
VOLKSWAGEN,25/03/2013,Bruxelles,Typ 166 Schwimmwagen,Pierre Bergé & Associés,132 000 €,REST+,V,,6968,
VOLKSWAGEN,12/08/2012,Nysted,Typ 166 Schwimmwagen,RM Auctions,112 560 €,RAR,V,,6968,
VOLKSWAGEN,13/11/2009,Le Gua,Typ 166 Schwimmwagen,Hermann Historica,84 000 €,REST,V,,6968,
VOLKSWAGEN,14/06/2008,Le Gua,"Typ 166 ""Schwimmwagen""",Hermann Historica,120 000 €,REST,V,,6968,
VOLKSWAGEN,10/05/2008,Monaco (Bonhams),"Typ 166 Schwimmwagen, moteur 1300",Bonhams SAM,130 000 €,REST+/TR,V,,6968,
VOLKSWAGEN,12/11/2007,Vimoutiers,"Typ 166 Schwimmwagen, moteur plus récent",Demade Enchères,68 000 €,RAR/TR,V,,6968,
,,,,,,,,,6937,
VOLKSWAGEN,19/06/2016,Fontainebleau,Coccinelle 1302 coach,Jean-Pierre Osenat,15 000 €,OR+,V,,6937,
VOLKSWAGEN,03/12/2012,Weybridge,Coccinelle 1302 S coach RHD,Bonhams,9 214 €,OR+,V,,6937,
VOLKSWAGEN,20/07/2008,Uzerche,Coccinelle 1302 L coach,Me Arnaud-Lacroze / M. Saint Gal,3 400 €,OR,V,,6937,
VOLKSWAGEN,09/06/2007,Nonsard,Coccinelle 1302 L coach toit ouvrant,SCP Cappelaere & Prunaux,4 000 €,REST,V,,6937,
,,,,,,,,,6948,
VOLKSWAGEN,19/03/2017,Goodwood,Karmann-Ghia 1600 coupé USA,Bonhams,8 830 €,REST,V,,6948,
VOLKSWAGEN,08/11/2015,Lyon (Epoqu'auto),Karmann-Ghia 1600 (T 14) coupé,Jean-Pierre Osenat,18 000 €,OR+,V,,6948,
VOLKSWAGEN,09/11/2014,Lyon (Epoqu'auto),Karmann-Ghia 1600 coupé ex-USA,Jean-Pierre Osenat,14 300 €,REST-,V,,6948,
VOLKSWAGEN,13/09/2006,Buxton,Karmann-Ghia 1600 coupé T 14 LHD ex-USA,H & H Classic Auctions,4 200 €,OR+,V,,6948,
,,,,,,,,,6959,
VOLKSWAGEN,10/11/2016,Fayence,1600 TLE coupé RHD,Jean-Pierre Osenat,1 875 €,EP,V,,6959,
,,,,,,,,,11835,
VOLKSWAGEN,29/03/2017,Duxford,Transporter (T 3) Komet Autohomes 1.9 RHD,H & H Classic Auctions,12 040 €,REST,V,,11835,
VOLKSWAGEN,20/07/2015,Monaco,Transporter (T 3) 2 litres pick-up,Artcurial Motorcars,1 192 €,OR,V,,11835,
,,,,,,,,,8549,
VOLKSWAGEN,23/02/2019,Birmingham,Golf GTi 1600 (4 vitesses) RHD,Silverstone Auctions,31 340 €,OR+,V,,8549,
VOLKSWAGEN,26/11/2016,Brooklands,Golf GTi 1600 3 portes,Historics at Brooklands,10 365 €,OR+,V,,8549,
VOLKSWAGEN,05/11/2016,Lyon,Golf GTi 1600,Claude Aguttes,28 800 €,REST+,V,,8549,
VOLKSWAGEN,05/09/2015,Beaulieu,Golf GTI 1600 RHD,Bonhams,22 040 €,REST,V,,8549,
VOLKSWAGEN,26/04/2014,Toffen,Golf I 1300,Oldtimer Galerie Toffen,7 790 €,OR+,V,,8549,
VOLKSWAGEN,17/11/2012,Birmingham,Golf GTi 1600,Silverstone Auctions,9 078 €,OR+,V,,8549,
,,,,,,,,,9547,
VOLKSWAGEN,14/10/2017,Toffen,Golf II GTi G 60 3 ou 5 portes (160 ch),Oldtimer Galerie Toffen,9 710 €,OR+,V,,9547,
VOLKSWAGEN,02/05/2015,Beauzelle,Golf II GTI G 60 3 portes,Arnauné & Prim,10 070 €,OR+,V,,9547,
,,,,,,,,,9549,
VOLKSWAGEN,18/06/2018,La Mézière,Scirocco II GT 1.8,Alcopa,3 960 €,OR+,V,,9549,
VOLKSWAGEN,14/04/2018,Lyon,Scirocco II GLi,Aguttes,6 640 €,OR,V,,9549,
VOLKSWAGEN,08/05/2017,La Mézière,Scirocco II GT 1.8,Alcopa Auction Rennes,3 640 €,OR+,V,,9549,
VOLKSWAGEN,11/12/2010,Nogent-le-Rotrou,Scirocco II GT,SVV Ecklé,650 €,OR,V,,9549,
VOLKSWAGEN,29/04/2008,Sandown Park,Scirocco II 1.8 Scala RHD,Barons,2 030 €,OR+,V,,9549,
VOLKSWAGEN,27/11/2007,Blackbushe,Scirocco II GT 1.8 coupé RHD autom.,BCA Classic & Historic,1 580 €,OR+,V,,9549,
VOLKSWAGEN,06/02/2007,Sandown Park,Scirocco II GT 1.8 coupé RHD,Barons Auctions,4 340 €,OR+,V,,9549,
,,,,,,,,,12287,
VOLKSWAGEN,11/09/2017,La Mézière,Transporter Wesfalia camping,Alcopa Auction,9 160 €,OR,V,,12287,
VOLKSWAGEN,25/11/2016,Milan,New Beetle Cabriolet,RM Sotheby's,16 800 €,OR+,V,,12287,
,,,,,,,,,12472,
VOLKSWAGEN,01/07/2018,Lyon,"Lupo GTi 3 portes, boîte 6",Aguttes,9 000 €,OR+,V,,12472,
,,,,,,,,,12282,
VOLKSWAGEN,07/04/2017,Esvres sur Indre,Polo III Coupé G 40 toit ouvrant,Alcopa Auction Tours,4 040 €,OR,V,,12282,
,,,,,,,,,12417,
VOLKSWAGEN,21/10/2017,Fontainebleau,Polo coupé-cabriolet Treser,Osenat,9 600 €,OR+,V,,12417,
,,,,,,,,,11438,
VOLKSWAGEN,30/09/2006,Ascot,Corrado VR 6 Storm coupé RHD,Coys Auctions,10 050 €,OR+,V,,11438,
,,,,,,,,,11488,
VOLKSWAGEN,08/03/2017,Fléville devant Nancy,Corrado 2.0 16 V,Alcopa Auction Nancy,4 630 €,OR+,V,,11488,
,,,,,,,,,9541,
VOLKSWAGEN,11/09/2017,La Mézière,Scirocco GT 1600 coupé,Alcopa Auction,5 310 €,OR,V,,9541,
,,,,,,,,,12286,
VOLKSWAGEN,22/09/2018,Brooklands,Golf IV V5 170 ch 5 portes RHD,Historics at Brooklands,2 300 €,OR+,V,,12286,
,,,,,,,,,11986,
VOLKSWAGEN,08/05/2017,La Mézière,Golf III Cabriolet 1.8 Joker,Alcopa Auction Rennes,1 460 €,OR,V,,11986,
,,,,,,,,,11985,
VOLKSWAGEN,07/04/2017,Esvres sur Indre,"Golf III VR 6 2.8 3 portes, jantes BBS",Alcopa Auction Tours,6 330 €,OR,V,,11985,
,,,,,,,,,12541,
VOLKSWAGEN,01/05/2019,ONLINE,Golf III Cabriolet Avant Garde RHD,H and H,4 720 €,OR,V,,12541,
,,,,,,,,,9546,
VOLKSWAGEN,23/06/2019,Paris,Golf II Rallye G 60 4 x 4 3 portes,Claude Aguttes,23 310 €,OR+,V,,9546,
