auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
,,,,,,,,,,5749,
RENAULT,22/09/2017,Jussac,"Tracteur d'artillerie lourde type EG 8,5 l 45 HP, 4 roues motices et directrices",Alcopa,90 000 €,RAR,V,,,5749,
RENAULT,04/11/2016,Londres,3 1/2 HP type C tonneau,Bonhams,42 800 €,REST,V,,,5749,
RENAULT,05/02/2015,Paris,8 HP type G série B tonneau,Bonhams,100 300 €,REST,V,,,5749,
RENAULT,01/11/2013,Londres,Type G série A mono 6 HP tonneau,Bonhams,105 750 €,REST,V,,,5749,
RENAULT,02/11/2012,Londres,"Type C tonneau, mono De Dion 3.5 HP",Bonhams,68 640 €,REST,V,,,5749,
RENAULT,04/11/2011,Londres,Type G (mono De Dion),Bonhams,92 890 €,REST,V,,,5749,
RENAULT,03/11/2006,Londres,4 1/2 HP type D série E voiturette (moteur De Dion,Bonhams / LBVCR,64 500 €,RAR,V,,,5749,
,,,,,,,,,,5761,
RENAULT,08/02/2018,Paris,50 CV 6 cylindres type BH Roi-des-Belges,Bonhams,89 700 €,REST+,V,,,5761,
RENAULT,08/07/2006,Le Mans,40/45 CV 4 cylindres type DQ roadster,Christie's France,55 000 €,TR/REST+,V,,,5761,
,,,,,,,,,,5775,
RENAULT,21/06/2014,Lyon (Brotteaux),10 CV type OS recarr. coupé de ville,Claude Aguttes SAS,15 600 €,TR/RAR,V,,,5775,
RENAULT,05/06/2010,CadaujaC,10 CV KZ 5 cond. intérieure 5 places RHD,SVV Briscadieu / M. Saint-Gal,1 200 €,OR-,V,,,5775,
RENAULT,14/10/2007,Pont l'Evêque,"10 CV KZ landaulet-taxi, cond. à droite","Artcurial Briest, Le Fur, Poulai",18 000 €,RAR,V,,,5775,
RENAULT,05/11/2006,Chassieu,10 CV KZ camionnette,Besch Cannes Auction / M. Cornu,4 800 €,TR/OR-,V,,,5775,
,,,,,,,,,,5786,
RENAULT,15/06/2019,Fontainebleau,Monasix RY 2 berline,Jean-Pierre Osenat,300 €,SEP,V,,,5786,
RENAULT,09/10/2016,Château sur Epte,Monasix RY 1 coach Chesnot,Artcurial Motorcars,6 080 €,REST-,V,,,5786,
