auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id
ALFA ROMEO,20180118,PHOENIX,G 1 biplace course,RM Sotheby's,363570.0,REST,V,60
ALFA ROMEO,20060626,LONDRES,6 C 1750 Turismo cabriolet James Young (0412349),Christie's,51000.0,RAR,V,73
ALFA ROMEO,20161125,MILAN,6 C 2500 Freccia d'Oro coach,RM Sotheby's,156800.0,RAR,V,90
ALFA ROMEO,20140206,PARIS,6 C 2500 Freccia d'Oro coach tout alu,Bonhams,86250.0,REC,V,90
ALFA ROMEO,20070219,PARIS,6 C 2500 Sport Freccia d'Oro coach (916218),Artcurial,53000.0,OR,V,90
ALFA ROMEO,20190206,PARIS,1900 Super Sprint coupé Touring 2e série,RM Sotheby's,230000.0,REST,V,106
ALFA ROMEO,20170120,SCOTTSDALE,1900 Super Sprint coupé Touring,Gooding & Co,336270.0,REST,V,106
ALFA ROMEO,20161007,KNOKKE-LE-ZOUTE,1900 C Super Sprint coupé Touring,Bonhams,235750.0,REST,V,106
ALFA ROMEO,20160312,AMELIA ISLAND,"1900 C Super Sprint coupé Touring, boîte 5",RM Sotheby's,272250.0,REST,V,106
ALFA ROMEO,20160129,SCOTTSDALE,1900 C SS coupé Boano,Gooding & Co,914270.0,OR,V,106
ALFA ROMEO,20140117,SCOTTSDALE (ARIZONA),1900 C Super Sport coupé Ghia,Gooding & Co,480260.0,REST+,V,106
ALFA ROMEO,20120512,MONACO,1900 SS Corto Gara Stradale coupé Touring,RM Sotheby's,240800.0,EX,V,106
ALFA ROMEO,20111026,LONDON,1900 Super Sprint coupé Touring,RM Sotheby's,91200.0,REST,V,106
ALFA ROMEO,20110205,PARIS,1900 Sprint coupé Touring,Bonhams,118000.0,REST+,V,106
ALFA ROMEO,20100430,MONACO,1900 Super Sprint coupé Touring,Bonhams,74000.0,REST,V,106
ALFA ROMEO,20090926,REIMS-GUEUX,1900 Super Sprint coupé Touring,Bonhams,55000.0,REST+,V,106
ALFA ROMEO,20080628,SAINT CLOUD,1900 Super Sprint coupé Touring (10160) (EUR),Artcurial,80000.0,REST,V,106
ALFA ROMEO,20060909,BEAULIEU,1900 Super Sprint coupé Touring LHD (01163),Bonhams,22500.0,OR-,V,106
ALFA ROMEO,20060707,GOODWOOD,1900 Super Sprint coupé Touring LHD (02042),Bonhams,48000.0,REST,V,106
ALFA ROMEO,20180207,PARIS,Giulietta Ti berline ex-Jean Sage,RM Sotheby's,41400.0,REST,V,118
ALFA ROMEO,20140208,PARIS,"Giulietta Ti berline, vit. plancher",Artcurial,15496.0,REST,V,118
ALFA ROMEO,20190630,CHANTILLY,Giulietta Sprint Speciale Bertone,Bonhams,87400.0,REST,V,132
ALFA ROMEO,20180908,GOODWOOD,Giulietta Sprint Speciale,Bonhams,70840.0,REST,V,132
ALFA ROMEO,20180905,LONDRES,"Giulietta Sprint Speciale prép., pass FIA",RM Sotheby's,58700.0,REST/TR,V,132
ALFA ROMEO,20180824,MONTEREY,Giulietta Sprint Speciale,RM Sotheby's,122770.0,REST,V,132
ALFA ROMEO,20180512,MONACO,Giulietta Sprint Speciale,RM Sotheby's,387500.0,REST,V,132
ALFA ROMEO,20170818,MONTEREY,Giulietta Sprint Speciale Bertone,RM Sotheby's,116920.0,REST,V,132
