auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=60,60.0,-------,12/15/20 HP torpédo,1910
cote.encheres.php?idCote=61,61.0,-------,24 HP torpédo,1911
cote.encheres.php?idCote=66,66.0,-------,RL Sport/RLSS torpédo,1922
cote.encheres.php?idCote=67,67.0,-------,RL Sport/RLSS cabriolet,1922
cote.encheres.php?idCote=68,68.0,-------,RM/RMS/RMU torpédo,1923
cote.encheres.php?idCote=70,70.0,75 000 €,6 C 1500 Turismo limousine,1927
cote.encheres.php?idCote=71,71.0,220 000 €,6 C 1500 Sport cabriolet,1928
cote.encheres.php?idCote=72,72.0,110 000 €,6 C 1750 Turismo berline,1929
cote.encheres.php?idCote=73,73.0,90 000 €,6 C 1750 Turismo limousine,1929
cote.encheres.php?idCote=76,76.0,220 000 €,6 C 1750 Gran Turismo cabriolet,1929
cote.encheres.php?idCote=77,77.0,650 000 €,6 C 1750 SS/Gran Sport roadster,1929
cote.encheres.php?idCote=78,78.0,700 000 €,6 C 1750 GS roadster à compresseur,1929
cote.encheres.php?idCote=80,80.0,190 000 €,6 C 1900 Gran Turismo cabriolet,1933
cote.encheres.php?idCote=82,82.0,95 000 €,6 C 2300 berline,1934
cote.encheres.php?idCote=83,83.0,115 000 €,6 C 2300 B berline,1936
cote.encheres.php?idCote=84,84.0,165 000 €,6 C 2300 Pescara coach,1934
cote.encheres.php?idCote=88,88.0,120 000 €,6 C 2500 Turismo berline,1939
cote.encheres.php?idCote=90,90.0,180 000 €,6 C 2500 Freccia d'Oro coach,1947
cote.encheres.php?idCote=91,91.0,300 000 €,6 C 2500 Super Sport coupé,1939
cote.encheres.php?idCote=92,92.0,420 000 €,6 C 2500 Super Sport coupé Villa d'Este,1946
cote.encheres.php?idCote=93,93.0,420 000 €,6 C 2500 Super Sport cabriolet,1939
cote.encheres.php?idCote=94,94.0,380 000 €,6 C 2500 Super Sport cabriolet,1946
cote.encheres.php?idCote=95,95.0,2 500 000 €,8 C 2300 cabriolet (châssis long),1931
cote.encheres.php?idCote=96,96.0,-------,8 C 2300 roadster (châssis court),1931
cote.encheres.php?idCote=97,97.0,-------,8 C 2900 A/B spider Touring,1938
cote.encheres.php?idCote=98,98.0,-------,8 C 2900 A/B coach Touring,1938
cote.encheres.php?idCote=99,99.0,40 000 €,1900 berline,1951
cote.encheres.php?idCote=101,101.0,45 000 €,1900 Super berline,1954
cote.encheres.php?idCote=105,105.0,420 000 €,1900 Sprint coupé Touring 1ère série,1951
cote.encheres.php?idCote=106,106.0,290 000 €,1900 Sprint coupé Touring 2e série,1954
cote.encheres.php?idCote=107,107.0,340 000 €,1900 Super Sprint coupé Touring 3e série,1956
cote.encheres.php?idCote=10897,10897.0,450 000 €,1900 Super Sprint berlinette Zagato,1955
cote.encheres.php?idCote=108,108.0,20 000 €,2000 berline,1958
cote.encheres.php?idCote=110,110.0,85 000 €,2000 Spider Touring,1958
cote.encheres.php?idCote=111,111.0,24 000 €,2600 berline 6 cylindres,1962
cote.encheres.php?idCote=113,113.0,65 000 €,2600 Sprint coupé,1962
cote.encheres.php?idCote=114,114.0,170 000 €,2600 SZ coupé Zagato,1965
cote.encheres.php?idCote=115,115.0,100 000 €,2600 Spider Touring,1962
cote.encheres.php?idCote=11359,11359.0,10 000 €,Dauphine berline,1960
cote.encheres.php?idCote=11604,11604.0,12 000 €,Ondine berline,1961
