auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=60,60,-------,12/15/20 HP torpédo,1910
cote.encheres.php?idCote=61,61,-------,24 HP torpédo,1911
,,-------,20/30 HP torpédo,1914
,,-------,20/30 HP Sport torpédo,1921
,,-------,6 cyl. Tipo G coupé de ville,1922
,,-------,Tipo RL torpédo,1922
cote.encheres.php?idCote=66,66,-------,RL Sport/RLSS torpédo,1922
cote.encheres.php?idCote=67,67,-------,RL Sport/RLSS cabriolet,1922
cote.encheres.php?idCote=68,68,-------,RM/RMS/RMU torpédo,1923
,,-------,RM/RMS/RMU berline,1923
cote.encheres.php?idCote=70,70,75 000 €,6 C 1500 Turismo limousine,1927
cote.encheres.php?idCote=71,71,220 000 €,6 C 1500 Sport cabriolet,1928
cote.encheres.php?idCote=72,72,110 000 €,6 C 1750 Turismo berline,1929
cote.encheres.php?idCote=73,73,90 000 €,6 C 1750 Turismo limousine,1929
,,130 000 €,6 C 1750 Gran Turismo berline,1929
,,160 000 €,6 C 1750 Sport coach,1929
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=76,76,220 000 €,6 C 1750 Gran Turismo cabriolet,1929
cote.encheres.php?idCote=77,77,650 000 €,6 C 1750 SS/Gran Sport roadster,1929
cote.encheres.php?idCote=78,78,700 000 €,6 C 1750 GS roadster à compresseur,1929
,,95 000 €,6 C 1900 Gran Turismo berline,1933
cote.encheres.php?idCote=80,80,190 000 €,6 C 1900 Gran Turismo cabriolet,1933
,,145 000 €,6 C 1900 Gran Turismo coupé,1933
cote.encheres.php?idCote=82,82,95 000 €,6 C 2300 berline,1934
cote.encheres.php?idCote=83,83,115 000 €,6 C 2300 B berline,1936
cote.encheres.php?idCote=84,84,165 000 €,6 C 2300 Pescara coach,1934
,,90 000 €,6 C 2300 B Turismo limousine,1936
,,280 000 €,6 C 2300 B Mille Miglia berlinette,1936
,,180 000 €,6 C 2300 Gran Turismo cabriolet,1934
cote.encheres.php?idCote=88,88,120 000 €,6 C 2500 Turismo berline,1939
,,95 000 €,6 C 2500 Turismo limousine,1947
cote.encheres.php?idCote=90,90,180 000 €,6 C 2500 Freccia d'Oro coach,1947
,,140 000 €,6 C 2500 Sport berline Pinin Farina,1949
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=91,91,300 000 €,6 C 2500 Super Sport coupé,1939
cote.encheres.php?idCote=92,92,420 000 €,6 C 2500 Super Sport coupé Villa d'Este,1946
cote.encheres.php?idCote=93,93,420 000 €,6 C 2500 Super Sport cabriolet,1939
cote.encheres.php?idCote=94,94,380 000 €,6 C 2500 Super Sport cabriolet,1946
cote.encheres.php?idCote=95,95,2 500 000 €,8 C 2300 cabriolet (châssis long),1931
cote.encheres.php?idCote=96,96,-------,8 C 2300 roadster (châssis court),1931
cote.encheres.php?idCote=97,97,-------,8 C 2900 A/B spider Touring,1938
cote.encheres.php?idCote=98,98,-------,8 C 2900 A/B coach Touring,1938
cote.encheres.php?idCote=99,99,40 000 €,1900 berline,1951
,,45 000 €,1900 Ti berline,1953
cote.encheres.php?idCote=101,101,45 000 €,1900 Super berline,1954
,,49 000 €,1900 Ti Super berline,1954
,,60 000 €,1900 Primavera coach,1955
,,140 000 €,1900 cabriolet Stab. Farina,1950
cote.encheres.php?idCote=105,105,420 000 €,1900 Sprint coupé Touring 1ère série,1951
cote.encheres.php?idCote=106,106,290 000 €,1900 Sprint coupé Touring 2e série,1954
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=107,107,340 000 €,1900 Super Sprint coupé Touring 3e série,1956
cote.encheres.php?idCote=10897,10897,450 000 €,1900 Super Sprint berlinette Zagato,1955
cote.encheres.php?idCote=108,108,20 000 €,2000 berline,1958
,,45 000 €,2000 Sprint coupé,1961
cote.encheres.php?idCote=110,110,85 000 €,2000 Spider Touring,1958
cote.encheres.php?idCote=111,111,24 000 €,2600 berline 6 cylindres,1962
,,35 000 €,2600 De Luxe berline OSI,1965
cote.encheres.php?idCote=113,113,65 000 €,2600 Sprint coupé,1962
cote.encheres.php?idCote=114,114,170 000 €,2600 SZ coupé Zagato,1965
cote.encheres.php?idCote=115,115,100 000 €,2600 Spider Touring,1962
cote.encheres.php?idCote=11359,11359,10 000 €,Dauphine berline,1960
cote.encheres.php?idCote=11604,11604,12 000 €,Ondine berline,1961
,,24 000 €,Giulietta berline,1955
cote.encheres.php?idCote=116,116,22 000 €,Giulietta berline,1959
cote.encheres.php?idCote=117,117,30 000 €,Giulietta Ti berline,1958
cote.encheres.php?idCote=118,118,28 000 €,Giulietta Ti berline,1962
,,"(None,)","(None,)","(None,)"
,,18 000 €,Giulia ti berline (vit. au volant),1963
cote.encheres.php?idCote=120,120,19 000 €,Giulia ti berline (vit. plancher),1963
cote.encheres.php?idCote=121,121,110 000 €,Giulia ti Super berline (allégée),1964
cote.encheres.php?idCote=122,122,24 000 €,Giulia Super 1600 berline,1966
cote.encheres.php?idCote=123,123,15 000 €,Giulia 1300 berline,1966
cote.encheres.php?idCote=124,124,17 000 €,Giulia 1300 ti / 1300 Super berline,1970
cote.encheres.php?idCote=125,125,19 000 €,Giulia Nuova Super 1.3 berline,1974
cote.encheres.php?idCote=126,126,22 000 €,Giulia Nuova Super 1.6 berline,1974
cote.encheres.php?idCote=127,127,75 000 €,Giulietta Sprint coupé,1954
cote.encheres.php?idCote=10939,10939,65 000 €,Giulietta Sprint coupé,1959
cote.encheres.php?idCote=8486,8486,160 000 €,Giulietta Sprint Veloce allégée (tipo 750 E),1956
cote.encheres.php?idCote=128,128,95 000 €,Giulietta Sprint Veloce (tipo 10106),1959
cote.encheres.php?idCote=129,129,60 000 €,1300 Sprint coupé,1963
cote.encheres.php?idCote=130,130,70 000 €,Giulia 1600 Sprint coupé,1962
,,75 000 €,Giulia 1600 Sprint coupé (freins à disques),1963
cote.encheres.php?idCote=132,132,150 000 €,Giulietta Sprint Speciale Bertone,1958
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=133,133,130 000 €,Giulia 1600 SS Bertone,1962
cote.encheres.php?idCote=134,134,300 000 €,Giulietta SZ coupé Zagato (tipo 10126),1960
cote.encheres.php?idCote=135,135,400 000 €,Giulietta SZ coda tronca,1961
cote.encheres.php?idCote=136,136,850 000 €,Giulia TZ 1 coupé alu Zagato,1962
cote.encheres.php?idCote=137,137,80 000 €,Giulietta Spider,1956
cote.encheres.php?idCote=138,138,120 000 €,Giulietta Spider Veloce (tipo 750 F / 10107),1957
cote.encheres.php?idCote=139,139,85 000 €,Giulia 1600 Spider (tipo 10123),1963
cote.encheres.php?idCote=140,140,95 000 €,Giulia Spider Veloce (tipo 10118),1963
cote.encheres.php?idCote=165,165,80 000 €,1750 Gran Sport 4 R roadster,1966
cote.encheres.php?idCote=141,141,45 000 €,Giulia Sprint GT coupé Bertone,1963
cote.encheres.php?idCote=142,142,49 000 €,Giulia Sprint GT Veloce coupé Bertone,1965
cote.encheres.php?idCote=143,143,340 000 €,Giulia Sprint GTA 1600 coupé (tipo 10502 A),1965
cote.encheres.php?idCote=144,144,260 000 €,Giulia GTA 1300 Junior coupé (tipo 10559),1968
cote.encheres.php?idCote=145,145,52 000 €,1750 GTV coupé Bertone,1968
cote.encheres.php?idCote=146,146,47 000 €,2000 GTV coupé Bertone,1972
cote.encheres.php?idCote=147,147,27 000 €,GT 1300 Junior coupé Bertone,1966
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=148,148,29 000 €,GT 1300 Junior coupé Bertone,1971
cote.encheres.php?idCote=149,149,28 000 €,GT 1300 Junior coupé (4 phares),1974
cote.encheres.php?idCote=150,150,30 000 €,GT 1600 Junior coupé Bertone,1972
cote.encheres.php?idCote=151,151,32 000 €,GT 1600 Junior coupé (4 phares),1974
cote.encheres.php?idCote=152,152,120 000 €,Giulia GTC cabriolet,1965
cote.encheres.php?idCote=163,163,50 000 €,1300 Junior Z coupé (tipo 10593),1970
cote.encheres.php?idCote=164,164,55 000 €,1600 Junior Z coupé (tipo 11524),1972
cote.encheres.php?idCote=153,153,35 000 €,Spider 1600 Duetto (coda longa),1966
cote.encheres.php?idCote=154,154,34 000 €,Spider 1750 Veloce (coda longa),1968
cote.encheres.php?idCote=155,155,28 000 €,Spider 1300 Junior (coda longa),1968
cote.encheres.php?idCote=156,156,22 000 €,Spider 1300 Junior (coda tronca),1971
cote.encheres.php?idCote=157,157,23 000 €,Spider 1600 Junior (coda tronca),1971
cote.encheres.php?idCote=158,158,24 000 €,Spider 1750 Veloce (coda tronca),1970
