auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=386,386,-------,1 1/2 Litre roadster,1921
cote.encheres.php?idCote=387,387,-------,1 1/2 Litre ACT type T tourer,1927
cote.encheres.php?idCote=7147,7147,250 000 €,1 1/2 Litre International roadster,1929
,,400 000 €,1 1/2 Litre Le Mans roadster,1932
cote.encheres.php?idCote=7149,7149,-------,12/50 Standard berline,1933
cote.encheres.php?idCote=388,388,750 000 €,1 1/2 Litre Mark 2 Ulster,1934
cote.encheres.php?idCote=7150,7150,350 000 €,1 1/2 Litre Mark 2 Short roadster,1934
cote.encheres.php?idCote=389,389,160 000 €,1 1/2 Litre Mark 2 Long coach/berline,1934
cote.encheres.php?idCote=390,390,450 000 €,2 Litre Speed Model,1936
cote.encheres.php?idCote=7151,7151,360 000 €,2 Litre 15/98 Short roadster,1937
cote.encheres.php?idCote=391,391,140 000 €,2 Litre 15/98 Long berline,1937
cote.encheres.php?idCote=392,392,400 000 €,2 litre (DB1) cabriolet,1948
cote.encheres.php?idCote=393,393,240 000 €,DB 2 Saloon (coach 2 places),1950
cote.encheres.php?idCote=12307,12307,400 000 €,DB 2 Vantage Saloon,1951
cote.encheres.php?idCote=394,394,340 000 €,DB 2 cabriolet,1950
cote.encheres.php?idCote=395,395,220 000 €,DB 2/4 Saloon,1953
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=396,396,320 000 €,DB 2/4 cabriolet (2.6 l),1954
cote.encheres.php?idCote=397,397,330 000 €,DB 2/4 cabriolet (2.9 l),1954
cote.encheres.php?idCote=399,399,240 000 €,DB 2/4 Mark 2 Saloon,1955
cote.encheres.php?idCote=400,400,290 000 €,DB 2/4 Mark 2 Coupé Tickford,1955
cote.encheres.php?idCote=401,401,340 000 €,DB 2/4 Mark 2 cabriolet,1955
cote.encheres.php?idCote=402,402,290 000 €,DB Mark 3 Saloon,1957
cote.encheres.php?idCote=403,403,320 000 €,DB Mark 3 Coupé Tickford,1959
cote.encheres.php?idCote=404,404,420 000 €,DB Mark 3 cabriolet,1957
cote.encheres.php?idCote=405,405,600 000 €,DB 4 Saloon,1958
cote.encheres.php?idCote=406,406,850 000 €,DB 4 Vantage Saloon,1962
,,950 000 €,DB 4 Vantage GT Saloon,1963
cote.encheres.php?idCote=407,407,1 400 000 €,DB 4 cabriolet,1961
cote.encheres.php?idCote=408,408,2 500 000 €,DB 4 GT Touring (châssis court),1959
cote.encheres.php?idCote=409,409,-------,DB 4 GT Zagato,1960
cote.encheres.php?idCote=410,410,750 000 €,DB 5 Saloon,1963
cote.encheres.php?idCote=8576,8576,850 000 €,DB 5 Vantage Saloon,1963
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=411,411,1 500 000 €,DB 5 cabriolet,1963
cote.encheres.php?idCote=412,412,-------,DB 5 Shooting Brake Radford,1963
cote.encheres.php?idCote=413,413,300 000 €,DB 6 Saloon,1965
cote.encheres.php?idCote=8577,8577,450 000 €,DB 6 Vantage Saloon,1965
