auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
,,-------,Typ C torpédo sport,1911
,,-------,Typ K torpédo sport,1922
,,70 000 €,Front UW berline 6 cylindres,1933
,,80 000 €,Front UW cabriolet 6 cylindres,1933
,,48 000 €,Front UW 225 limousine,1935
cote.encheres.php?idCote=499,499,85 000 €,Front UW 225 cabriolet,1935
,,140 000 €,Front UW 225 roadster,1935
,,-------,Typ 920 limousine,1938
,,-------,Typ 920 cabriolet,1938
,,6 000 €,70 / 75 / 80 coach,1965
,,9 000 €,Super 90 coach / berline,1968
,,6 000 €,60 / 60 L coach / berline,1968
cote.encheres.php?idCote=9029,9029,4 000 €,50 LS / GL / GLS coach,1975
cote.encheres.php?idCote=8338,8338,6 500 €,80 GT coach,1974
cote.encheres.php?idCote=8339,8339,7 000 €,80 GTE coach,1976
cote.encheres.php?idCote=9023,9023,3 500 €,80 CD 5 S berline (115 ch),1982
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11592,11592,6 500 €,80 Quattro 2.2 berline (136 ch),1983
cote.encheres.php?idCote=11593,11593,6 800 €,90 Quattro 2.2 berline (136 ch),1985
,,4 000 €,90 CD 5 E berline (136 ch),1985
,,6 000 €,80 Quattro Sport (B 4),1993
cote.encheres.php?idCote=9030,9030,19 500 €,RS 2 Avant (300 ch),1994
,,8 000 €,S 4 berline (B 5),1998
cote.encheres.php?idCote=12145,12145,18 000 €,RS 4 Avant bi-turbo,1999
cote.encheres.php?idCote=9025,9025,4 500 €,Coupé GT 5 E (136 ch),1982
cote.encheres.php?idCote=9026,9026,7 000 €,Coupé GT Quattro (136 ch),1985
cote.encheres.php?idCote=507,507,60 000 €,Quattro coupé (200 ch turbo),1980
cote.encheres.php?idCote=398,398,48 000 €,Quattro 20 V coupé,1989
cote.encheres.php?idCote=7157,7157,350 000 €,Quattro Sport coupé (série 200),1985
cote.encheres.php?idCote=12143,12143,12 000 €,S 2 Coupé (B 4),1990
cote.encheres.php?idCote=12141,12141,9 000 €,Cabriolet 2.6 V6 (B 3),1992
cote.encheres.php?idCote=7155,7155,7 000 €,100 LS / GL coach,1969
cote.encheres.php?idCote=7156,7156,6 000 €,100 LS / GL berline,1972
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=506,506,9 500 €,100 Coupé S,1970
,,2 500 €,100 Avant 5 E (5 portes),1977
,,2 000 €,100 CS / CD berline 5 cylindres,1982
,,3 000 €,100 Avant 2.2 5 portes,1983
,,14 500 €,200 turbo berline,1980
,,4 000 €,200 turbo berline,1983
,,4 200 €,200 Avant Quattro turbo break,1985
cote.encheres.php?idCote=11949,11949,4 500 €,V8 berline,1989
cote.encheres.php?idCote=12148,12148,8 500 €,S 6 Plus V8 4.2 berline,1996
,,22 000 €,RS 6 Avant break,2002
,,9 500 €,S 8 berline,1996
,,9 000 €,S 3 3 portes,1999
cote.encheres.php?idCote=12151,12151,6 500 €,TT Coupé (180/190 ch),1999
cote.encheres.php?idCote=12308,12308,8 000 €,TT Coupé Quattro (225 ch),1999
,,22 000 €,TT Coupé Le Mans Quattro,2001
cote.encheres.php?idCote=12310,12310,12 000 €,TT Coupé V6 3.2 Quattro,2003
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=12311,12311,8 500 €,TT Roadster (180/190 ch),2000
cote.encheres.php?idCote=12312,12312,9 500 €,TT Roadster Quattro (180/190 ch),2000
cote.encheres.php?idCote=12152,12152,15 000 €,TT Roadster V6 3.2 Quattro,2003
,,8 500 €,Cabriolet (B3),1992
