auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
,,30 000 €,3/15 PS types DA2 / DA3 / DA4 torpédo,1929
,,40 000 €,3/15 PS types DA2 / DA3 / DA4 roadster,1929
cote.encheres.php?idCote=734,734,22 000 €,3/15 PS types DA2 / DA3 / DA4 coach,1929
,,28 000 €,3/20 PS types AM1 / AM3 / AM4 cabriolet,1932
,,15 000 €,3/20 PS types AM1 / AM3 / AM4 coach,1932
,,45 000 €,"309 cabriolet (4 cylindres, 845 cm3)",1934
,,19 000 €,309 coach,1934
,,48 000 €,"303 coach (6 cylindres 1,2 l)",1933
cote.encheres.php?idCote=740,740,48 000 €,303 cabriolet,1933
,,33 000 €,315 coach,1934
cote.encheres.php?idCote=742,742,55 000 €,315 cabriolet,1934
cote.encheres.php?idCote=743,743,210 000 €,315/1 roadster (3 carburateurs),1934
cote.encheres.php?idCote=744,744,40 000 €,"319 coach (6 cylindres 1,9 l 45 ch)",1935
,,48 000 €,319 coach découvrable,1935
cote.encheres.php?idCote=746,746,340 000 €,"319/1 roadster (3 carburateurs, 55 ch)",1935
,,85 000 €,"329 cabriolet (6 cylindres 1,9 l 45 ch)",1936
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=748,748,48 000 €,320 coach (6 cylindres 2 l 45 ch),1937
,,95 000 €,320 cabriolet,1937
,,53 000 €,321 coach (6 cylindres 2 l 45 ch),1939
,,35 000 €,321 coach (Awtowelo Eisenach),1945
,,105 000 €,321 cabriolet,1939
cote.encheres.php?idCote=752,752,58 000 €,326 limousine (6 cylindres 2 l 50 ch),1936
cote.encheres.php?idCote=753,753,120 000 €,326 cabriolet 2 portes,1936
cote.encheres.php?idCote=754,754,130 000 €,326 cabriolet 4 portes,1936
,,140 000 €,"335 limousine (6 cylindres 3,5 l)",1939
,,-------,335 cabriolet 2 portes,1939
cote.encheres.php?idCote=757,757,-------,335 cabriolet 4 portes,1939
cote.encheres.php?idCote=758,758,160 000 €,327 coupé (55 ch),1938
cote.encheres.php?idCote=759,759,230 000 €,327 cabriolet (55 ch),1938
,,180 000 €,327/2 Cabriolet (Awtowelo Eisenach),1949
cote.encheres.php?idCote=760,760,200 000 €,327/28 coupé (80 ch),1938
cote.encheres.php?idCote=761,761,270 000 €,327/28 cabriolet (80 ch),1938
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=12483,12483,480 000 €,328 cabriolet,1938
cote.encheres.php?idCote=762,762,950 000 €,328 roadster (80 ch),1937
,,35 000 €,340 limousine (Awtowelo Eisenach),1949
,,40 000 €,501 berline 6 cylindres,1952
,,38 000 €,501-6 berline,1955
,,56 000 €,501-8 berline,1954
cote.encheres.php?idCote=7206,7206,60 000 €,502 berline (V8 2.6),1954
cote.encheres.php?idCote=12325,12325,54 000 €,2.6 Luxus berline,1959
,,55 000 €,2600 L berline,1962
cote.encheres.php?idCote=766,766,62 000 €,502-3.2 berline,1955
,,62 000 €,3.2 L / 3200 L berline,1959
,,66 000 €,3.2 Super berline,1957
,,64 000 €,3200 S berline,1962
cote.encheres.php?idCote=768,768,195 000 €,503 coupé,1956
cote.encheres.php?idCote=769,769,310 000 €,503 cabriolet,1956
cote.encheres.php?idCote=770,770,1 750 000 €,507 roadster,1956
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=771,771,75 000 €,3200 CS coupé 2+2,1962
cote.encheres.php?idCote=772,772,23 000 €,Isetta 250/300 3 roues,1955
cote.encheres.php?idCote=773,773,21 000 €,Isetta 250/300 4 roues,1957
