auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=2293,2293,-------,166 Inter coupé Vignale,1948
cote.encheres.php?idCote=2294,2294,-------,166 Inter coupé Touring,1948
cote.encheres.php?idCote=2295,2295,-------,195 Inter coupé Vignale,1951
cote.encheres.php?idCote=2296,2296,-------,212 Export/Inter berlinette Ghia,1951
cote.encheres.php?idCote=2297,2297,1 750 000 €,212 Export cabriolet Pinin Farina,1951
cote.encheres.php?idCote=2298,2298,-------,340 America coupé Touring,1951
cote.encheres.php?idCote=2299,2299,-------,340 America barquette,1951
cote.encheres.php?idCote=11911,11911,-------,340 Mexico berlinette,1951
cote.encheres.php?idCote=2300,2300,-------,375 MM berlinette,1953
cote.encheres.php?idCote=11514,11514,4 000 000 €,250 MM berlinette Pinin Farina,1952
cote.encheres.php?idCote=2301,2301,1 000 000 €,250 Europa coupé Pinin Farina,1953
cote.encheres.php?idCote=2302,2302,4 000 000 €,410 Superamerica coupé Pinin Farina,1956
cote.encheres.php?idCote=2303,2303,5 000 000 €,400 Superamerica cabriolet Pininfarina,1960
cote.encheres.php?idCote=8604,8604,3 000 000 €,400 SA Coupé Aerodinamico Pininfarina,1961
cote.encheres.php?idCote=2304,2304,3 500 000 €,500 Superfast coupé Pininfarina,1964
cote.encheres.php?idCote=2305,2305,900 000 €,250 GT coupé Boano/Ellena,1956
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=2306,2306,600 000 €,250 GT coupé Pininfarina,1957
cote.encheres.php?idCote=2307,2307,580 000 €,250 GT coupé Pininfarina,1958
cote.encheres.php?idCote=2308,2308,500 000 €,250 GTE coupé 2+2,1961
cote.encheres.php?idCote=2309,2309,6 000 000 €,250 GT berlinette Tour de France,1956
,,7 500 000 €,250 Berlinetta Competizione alu (interim),1959
cote.encheres.php?idCote=2310,2310,8 000 000 €,"250 GT Berlinetta Lusso SWB (châssis court, acier)",1960
cote.encheres.php?idCote=2311,2311,12 000 000 €,250 GT Berlinetta Competizione (alu),1960
cote.encheres.php?idCote=2312,2312,1 600 000 €,250 GT/L Lusso berlinette,1962
cote.encheres.php?idCote=2313,2313,4 000 000 €,250 GT cabriolet Pininfarina (série 1),1957
cote.encheres.php?idCote=2314,2314,1 500 000 €,250 GT cabriolet Pininfarina (série 2),1960
cote.encheres.php?idCote=2315,2315,9 500 000 €,250 GT California cabriolet LWB (châssis long),1959
cote.encheres.php?idCote=2316,2316,16 000 000 €,250 GT California cabriolet SWB (châssis court),1960
cote.encheres.php?idCote=11299,11299,8 500 000 €,250 LM berlinette,1964
cote.encheres.php?idCote=2317,2317,2 400 000 €,275 GTB berlinette (nez court),1964
cote.encheres.php?idCote=2318,2318,2 200 000 €,275 GTB berlinette acier (nez long),1966
cote.encheres.php?idCote=2319,2319,4 000 000 €,275 GTB berlinette alu (nez long),1965
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=2320,2320,3 000 000 €,275 GTB/4 berlinette acier,1966
cote.encheres.php?idCote=2321,2321,390 000 €,330 America coupé 2+2,1963
cote.encheres.php?idCote=2322,2322,225 000 €,330 GT coupé 2+2 série 1 (4 phares),1964
cote.encheres.php?idCote=2323,2323,330 000 €,330 GT coupé 2+2 série 2 (2 phares),1966
cote.encheres.php?idCote=2324,2324,550 000 €,330 GTC coupé,1966
cote.encheres.php?idCote=2325,2325,850 000 €,365 GTC coupé,1969
cote.encheres.php?idCote=2326,2326,750 000 €,365 GTB/4 Daytona berlinette,1969
cote.encheres.php?idCote=2327,2327,240 000 €,365 GTC/4 coupé,1971
cote.encheres.php?idCote=2328,2328,1 900 000 €,275 GTS cabriolet Pininfarina,1964
cote.encheres.php?idCote=2329,2329,2 100 000 €,330 GTS cabriolet Pininfarina,1966
cote.encheres.php?idCote=2330,2330,2 400 000 €,365 GTS cabriolet Pininfarina,1968
cote.encheres.php?idCote=2331,2331,2 800 000 €,365 California cabriolet,1966
cote.encheres.php?idCote=2332,2332,3 000 000 €,365 GTS/4 Daytona Spyder (origine),1972
cote.encheres.php?idCote=2333,2333,230 000 €,365 GT 2+2 coupé,1967
cote.encheres.php?idCote=2334,2334,140 000 €,365 GT/4 2+2 coupé 4 places,1972
cote.encheres.php?idCote=2335,2335,60 000 €,400 Automatic coupé 4 places,1977
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=2336,2336,80 000 €,400 GT coupé 4 places (boîte mécanique),1977
cote.encheres.php?idCote=2337,2337,55 000 €,400 i Automatic coupé 4 places,1980
cote.encheres.php?idCote=7535,7535,75 000 €,400 i GT coupé 4 places (boîte mécanique),1980
cote.encheres.php?idCote=2338,2338,65 000 €,412 Automatic coupé 4 places,1985
cote.encheres.php?idCote=8605,8605,90 000 €,412 GT coupé 4 places (boîte mécanique),1985
cote.encheres.php?idCote=2339,2339,450 000 €,365 GT4/BB Berlinetta Boxer,1973
cote.encheres.php?idCote=2340,2340,380 000 €,BB 512 Berlinetta Boxer (carburateurs),1976
cote.encheres.php?idCote=2341,2341,330 000 €,BB 512 i Berlinetta Boxer,1981
cote.encheres.php?idCote=2342,2342,580 000 €,Dino 206 GT berlinette,1968
cote.encheres.php?idCote=2343,2343,275 000 €,Dino 246 GT berlinette,1969
cote.encheres.php?idCote=2344,2344,350 000 €,Dino 246 GTS découvrable,1972
cote.encheres.php?idCote=2345,2345,75 000 €,(Dino) 308 GT 4 coupé 2+2,1974
cote.encheres.php?idCote=2346,2346,60 000 €,208 GT 4 coupé 2+2,1975
,,65 000 €,208 GTB berlinette,1980
cote.encheres.php?idCote=11298,11298,70 000 €,208 GTS découvrable,1980
cote.encheres.php?idCote=8323,8323,80 000 €,208 Turbo berlinette,1982
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11300,11300,85 000 €,208 Turbo découvrable,1982
cote.encheres.php?idCote=11301,11301,90 000 €,GTB Turbo (2 litres) berlinette,1986
,,95 000 €,GTS Turbo (2 litres) découvrable,1986
cote.encheres.php?idCote=2347,2347,190 000 €,308 GTB Vetroresina berlinette (polyester),1975
cote.encheres.php?idCote=2348,2348,90 000 €,308 GTB berlinette (caisse acier),1977
cote.encheres.php?idCote=2349,2349,100 000 €,308 GTS découvrable,1977
cote.encheres.php?idCote=7536,7536,80 000 €,308 GTBi berlinette,1980
cote.encheres.php?idCote=7537,7537,85 000 €,308 GTSi découvrable,1980
cote.encheres.php?idCote=8325,8325,85 000 €,308 GTB Quattrovalvole,1982
cote.encheres.php?idCote=8326,8326,90 000 €,308 GTS Quattrovalvole découvrable,1982
cote.encheres.php?idCote=8330,8330,100 000 €,328 GTB berlinette,1985
cote.encheres.php?idCote=8331,8331,110 000 €,328 GTS découvrable,1985
cote.encheres.php?idCote=2350,2350,2 200 000 €,288 GTO berlinette,1984
