auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
,,-------,12 HP tonneau (4 cylindres),1901
,,-------,16-20 HP limousine,1903
cote.encheres.php?idCote=2352,2352,700 000 €,24-32 HP phaéton,1903
,,-------,24-40 HP limousine,1906
,,-------,28-40 HP limousine,1907
,,-------,18-24 HP limousine,1907
cote.encheres.php?idCote=7554,7554,75 000 €,Tipo 1 (12-15 HP) torpédo,1910
,,-------,Tipo 2 (15-20 HP) limousine,1910
,,-------,Tipo 3 (20-30 HP) torpédo,1910
cote.encheres.php?idCote=7557,7557,-------,Tipo 4 (30-45 HP) coupé de ville,1910
cote.encheres.php?idCote=7558,7558,-------,Tipo 5 (50-60 HP) torpédo,1910
,,70 000 €,Tipo Zero (12-15 HP) torpédo,1912
cote.encheres.php?idCote=2354,2354,65 000 €,Tipo 2 B (15-20 HP ) torpédo,1912
,,75 000 €,Tipo 3 A (25-40 HP) torpédo,1912
,,-------,Tipo 70 (15-18 HP) torpédo,1915
cote.encheres.php?idCote=2355,2355,28 000 €,501 torpédo,1919
,,"(None,)","(None,)","(None,)"
,,17 000 €,501 berline,1919
,,55 000 €,501 S Spider Sport,1921
,,32 000 €,502 torpédo (châssis long),1923
cote.encheres.php?idCote=2357,2357,27 000 €,503 torpédo,1926
cote.encheres.php?idCote=2358,2358,35 000 €,503 Spider,1926
cote.encheres.php?idCote=2359,2359,32 000 €,505 torpédo,1919
cote.encheres.php?idCote=2360,2360,30 000 €,507 torpédo,1926
cote.encheres.php?idCote=2361,2361,12 500 €,509 coach,1925
,,14 000 €,509 faux-cabriolet,1925
cote.encheres.php?idCote=2363,2363,15 000 €,509 cabriolet,1925
cote.encheres.php?idCote=7563,7563,18 000 €,509 torpédo,1925
cote.encheres.php?idCote=2364,2364,35 000 €,509 S roadster skiff,1925
cote.encheres.php?idCote=2365,2365,37 000 €,510 torpédo 6 cylindres,1919
,,55 000 €,510 S torpédo sport 6 cylindres,1920
,,35 000 €,512 torpédo 6 cylindres,1926
,,75 000 €,"519 limousine 6 cylindres 4,8 l",1922
,,"(None,)","(None,)","(None,)"
,,90 000 €,"519 S torpédo sport 6 cylindres 4,8 l",1922
cote.encheres.php?idCote=2369,2369,32 000 €,520 torpédo 6 cylindres,1927
,,19 500 €,520 limousine 6 cylindres,1927
,,18 500 €,521 limousine 6 cylindres,1928
,,21 500 €,521 C berline 6 cylindres,1928
,,30 000 €,522 C limousine 6 cylindres,1931
,,32 000 €,522 L limousine longue 6 cylindres,1931
,,36 000 €,522 S coach 6 cylindres,1932
,,33 000 €,524 C limousine 6 cylindres,1931
,,35 000 €,524 L limousine longue 6 cylindres,1931
cote.encheres.php?idCote=2376,2376,36 000 €,525/525 N torpédo 6 cylindres,1928
,,29 000 €,525/525 N limousine 6 cylindres,1928
,,75 000 €,525 S cabriolet 6 cylindres,1928
,,115 000 €,525 SS roadster 6 cylindres,1929
,,28 000 €,527 Ardita 2500 limousine 6 cylindres,1934
,,32 000 €,527 S Ardita 2500 Sport berline 6 cylindres,1934
,,"(None,)","(None,)","(None,)"
,,9 500 €,514 berline 4 glaces,1930
cote.encheres.php?idCote=11452,11452,9 000 €,514 conduite intérieure 6 glaces,1930
cote.encheres.php?idCote=2382,2382,14 500 €,514 torpédo,1930
,,16 000 €,514 cabriolet,1930
,,48 000 €,514 MM roadster,1930
,,12 000 €,515 limousine,1931
cote.encheres.php?idCote=2384,2384,8 000 €,508 Balilla coach 6 CV 3 vitesses,1932
cote.encheres.php?idCote=7570,7570,16 000 €,508 Balilla roadster 6 CV 3 vitesses,1932
cote.encheres.php?idCote=11305,11305,17 500 €,508 Balilla torpédo 6 CV 3 vitesses,1932
cote.encheres.php?idCote=2385,2385,7 000 €,508 Balilla berline 6 CV 4 vitesses,1934
,,7 000 €,508 Balilla coach 6 CV 4 vitesses,1934
cote.encheres.php?idCote=2387,2387,15 000 €,508 Balilla cabriolet 6 CV 4 vitesses,1934
cote.encheres.php?idCote=2388,2388,70 000 €,508 S Balilla Sport Spider,1933
cote.encheres.php?idCote=7571,7571,115 000 €,508 S Balilla Sport Spider (moteur CS),1934
cote.encheres.php?idCote=7572,7572,185 000 €,508 S Balilla Sport Berlinetta MM (moteur CS),1934
,,14 500 €,518 L Ardita 1750 limousine,1933
,,"(None,)","(None,)","(None,)"
,,15 000 €,518 C Ardita 2000 limousine,1933
,,26 500 €,518 S Ardita 2000 berline sport,1934
cote.encheres.php?idCote=2391,2391,65 000 €,2800 limousine 6 cylindres,1938
cote.encheres.php?idCote=2392,2392,25 000 €,1500 berline 6 cylindres,1936
cote.encheres.php?idCote=7574,7574,55 000 €,1500 cabriolet 6 cylindres,1936
,,15 000 €,1500 B berline 6 cylindres,1940
,,15 000 €,1500 D berline 6 cylindres,1948
,,15 000 €,1500 E berline 6 cylindres,1949
,,9 500 €,1100 (508 C) berline,1937
cote.encheres.php?idCote=7577,7577,28 500 €,1100 (508 C) cabriolet d'usine,1937
,,8 500 €,1100 L limousine,1938
cote.encheres.php?idCote=7579,7579,95 000 €,1100 S berlinette,1947
cote.encheres.php?idCote=2395,2395,7 500 €,1100 B berline,1948
cote.encheres.php?idCote=2396,2396,7 000 €,1100 E berline,1949
,,80 000 €,1100 ES berlinette Pininfarina,1950
cote.encheres.php?idCote=2397,2397,14 000 €,500 (Topolino) coupé découvrable,1936
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=7580,7580,12 500 €,500 B (Topolino) coupé découvrable,1948
cote.encheres.php?idCote=7581,7581,19 000 €,500 B Giardiniera (break bois),1948
cote.encheres.php?idCote=2398,2398,14 500 €,500 C coupé découvrable,1949
cote.encheres.php?idCote=2399,2399,18 500 €,500 C Giardiniera (break bois),1949
cote.encheres.php?idCote=11988,11988,16 000 €,500 C Belvedere (break tôlé),1952
cote.encheres.php?idCote=2400,2400,24 000 €,500 (Nuova) Trasformabile décapotable,1957
cote.encheres.php?idCote=7584,7584,14 000 €,500 (D) toit ouvrant,1960
cote.encheres.php?idCote=7585,7585,12 000 €,500 (F) toit ouvrant,1965
cote.encheres.php?idCote=12034,12034,16 000 €,500 My Car Francis Lombardi,1968
cote.encheres.php?idCote=2401,2401,14 000 €,500 L toit ouvrant,1969
,,22 000 €,500 Sport (25 ch),1958
cote.encheres.php?idCote=2403,2403,15 000 €,500 Giardiniera break,1961
cote.encheres.php?idCote=11028,11028,58 000 €,500 Jolly torpédo Ghia,1957
cote.encheres.php?idCote=8639,8639,24 000 €,500 Gamine roadster (Vignale),1967
cote.encheres.php?idCote=11031,11031,13 000 €,500 R coach toit ouvrant,1973
cote.encheres.php?idCote=11032,11032,4 000 €,126 coach toit ouvrant,1974
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11033,11033,4 000 €,126 Personal 650 coach,1976
cote.encheres.php?idCote=11034,11034,4 500 €,126 Bis coach,1987
cote.encheres.php?idCote=2404,2404,12 000 €,600 coach,1955
cote.encheres.php?idCote=9005,9005,14 000 €,600 coach découvrable,1955
cote.encheres.php?idCote=11029,11029,90 000 €,600 Jolly torpédo Ghia,1958
cote.encheres.php?idCote=9006,9006,10 000 €,600 D coach,1960
,,9 000 €,600 E coach (Seat),1970
cote.encheres.php?idCote=2405,2405,30 000 €,600 Multipla / 600 D Multipla limousine,1956
,,80 000 €,600 Multipla / 600 D Multipla Jolly torpédo,1958
cote.encheres.php?idCote=7587,7587,650 000 €,8V berlinette usine,1952
cote.encheres.php?idCote=11030,11030,850 000 €,8V berlinette Zagato,1952
cote.encheres.php?idCote=2406,2406,7 000 €,1400 berline,1950
,,25 000 €,1400 cabriolet,1950
,,9 500 €,1400 Diesel berline,1953
,,7 000 €,1400 A berline,1954
cote.encheres.php?idCote=9151,9151,7 500 €,1400 B berline,1956
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=2407,2407,13 000 €,1900 berline,1952
,,17 000 €,1900 Granluce coupé,1953
,,12 000 €,1900 A berline,1954
,,16 500 €,1900 A Granluce coupé,1954
,,12 500 €,1900 B berline,1956
cote.encheres.php?idCote=2408,2408,19 500 €,1900 B Granluce coupé,1957
,,25 000 €,Campagnola 1101 torpédo 4 x 4,1951
,,15 000 €,Nuova Campagnola 1107 torpédo 4 x 4,1974
cote.encheres.php?idCote=2409,2409,6 000 €,1800/1800 B berline,1959
,,8 500 €,1800/1800 B Familiare break,1960
,,6 500 €,2100 berline,1959
