auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4056,4056,2 000 000 €,Simplex 28/32 PS phaéton,1901
,,-------,10/20 PS phaéton (4 cyl. à cardan),1909
,,-------,14/30 PS limousine (4 cyl. à cardan),1909
cote.encheres.php?idCote=4059,4059,-------,28/50-28/60 PS limousine (4 cyl.),1910
cote.encheres.php?idCote=4060,4060,-------,8/18-8/20-8/22 PS torpédo (4 cyl.),1910
,,-------,Knight 16/40-16/45 PS torpédo,1910
,,130 000 €,Knight 10/30 PS torpédo,1912
,,-------,Knight 25/65 PS limousine,1912
cote.encheres.php?idCote=4064,4064,-------,28/95 PS torpédo 6 cylindres,1914
cote.encheres.php?idCote=4065,4065,85 000 €,Benz 8/18-8/20 PS cabriolet,1910
cote.encheres.php?idCote=4066,4066,75 000 €,Benz 10/30 PS torpédo 4 cylindres,1921
,,-------,Benz 11/40 PS 6 cylindres torpédo,1923
,,-------,Benz 16/50 PS Sport torpédo,1923
,,160 000 €,6/25/40 Sport roadster à compresseur,1921
,,-------,10/40/65 torpédo à compresseur,1921
,,-------,400 (15/70/100) limousine à compresseur,1926
,,"(None,)","(None,)","(None,)"
,,-------,400 (15/70/100) torpédo à compresseur,1926
cote.encheres.php?idCote=4069,4069,950 000 €,630 (24/100/140) torpédo à compresseur,1926
cote.encheres.php?idCote=4070,4070,750 000 €,630 K torpédo sport à compresseur,1926
cote.encheres.php?idCote=4071,4071,1 200 000 €,S (26/120/180) torpédo à compresseur,1926
cote.encheres.php?idCote=4072,4072,-------,SS torpédo à compresseur,1928
,,-------,SS cabriolet à compresseur,1928
,,-------,SS roadster à compresseur,1928
cote.encheres.php?idCote=4075,4075,-------,SSK roadster à compresseur,1929
,,95 000 €,8/38 PS (W 02) torpédo 6 cylindres,1926
,,70 000 €,8/38 PS (W 02) berline 6 cylindres,1926
cote.encheres.php?idCote=4078,4078,60 000 €,200 Stuttgart (W 02) limousine,1929
,,65 000 €,260 Stuttgart (W 11) limousine,1929
cote.encheres.php?idCote=4080,4080,85 000 €,260 Stuttgart (W 11) cabriolet,1929
,,90 000 €,260 Stuttgart (W 11) torpédo/cabriolet 4 p.,1929
,,-------,300 (W 03) limousine,1927
,,-------,320 (W 04) limousine,1928
,,"(None,)","(None,)","(None,)"
,,-------,350 (W 05 / W 09) limousine,1928
,,-------,350 Mannheim (W 10) limousine,1929
,,-------,370 Mannheim (W 10) limousine,1929
cote.encheres.php?idCote=4085,4085,-------,370 Mannheim (W 10) cabriolet,1929
cote.encheres.php?idCote=4086,4086,550 000 €,370 K / 370 S Mannheim Sport cabriolet,1931
cote.encheres.php?idCote=4087,4087,240 000 €,460 Nürburg (W 08) limousine 8 cylindres,1928
,,300 000 €,460 Nürburg (W 08) torpédo 8 cylindres,1928
cote.encheres.php?idCote=4089,4089,260 000 €,500 Nürburg (W 08) limousine 8 cylindres,1931
cote.encheres.php?idCote=4090,4090,1 800 000 €,770 (W 07) limousine,1930
,,-------,770 k (W 150) Pullman-limousine,1938
cote.encheres.php?idCote=4092,4092,-------,380 (W 10) cabriolet 8 cylindres,1932
cote.encheres.php?idCote=4093,4093,-------,380 S (W 22) cabriolet 8 cylindres,1933
,,-------,380 S (W 22) roadster à compresseur,1933
cote.encheres.php?idCote=4095,4095,1 200 000 €,500 K (W 29) Cabriolet B 5 places,1934
cote.encheres.php?idCote=4096,4096,1 400 000 €,500 K (W 29) Cabriolet A 2 places,1934
cote.encheres.php?idCote=4097,4097,1 500 000 €,540 K (W 29) Cabriolet B 4 places,1936
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11918,11918,1 400 000 €,540 K (W 29) Cabriolet C 4 places,1936
cote.encheres.php?idCote=4098,4098,2 000 000 €,540 K (W 29) Cabriolet A 2 places,1936
cote.encheres.php?idCote=12055,12055,-------,540 K Spezial Roadster,1937
,,120 000 €,290 (W 18) limousine 6 cylindres,1933
cote.encheres.php?idCote=11842,11842,270 000 €,290 (W 18) Cabriolet A 2 places,1933
cote.encheres.php?idCote=4100,4100,210 000 €,290 (W 18) Cabriolet B 4 places,1933
cote.encheres.php?idCote=4101,4101,230 000 €,290 (W 18) Cabriolet D 4 portes,1933
cote.encheres.php?idCote=4102,4102,280 000 €,290 (W 18) roadster,1933
,,90 000 €,320 (W 142) berline,1937
,,90 000 €,320 (W 142) limousine,1937
cote.encheres.php?idCote=8517,8517,230 000 €,320 (W 142) Cabriolet B 4 places,1937
cote.encheres.php?idCote=4104,4104,260 000 €,320 (W 142) Cabriolet A 2 places,1937
cote.encheres.php?idCote=4105,4105,70 000 €,230 (W 143) berline,1937
cote.encheres.php?idCote=4106,4106,170 000 €,230 (W 143) Cabriolet B 4 places,1937
,,160 000 €,230 (W 143) torpédo 4 portes,1937
,,75 000 €,230 (W 153) berline,1938
,,"(None,)","(None,)","(None,)"
,,60 000 €,260 D (W 138) limousine diesel,1935
cote.encheres.php?idCote=4109,4109,36 000 €,170 (W 15) berline 6 cylindres,1931
cote.encheres.php?idCote=4110,4110,70 000 €,170 (W 15) cabriolet 6 cylindres,1931
,,110 000 €,170 (W 15) roadster 6 cylindres,1932
cote.encheres.php?idCote=4112,4112,42 000 €,200 (W 21) berline 6 cylindres,1933
cote.encheres.php?idCote=4113,4113,48 000 €,200 Lang (W 21) limousine 6 cylindres,1933
cote.encheres.php?idCote=4114,4114,115 000 €,200 Lang (W 21) cabriolet 6 cylindres,1933
cote.encheres.php?idCote=4115,4115,60 000 €,130 H coach (moteur arrière),1934
,,70 000 €,130 H coach découvrable (moteur arrière),1934
cote.encheres.php?idCote=7781,7781,65 000 €,170 H coach (moteur arrière),1936
,,28 000 €,170 V (W 136) coach,1936
,,25 000 €,170 V (W 136) berline,1936
cote.encheres.php?idCote=4117,4117,40 000 €,170 V (W 136) berline découvrable,1936
cote.encheres.php?idCote=7782,7782,65 000 €,170 V (W 136) cabriolet,1937
cote.encheres.php?idCote=4118,4118,95 000 €,170 V (W 136) roadster,1937
cote.encheres.php?idCote=4119,4119,18 000 €,170 V berline,1947
,,"(None,)","(None,)","(None,)"
,,19 000 €,170 S-V berline,1953
cote.encheres.php?idCote=4121,4121,20 000 €,170 S berline,1949
cote.encheres.php?idCote=4122,4122,80 000 €,170 S Cabriolet A 2 places,1949
cote.encheres.php?idCote=4123,4123,70 000 €,170 S Cabriolet B 4 places,1949
cote.encheres.php?idCote=4124,4124,16 000 €,170 D/170 Da berline diesel,1949
cote.encheres.php?idCote=4125,4125,18 000 €,170 DS/170 S-D berline diesel,1952
cote.encheres.php?idCote=4126,4126,70 000 €,170 Da OTP torpédo diesel,1951
cote.encheres.php?idCote=4127,4127,45 000 €,220 (W 187) berline 6 cylindres,1951
cote.encheres.php?idCote=4128,4128,175 000 €,220 (W 187) Cabriolet A 2 places,1951
cote.encheres.php?idCote=4129,4129,135 000 €,220 (W 187) Cabriolet B 4 places,1951
,,125 000 €,220 (W 187) Coupé,1954
cote.encheres.php?idCote=4130,4130,75 000 €,300 / 300 b / 300 c (W 186) limousine,1951
cote.encheres.php?idCote=4131,4131,180 000 €,300 (W 186) Cabriolet D 4 portes,1951
cote.encheres.php?idCote=4132,4132,80 000 €,300 d (W 189) Hardtop-limousine,1957
cote.encheres.php?idCote=4133,4133,200 000 €,300 d (W 189) Cabriolet D 4 portes,1958
cote.encheres.php?idCote=4134,4134,400 000 €,300 S Coupé,1952
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=10872,10872,500 000 €,300 Sc Coupé (injection),1955
cote.encheres.php?idCote=4135,4135,400 000 €,300 S Cabriolet A,1952
cote.encheres.php?idCote=10873,10873,650 000 €,300 Sc Cabriolet A (injection),1955
cote.encheres.php?idCote=4136,4136,650 000 €,300 S Roadster,1952
cote.encheres.php?idCote=4137,4137,800 000 €,300 Sc Roadster (injection),1955
cote.encheres.php?idCote=4138,4138,1 200 000 €,300 SL coupé (caisse acier),1954
cote.encheres.php?idCote=4139,4139,1 800 000 €,300 SL coupé (caisse alu),1954
cote.encheres.php?idCote=4140,4140,1 100 000 €,300 SL Roadster,1957
cote.encheres.php?idCote=4141,4141,125 000 €,190 SL cabriolet,1955
cote.encheres.php?idCote=4142,4142,12 000 €,180 berline (soupapes latérales),1953
cote.encheres.php?idCote=7784,7784,10 000 €,180 (a/b/c) berline (ACT),1958
cote.encheres.php?idCote=4143,4143,10 000 €,180 D berline diesel,1954
,,17 000 €,180 D Kombi Binz,1956
cote.encheres.php?idCote=4145,4145,12 000 €,190 berline,1956
cote.encheres.php?idCote=11864,11864,20 000 €,190 Kombi Binz,1957
,,13 000 €,190 D berline diesel,1959
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4146,4146,16 000 €,219 berline 6 cylindres,1956
cote.encheres.php?idCote=4147,4147,20 000 €,220 (a) berline ,1954
cote.encheres.php?idCote=4148,4148,22 000 €,220 S berline ,1956
cote.encheres.php?idCote=4149,4149,25 000 €,220 SE berline (injection),1958
cote.encheres.php?idCote=4150,4150,95 000 €,220 S cabriolet,1956
cote.encheres.php?idCote=4151,4151,110 000 €,220 SE (W 128) cabriolet,1958
cote.encheres.php?idCote=7785,7785,75 000 €,220 S coupé,1957
cote.encheres.php?idCote=7786,7786,85 000 €,220 SE (W 128) coupé,1959
cote.encheres.php?idCote=4152,4152,7 000 €,190 c (W 110) berline,1961
,,6 000 €,190 Dc (W 110) berline diesel,1961
cote.encheres.php?idCote=4154,4154,6 800 €,200 (W 110) berline,1965
cote.encheres.php?idCote=7787,7787,6 000 €,200 D (W 110) berline diesel,1965
,,9 000 €,200 D Universal break,1966
cote.encheres.php?idCote=4155,4155,9 000 €,220 (b) (W 111) berline,1960
cote.encheres.php?idCote=4156,4156,12 000 €,220 S(b) berline,1960
cote.encheres.php?idCote=4157,4157,14 500 €,220 SE(b) berline,1960
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4158,4158,7 500 €,230 (W 110) berline,1965
,,12 000 €,230 Universal break,1966
cote.encheres.php?idCote=4159,4159,9 500 €,230 S berline,1965
,,19 000 €,230 S Universal break,1966
cote.encheres.php?idCote=4160,4160,25 000 €,300 SE (W 112) berline,1961
cote.encheres.php?idCote=4161,4161,29 000 €,300 SE Lang berline,1963
cote.encheres.php?idCote=4162,4162,40 000 €,220 SE coupé,1961
cote.encheres.php?idCote=4163,4163,42 000 €,250 SE coupé,1966
cote.encheres.php?idCote=4164,4164,49 000 €,280 SE coupé,1968
cote.encheres.php?idCote=7790,7790,60 000 €,280 SE coupé (calandre basse),1970
cote.encheres.php?idCote=4165,4165,120 000 €,280 SE 3.5 coupé V8,1970
cote.encheres.php?idCote=4166,4166,70 000 €,300 SE coupé,1962
cote.encheres.php?idCote=4167,4167,65 000 €,220 SE cabriolet,1961
cote.encheres.php?idCote=4168,4168,70 000 €,250 SE cabriolet,1966
cote.encheres.php?idCote=4169,4169,110 000 €,280 SE cabriolet,1968
