auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
,,-------,14/28 torpédo (bull-nose),1924
,,-------,14/28 cabriolet (flat-nose),1926
,,45 000 €,14/28 Salonette coach,1926
cote.encheres.php?idCote=4356,4356,28 000 €,14/40 torpédo,1928
,,40 000 €,14/40 cabriolet,1928
,,32 000 €,18/80 Six berline,1928
,,54 000 €,18/80 Six Salonette coach,1928
,,60 000 €,18/80 Six torpédo,1928
,,65 000 €,18/80 Six cabriolet,1928
cote.encheres.php?idCote=4362,4362,85 000 €,"Magna F roadster (6 cylindres 1,3 l)",1931
,,60 000 €,Magna F 1 Tourer 4 places,1931
cote.encheres.php?idCote=4363,4363,75 000 €,Magna F Salonette coach,1931
cote.encheres.php?idCote=4364,4364,65 000 €,"Magna L roadster (6 cylindres 1,1 l)",1933
cote.encheres.php?idCote=11429,11429,48 000 €,Magna L 1 Tourer 4 places,1933
,,52 000 €,Magna L Continental coupé,1933
cote.encheres.php?idCote=4366,4366,-------,Magnette K 1 berline 6 cylindres,1932
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4367,4367,95 000 €,Magnette K 1 tourer 6 cylindres,1932
cote.encheres.php?idCote=4368,4368,140 000 €,Magnette K 2 roadster 6 cylindres,1932
cote.encheres.php?idCote=4369,4369,-------,Magnette KN berline 6 cylindres,1934
cote.encheres.php?idCote=4370,4370,110 000 €,Magnette NA tourer 6 cylindres,1934
cote.encheres.php?idCote=4371,4371,160 000 €,Magnette NB roadster 6 cylindres,1935
,,24 000 €,VA 1 1/2 Litre berline 4 cylindres,1937
cote.encheres.php?idCote=4373,4373,36 000 €,VA 1 1/2 Litre tourer 4 cylindres,1937
,,42 000 €,VA 1 1/2 Litre cabriolet Tickford,1937
cote.encheres.php?idCote=4374,4374,48 000 €,SA 2 Litre berline 6 cylindres,1936
cote.encheres.php?idCote=4375,4375,82 000 €,SA 2 Litre tourer 6 cylindres,1936
cote.encheres.php?idCote=4376,4376,78 000 €,SA 2 Litre cabriolet Tickford,1936
,,70 000 €,WA 2.6 Litre berline 6 cylindres,1938
,,115 000 €,WA 2.6 Litre tourer/torpédo,1938
,,125 000 €,WA 2.6 Litre cabriolet Tickford,1938
cote.encheres.php?idCote=4380,4380,17 000 €,YA 1 1/4 Litre limousine,1947
cote.encheres.php?idCote=7813,7813,18 500 €,YB 1 1/4 Litre limousine,1952
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4381,4381,32 000 €,YT 1 1/4 Litre tourer,1948
cote.encheres.php?idCote=4382,4382,12 000 €,Magnette ZA berline,1954
cote.encheres.php?idCote=7814,7814,14 000 €,Magnette ZB berline,1956
,,16 000 €,Magnette ZB Varitone berline,1956
cote.encheres.php?idCote=4383,4383,8 000 €,Magnette Mark III berline ,1959
,,9 000 €,Magnette Mark IV berline ,1962
cote.encheres.php?idCote=4384,4384,6 000 €,1100 berline,1963
,,7 500 €,1100 coach,1964
,,6 500 €,1275/1300 berline,1967
,,8 000 €,1300 coach,1968
cote.encheres.php?idCote=7818,7818,8 500 €,1300 Mark II coach,1970
cote.encheres.php?idCote=8999,8999,4 000 €,Metro 1.3 coach,1982
cote.encheres.php?idCote=9000,9000,8 500 €,Metro Turbo coach,1983
cote.encheres.php?idCote=9001,9001,80 000 €,Metro 6 R 4 (client),1985
,,5 000 €,Maestro 2.0 EFi 5 portes,1985
,,7 500 €,Maestro 2.0 Turbo 5 portes,1989
,,"(None,)","(None,)","(None,)"
,,6 000 €,Montego 2.0 EFi berline 4 portes,1985
,,8 500 €,Montego 2.0 Turbo berline 4 portes,1986
,,4 000 €,ZR 160 3 portes,2001
,,5 000 €,ZS 180 V6 berline,2001
,,8 000 €,ZT 190 V6 berline,2001
cote.encheres.php?idCote=11980,11980,12 000 €,ZT 260 V8 berline,2004
,,80 000 €,SV X-Power coupé V8 320 ch,2002
cote.encheres.php?idCote=4386,4386,40 000 €,Midget M roadster (850 ACT),1929
,,48 000 €,Midget M coupé (850 ACT),1929
,,-------,Midget C Montlhéry course (750 ACT),1931
,,40 000 €,MIdget D tourer 4 places (850 ACT),1931
cote.encheres.php?idCote=4389,4389,42 000 €,Midget J tourer 4 places (850 ACT),1932
cote.encheres.php?idCote=4390,4390,52 000 €,Midget J 2 roadster (850 ACT),1932
cote.encheres.php?idCote=7820,7820,110 000 €,Midget J 3 roadster (750 à compresseur),1933
cote.encheres.php?idCote=4391,4391,36 000 €,Midget PA roadster,1934
