auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11456,11456,300 000 €,356 coupé 1100 (fabr. Gmünd),1949
cote.encheres.php?idCote=5672,5672,190 000 €,356 (1100) coupé,1951
cote.encheres.php?idCote=5673,5673,240 000 €,356 (1100) cabriolet,1951
cote.encheres.php?idCote=5674,5674,170 000 €,356-1300 coupé,1952
cote.encheres.php?idCote=5675,5675,220 000 €,356-1300 cabriolet,1952
cote.encheres.php?idCote=12068,12068,180 000 €,356-1500 coupé,1952
cote.encheres.php?idCote=5677,5677,230 000 €,356-1500 cabriolet,1952
,,280 000 €,356-1500 S cabriolet,1953
cote.encheres.php?idCote=5678,5678,300 000 €,356-1500 Speedster,1954
cote.encheres.php?idCote=5679,5679,380 000 €,356-1500 S Speedster (pré-A),1954
cote.encheres.php?idCote=5680,5680,90 000 €,356 A-1300 coupé,1956
cote.encheres.php?idCote=5681,5681,110 000 €,356 A-1300 S coupé,1956
,,160 000 €,356 A-1300 S cabriolet,1956
cote.encheres.php?idCote=5683,5683,120 000 €,356 A-1600 coupé,1956
cote.encheres.php?idCote=11521,11521,160 000 €,356 A-1600 cabriolet,1956
cote.encheres.php?idCote=5684,5684,170 000 €,356 A-1600 S cabriolet,1956
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=5685,5685,360 000 €,356 A-1600 S Speedster,1956
cote.encheres.php?idCote=5686,5686,300 000 €,356 A-1600 S Convertible D (Drauz),1958
cote.encheres.php?idCote=5700,5700,420 000 €,356 A 1500 GS Carrera de Luxe coupé,1957
cote.encheres.php?idCote=8022,8022,750 000 €,356 A 1500 GS/GT Carrera Speedster,1957
cote.encheres.php?idCote=5701,5701,480 000 €,356 A 1600 GS Carrera de Luxe coupé,1958
cote.encheres.php?idCote=5687,5687,75 000 €,356 B (60 ch) coupé T 5,1959
cote.encheres.php?idCote=8016,8016,78 000 €,356 B (60 ch) coupé T 6,1961
cote.encheres.php?idCote=5688,5688,115 000 €,356 B (60 ch) cabriolet T 5,1959
cote.encheres.php?idCote=8017,8017,120 000 €,356 B (60 ch) cabriolet T 6,1961
cote.encheres.php?idCote=5689,5689,80 000 €,356 B S 75 coupé T 5,1959
cote.encheres.php?idCote=8018,8018,83 000 €,356 B S 75 coupé T 6,1961
cote.encheres.php?idCote=11924,11924,75 000 €,356 B S 75 Hardtop-Coupé T 5,1960
cote.encheres.php?idCote=5690,5690,78 000 €,356 B S 75 Hardtop-Coupé T 6,1961
cote.encheres.php?idCote=5691,5691,135 000 €,356 B S 75 cabriolet T 5,1959
cote.encheres.php?idCote=8019,8019,138 000 €,356 B S 75 cabriolet T 6,1961
cote.encheres.php?idCote=5692,5692,210 000 €,356 B S 75 Roadster T 5,1959
,,"(None,)","(None,)","(None,)"
,,220 000 €,356 B S 75 Roadster T 6,1961
cote.encheres.php?idCote=5693,5693,90 000 €,356 B S 90 coupé T 5,1960
cote.encheres.php?idCote=8020,8020,95 000 €,356 B S 90 coupé T 6,1961
cote.encheres.php?idCote=5694,5694,145 000 €,356 B S 90 cabriolet T 5,1960
cote.encheres.php?idCote=8021,8021,148 000 €,356 B S 90 cabriolet T 6,1961
cote.encheres.php?idCote=5695,5695,240 000 €,356 B S 90 Roadster T 5,1960
cote.encheres.php?idCote=11827,11827,260 000 €,356 B S 90 Roadster T 6,1961
cote.encheres.php?idCote=5702,5702,320 000 €,356 B 1600 GS Carrera GT coupé,1960
cote.encheres.php?idCote=5703,5703,380 000 €,356 B 2000 GS Carrera 2 coupé,1962
cote.encheres.php?idCote=11786,11786,520 000 €,356 B 2000 GS Carrera 2 cabriolet,1962
cote.encheres.php?idCote=5696,5696,80 000 €,356 C coupé (Reutter / Karmann),1963
cote.encheres.php?idCote=5697,5697,120 000 €,356 C cabriolet,1963
cote.encheres.php?idCote=5698,5698,90 000 €,356 SC coupé (Reutter / Karmann),1963
cote.encheres.php?idCote=5699,5699,150 000 €,356 SC cabriolet,1963
cote.encheres.php?idCote=5704,5704,520 000 €,356 C 2000 GS Carrera 2 coupé,1963
,,580 000 €,356 C 2000 GS Carrera 2 cabriolet,1963
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11236,11236,-------,356 Carrera GT/L Abarth berlinette,1961
,,300 000 €,597 Jagdwagen (4 x 4),1955
cote.encheres.php?idCote=5705,5705,4 500 000 €,550 RS Spyder,1954
cote.encheres.php?idCote=12391,12391,-------,718 RSK Spyder (RS 60 / RS 61),1957
cote.encheres.php?idCote=5706,5706,1 800 000 €,904 Carrera GTS coupé,1964
cote.encheres.php?idCote=5707,5707,65 000 €,912 coupé,1965
cote.encheres.php?idCote=5708,5708,95 000 €,912 Targa I (lunette souple),1967
cote.encheres.php?idCote=12069,12069,65 000 €,912 Targa II (lunette verre),1968
cote.encheres.php?idCote=8023,8023,40 000 €,912 E coupé USA,1975
cote.encheres.php?idCote=5709,5709,20 000 €,914/4 (1.7) découvrable,1970
cote.encheres.php?idCote=8024,8024,22 000 €,914/4 (1.8) découvrable,1974
cote.encheres.php?idCote=5710,5710,27 000 €,914/4 2.0 découvrable,1973
cote.encheres.php?idCote=5711,5711,78 000 €,914/6 découvrable,1970
cote.encheres.php?idCote=5712,5712,180 000 €,911 (2 litres) coupé,1965
cote.encheres.php?idCote=12071,12071,90 000 €,911 / 911 L (2 litres) coupé,1967
cote.encheres.php?idCote=5713,5713,125 000 €,911 / 911 L Targa I (lunette souple),1966
,,"(None,)","(None,)","(None,)"
,,95 000 €,911 / 911 L Targa II (lunette verre),1968
