auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=5749,5749,110 000 €,Types C / D / E / G / L /M (mono De Dion),1901
cote.encheres.php?idCote=5750,5750,130 000 €,7 CV types R et T tonneau (mono Renault),1903
cote.encheres.php?idCote=11459,11459,160 000 €,Types H / J / N-c / Q double-tonneau 2 cyl.,1902
cote.encheres.php?idCote=5751,5751,80 000 €,10/14 CV double phaéton 2 cylindres,1905
cote.encheres.php?idCote=5752,5752,48 000 €,8/9 CV types AG / AG 1 fiacre 2 cylindres,1905
cote.encheres.php?idCote=5753,5753,45 000 €,7/8 CV type AX cabriolet 2 cylindres,1908
cote.encheres.php?idCote=5754,5754,40 000 €,9 CV type EK cabriolet 2 cylindres,1913
cote.encheres.php?idCote=5755,5755,95 000 €,14/20 CV double-tonneau 4 cylindres,1903
cote.encheres.php?idCote=5756,5756,80 000 €,14 CV types X limousine 4 cylindres,1905
cote.encheres.php?idCote=5757,5757,100 000 €,20 CV types V limousine 4 cylindres,1905
,,50 000 €,10 CV types AH / AM / BK coupé de ville 4 cyl.,1906
,,60 000 €,10 CV types AH / AM / BK phaéton ou torpédo,1906
cote.encheres.php?idCote=5759,5759,65 000 €,12 CV types AZ / BZ / CB torpédo 4 cylindres,1909
cote.encheres.php?idCote=8041,8041,120 000 €,35/45 CV limousine 4 cylindres,1906
,,140 000 €,18/22 CV coupé de ville 6 cylindres,1910
cote.encheres.php?idCote=5761,5761,160 000 €,40/50 CV limousine 6 cylindres,1908
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=8042,8042,85 000 €,14/16/20 CV coupé de ville 4 cylindres,1910
cote.encheres.php?idCote=8043,8043,45 000 €,11 CV types CQ / DM / FE torpédo,1912
cote.encheres.php?idCote=8044,8044,48 000 €,12 CV types DG / EF / EU torpédo 4 cylindres,1913
cote.encheres.php?idCote=5762,5762,52 000 €,12/15 CV types JM / JT / KR / NO / NE torpédo,1922
