auction_url,quote_id,quote_max_price,quote_model,quote_year
,,"(None,)","(None,)","(None,)"
,,-------,10/20 (TLC) cabriolet,1923
,,-------,"13/35 limousine 4 cylindres 1,9 l",1924
,,-------,"15/50 berline 4 cylindres 2,2 l",1926
,,9 500 €,Super 7 coach,1927
,,38 000 €,Super 7 sport à compresseur,1929
cote.encheres.php?idCote=8234,8234,9 000 €,Super 8 coach,1931
,,8 000 €,Super 9 limousine,1931
,,8 500 €,10 limousine,1932
,,24 000 €,Southern Cross 10 tourer,1932
,,7 500 €,"Scorpion coach 6 cylindres 1,2 l",1931
,,10 000 €,Gloria berline 4 cylindres,1934
cote.encheres.php?idCote=6728,6728,18 500 €,Gloria Monte Carlo tourer 4 cylindres,1934
cote.encheres.php?idCote=6729,6729,25 000 €,Gloria Southern Cross roadster 4 cylindres,1935
,,11 000 €,Gloria Vitesse berline 4 cylindres,1935
cote.encheres.php?idCote=6731,6731,13 000 €,Gloria Vitesse berline 6 cylindres,1935
cote.encheres.php?idCote=8236,8236,12 000 €,Vitesse berline 6 cylindres,1937
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=8237,8237,13 000 €,Dolomite 14 berline 4 cylindres,1937
,,14 500 €,Dolomite 16 berline 6 cylindres,1937
,,30 000 €,Dolomite 16 cabriolet 6 cylindres,1937
cote.encheres.php?idCote=8240,8240,40 000 €,Dolomite 16 roadster 6 cylindres,1937
cote.encheres.php?idCote=6732,6732,12 000 €,1800 limousine 4 cylindres,1946
,,14 000 €,2000 (TDA) limousine,1949
cote.encheres.php?idCote=6733,6733,15 000 €,Renown (TDB) limousine,1950
cote.encheres.php?idCote=8242,8242,17 000 €,Renown (TDC) limousine,1952
cote.encheres.php?idCote=6734,6734,32 500 €,1800 Roadster,1946
cote.encheres.php?idCote=6735,6735,37 500 €,2000 Roadster,1948
cote.encheres.php?idCote=6736,6736,8 500 €,Mayflower coach,1950
cote.encheres.php?idCote=6737,6737,48 000 €,TR 2 roadster (portes longues),1953
cote.encheres.php?idCote=6738,6738,45 000 €,TR 2 roadster,1954
,,48 000 €,TR 2 Francorchamps coupé (Imperia),1954
cote.encheres.php?idCote=6739,6739,40 000 €,TR 3 roadster,1955
cote.encheres.php?idCote=6740,6740,36 000 €,TR 3 A roadster,1957
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=8249,8249,85 000 €,Italia 2000 coupé Vignale (Ruffino),1959
cote.encheres.php?idCote=6741,6741,37 000 €,TR 3 B (TSF) roadster 1991 cm3,1962
