model,year
,
Typ 82 Kübelwagen,1939
Typ 166 Schwimmwagen,1941
Coccinelle (split) coach Standard,1945
Coccinelle (split) coach Export,1949
Coccinelle (ovale) coach Standard,1953
Coccinelle (ovale) coach Export,1953
Coccinelle 1200 coach Standard,1957
Coccinelle 1200 coach Export,1957
Coccinelle 1200 coach,1967
Coccinelle 1200 Jeans coach,1973
Coccinelle 1200 L coach,1973
Coccinelle 1300 coach,1966
Coccinelle 1500 coach,1967
Coccinelle 1300 S coach (1600),1971
Coccinelle 1600 coach (Mexico),1979
Coccinelle 1302 coach,1971
,
Coccinelle 1302 S / LS coach (1600),1971
Coccinelle 1303 coach,1973
Coccinelle 1303 S / LS coach (1600),1973
Coccinelle 1303 (S) Big coach,1974
Coccinelle cabriolet 2 places Hebmüller,1949
Coccinelle cabriolet Karmann,1949
Coccinelle cabriolet Karmann,1953
Coccinelle 1200 / 1300 cabriolet Karmann,1958
Coccinelle 1500 cabriolet Karmann,1967
Coccinelle 1302 L / LS cabriolet Karmann,1971
Coccinelle 1303 L / LS cabriolet Karmann,1973
"Karmann-Ghia 1200 coupé (type 14, phares bas)",1955
Karmann-Ghia 1200/1300 coupé (type 14),1960
Karmann-Ghia 1500/1600 coupé (type 14),1967
Karmann-Ghia 1600 coupé (type 14),1972
"Karmann-Ghia 1200 cabriolet (type 14, phares bas)",1958
